word,big
(barang) bekas,-0.8
(hujan) gerimis,0.2
(olahraga) bokser,-1.0
(tua) uzur,-0.6
(warna) dadu,0.6
Abu,-1.0
Agak,-1.0
Agustus,1.0
Ahad,0.6
Amin,1.0
Anda,-0.8
BENAR,1.0
Bagikan,1.0
Bangsawan tinggi,1.0
Berbuat curang,-1.0
Bir,1.0
Birch,-1.0
Brendi,-1.0
Burung puyuh,-1.0
Campuran,0.5
Cantik,1.0
Countess,1.0
Cuka Apel,1.0
Dewan,1.0
Direktur,1.0
Fajar,1.0
Gila,-1.0
Gula,1.0
Himpunan,1.0
Hore,1.0
Ikuti,1.0
Injil,1.0
Iya,1.0
Kalkulator,1.0
Kapten,1.0
Katedral,1.0
Kecantikan,1.0
Kecelakaan kapal,-1.0
Kejam,-1.0
Kemuliaan,1.0
Kepala Sekolah,1.0
Komunis,-1.0
Konvensi,1.0
Mandarin,1.0
Memesan,1.0
Monumen,1.0
Negro,-1.0
Nikmati,1.0
POLISI,1.0
Palsu,-1.0
Parade,1.0
Pasifik,1.0
Pasokan,1.0
Pembenahan,1.0
Penghargaan,1.0
Penyihir,1.0
Perdana,1.0
Perlengkapan tulis,-1.0
Perpustakaan,1.0
Pilih,0.5
Polandia,1.0
Praktik,1.0
Presiden,1.0
Renaisans,1.0
Roh,1.0
Sage,1.0
Saya akan,-1.0
Scotch,-1.0
Sebagai pengganti,1.0
Sepakat,1.0
Sial,-1.0
Sri paduka,0.8
Sup,1.0
Tuan,1.0
Tuhan,1.0
Tukang onar,-1.0
Universitas,1.0
Yang Dipertuan,0.8
Yobel,1.0
aahh,-0.6
aamiin,0.4
ab,0.6
aba,0.4
aba-aba,-0.6
abadi,0.5666666666666667
abah,0.6
abai,-0.6
abaikan,-0.4
abar-abar,-1.0
abba,1.0
abdi negara,-0.6
abg,-0.4
abi,0.4
abid,0.6
abis,-0.2
abnormal,-1.0
abnormalitas,-0.8
abolisi,-0.6
abon,-0.8
aborsi,-0.6
abortus,-1.0
abrasi,-1.0
absen,-0.8
abses,-0.9
absolusi,1.0
absorpsi,0.3
absurd,-0.4666666666666666
abu,-0.3
abu-abu,-0.4
abuk,-0.6
abur,-1.0
acak,-1.0
acak-acakan,-1.0
acar,-1.0
acau,-0.8
accueil,1.0
aco-acoan,-1.0
acoan,-1.0
acu,-0.8
acuh tak acuh,0.4
ada,0.4
adab,0.6
adakala,0.6
adang,-0.6
adanya,1.0
adaptasi,0.4
addict,-0.6
adegan,-0.8
adek,0.1
adi,0.4
adika,1.0
adiktif,-0.8
adil,0.48888888888888893
adiluhung,0.6
adimarga,-0.8
administrator,0.6
adon,-0.8
adonan,-0.5
adu,-0.6
aduh,-0.3
aduhai,0.8
aduk,-0.6
adzan,0.6
afair,0.6
afdal,0.6
afeksi,0.2
afiliasi,-0.4
afirmasi,0.8
agak mabuk,-1.0
agam,1.0
agama,-0.6
agar,-0.6
agen,-0.6
agen rahasia,-0.6
agitasi,-1.0
agresi,-1.0
agresif,-1.0
agresor,-1.0
agung,0.5
ahli,1.0
ahli agama,0.2
ahli astronomi,1.0
ahli bahasa,0.5
ahli kimia,1.0
ahli nujum,1.0
ahmak,-0.6
aib,-0.6666666666666666
aiku,-1.0
ain,-1.0
air,-0.2
air kotor,-1.0
air liur,-0.4
air raksa,-1.0
aja,0.2
ajaib,1.0
ajak,0.2
ajakan,-0.3
ajal,-0.4
ajang,-0.6
ajar,-0.3
aji,0.4
ajojing,0.6
aju,-0.6
ajudan,0.8
ajuk,-1.0
akademi,1.0
akademik,1.0
akal,1.0
akan datang,1.0
akar,-0.3
akas,0.2
akhirnya,0.6666666666666666
akhlak,0.8
akibat,-0.3666666666666667
akidah,0.3
akik,-0.6
akil,0.8
akomodasi,0.8
akrab,0.8
akreditasi,-0.6
akrobat,1.0
aksa,-0.8
akses,0.4
aksi,0.4
aksioma,-0.6
aktif,-0.3
aktiva,1.0
aktivasi,0.4
aktual,0.8
aku,0.2
akuan,0.3
akumah,-0.6
akuntabel,1.0
akunya,-0.2
akusatif,-1.0
akut,-1.0
alah,-0.8
alahan,-0.6
alai-belai,-0.6
alaikum,0.4
alam,0.2
alamat,0.5
alami,-0.6
alamiah,-0.3
alangkah,0.4
alarm,-1.0
alasan,0.25
alat kelamin,-0.6
alat negara,-0.6
alat vital,-0.4
alay,-0.8
album,0.3
albumnya,-0.4
alegro,1.0
alergi,-0.6
algojo,-1.0
alhamdulilah,0.6
alhamdulillah,1.0
aliansi,-0.4
alih generasi,0.8
alim,0.4
alim arif,0.8
alimentasi,-1.0
alir udara,-0.2
aliran udara,-0.2
alkisah,-0.8
alkitabiah,1.0
alkoholisme,-1.0
alku,-1.0
allah,1.0
almarhum,-1.0
alobar,-0.8
aloha,1.0
alone,-0.6
alot,0.2
alpa,-0.6
alur,-0.8
amah,-1.0
amal,0.9
amalan,0.8
aman,1.0
amanah,1.0
amandel,-1.0
amarah,-1.0
amat,0.9
amat sangat,-0.6
amatin,-0.4
ambai,-1.0
ambalan,-0.8
ambang,-0.3333333333333333
ambau,-1.0
ambigu,-0.8
ambiguitas,-1.0
ambil,-1.0
ambilan,0.6
ambisi,0.9
amblas,-0.6
ambles,-0.8
ambruk,-1.0
amburadul,-1.0
amerta,0.6
ametis,-0.8
amfetamin,-1.0
amin,0.3
amit,-0.8
amnesia,-1.0
amnesti,1.0
amor,-0.4
amoral,-0.6
amoralitas,-1.0
ampai,-0.8
ampas,-0.6
ampas (kopi),0.3
ampas kopi,-0.4
ampel,-0.6
ampela,-1.0
amplop,0.6
ampu,-1.0
ampun,-0.3
ampuni,-0.4
amtenar,-0.6
amuk,-0.5
ana,-0.3
anak,-0.3
anak Adam,0.6
anak air,-0.8
anak anjing,0.5
anak bawang,-0.4
anak bedil,-0.6
anak bodoh,-1.0
anak bukit,-0.8
anak cucu,-0.6
anak didik,0.6
anak kucing,1.0
anak muda,1.0
anak penak,-0.6
anak perempuan,1.0
anak pinak,-0.6
anak sapi,1.0
anak sasian,0.6
anak sekolah,0.6
anak sungai,0.3333333333333333
anak yatim,-1.0
anak-anakan,-0.6
anakan,1.0
anakonda,-1.0
anal,-1.0
analis,1.0
analisis,0.8
analitis,-0.8
anarki,-0.9
anarkis,-1.0
anarkisme,-1.0
ancai,-1.0
ancam,-0.8
ancaman,-0.9
anda,-0.2
andai,0.4
andal,0.5
andalan,1.0
andeka,-0.6
andil,0.8
andini,0.4
andur,0.6
aneh,-0.45714285714285713
aneka,0.6
anekdot,-0.4
angan,0.6
angan-angan,0.8
anggai,-0.6
anggapan,0.6
anggar,0.6
anggara,-0.8
anggota,-0.6
angguk,0.2
anggun,1.0
anggur,-0.8
angguran,-0.8
angin lalu,-1.0
angin puyuh,-1.0
angina,-1.0
angit,-1.0
angka,0.25
angkat,0.6
angkat tangan,-1.0
angkat topi,-0.8
angkatan,-1.0
angkot,-0.2
angkuh,-1.0
angkup,-0.6
angkut,0.2
anglo,-0.8
angpau,0.8
angsur,0.2
aniaya,-0.8
animasi,0.5
animo,0.8
anjak,-0.6
anjay,-0.6
anjeng,-1.0
anjer,-0.6
anjg,-1.0
anjing,-0.8
anjing tanah,-1.0
anjir,-0.3
anjis,-0.2
anjlok,-0.8
anjung,0.8
anjungan,-0.6
anjur,-0.4
anjuran,-0.4
anom,-0.8
anomali,-1.0
anonim,-1.0
ansambel,1.0
ansar,0.8
antagonis,-1.0
antagonisme,-0.9
antap,-1.0
antar,-1.0
antek,-0.6
antem,-0.8
anteng,0.8
anti,-0.4
anti peluru,1.0
antibiotik,1.0
antijamur,1.0
antik,1.0
antikristus,-1.0
antipati,-0.5333333333333333
antiseptik,1.0
antisipasi,0.3
antisosial,-1.0
antitesis,-0.8
antologi,0.2
antraks,-1.0
antuk,-0.8
antun,-0.6
antusias,-0.3
antusiasme,0.8
anu,-0.6
anugerah,0.5333333333333333
anumerta,-1.0
anut,-0.3
anyar,0.8
anyir,-0.8
apa,-0.6
apaan,-0.8
apache,-1.0
apak,-1.0
apalah,-0.4
apanya,-0.6
aparat,-0.6
aparatus,-0.6
apas,0.5
apasi,-0.6
apasih,-0.8
apati,-1.0
apatis,-0.6666666666666666
apek,-0.8
apes,-1.0
api,0.26666666666666666
api penyucian,-1.0
api-api,-0.8
apit,-0.6
apiun,-0.6
apkir,-0.8
apkiran,-0.8
aplikasi,-0.8
apresiasi,1.0
arabika,0.4
arah,-0.4
arahan,-0.6
arak,0.4
aram,-0.6
arbitrer,-1.0
arca,-0.6
argumen,-0.65
argumentatif,-1.0
arif,0.8
arik,-0.6
aristokrasi,1.0
arkeologi,0.5
arketipe,0.6
armada,-0.5
arogan,-1.0
aroma,0.5
arsenik,-1.0
arsip,-1.0
arsitektur,0.4
arti,0.2
artian,0.6
artifisial,0.6
artikel,-0.8
artikulasi,0.5
artileri,-1.0
artis,0.3666666666666667
artistik,0.6
aru,-1.0
aru-aru,-0.8
arung,0.2
arus udara,-0.8
asa,0.3
asah,-0.6
asah asih asuh,0.4
asak,-0.6
asal usul,-0.8
asal-asalan,-1.0
asam,-0.7
asan tak asan,-1.0
asap,-1.0
asasi,0.3
asfal,-1.0
asid,-1.0
asih,0.3
asik,0.8
asing,-0.3333333333333333
asket,0.4
asketisme,0.4
asli,0.4
asmara,-0.4
asoi,0.6
asor,-1.0
asosiasi,-0.4
aspek,-0.6
aspiran,-1.0
aspirasi,1.0
