word,average
(barang) bekas,-0.4
(hujan) gerimis,0.1
(olahraga) bokser,-0.5
(tua) uzur,-0.3
(warna) dadu,0.3
Abu,-0.5
Agak,-0.5
Agustus,0.5
Ahad,0.3
Amin,0.5
Anda,-0.4
BENAR,0.5
Bagikan,0.5
Bangsawan tinggi,0.5
Berbuat curang,-0.5
Bir,0.5
Birch,-0.5
Brendi,-0.5
Burung puyuh,-0.5
Campuran,0.25
Cantik,0.5
Countess,0.5
Cuka Apel,0.5
Dewan,0.5
Direktur,0.5
Fajar,0.5
Gila,-0.5
Gula,0.5
Himpunan,0.5
Hore,0.5
Ikuti,0.5
Injil,0.5
Iya,0.5
Kalkulator,0.5
Kapten,0.5
Katedral,0.5
Kecantikan,0.5
Kecelakaan kapal,-0.5
Kejam,-0.5
Kemuliaan,0.5
Kepala Sekolah,0.5
Komunis,-0.5
Konvensi,0.5
Mandarin,0.5
Memesan,0.5
Monumen,0.5
Negro,-0.5
Nikmati,0.5
POLISI,0.5
Palsu,-0.5
Parade,0.0
Pasifik,0.5
Pasokan,0.5
Pembenahan,0.5
Penghargaan,0.5
Penyihir,0.5
Perdana,0.5
Perlengkapan tulis,-0.5
Perpustakaan,0.5
Pilih,0.0
Polandia,0.5
Praktik,0.5
Presiden,0.5
Renaisans,0.5
Roh,0.5
Sage,0.5
Saya akan,-0.5
Scotch,-0.5
Sebagai pengganti,0.5
Sepakat,0.5
Sial,-0.5
Sri paduka,0.4
Sup,0.5
Tuan,0.0
Tuhan,0.5
Tukang onar,-0.5
Universitas,0.5
Yang Dipertuan,0.4
Yobel,0.5
aahh,-0.3
aamiin,0.2
ab,0.3
aba,0.2
aba-aba,-0.3
abadi,0.2833333333333333
abah,0.3
abai,-0.3
abaikan,-0.2
abar-abar,-0.5
abba,0.5
abdi negara,-0.3
abg,-0.2
abi,0.2
abid,0.3
abis,-0.05
abnormal,-0.5
abnormalitas,-0.4
abolisi,-0.3
abon,-0.4
aborsi,-0.3
abortus,-0.5
abrasi,-0.5
absen,-0.4
abses,-0.45
absolusi,0.5
absorpsi,0.09999999999999999
absurd,-0.1333333333333333
abu,-0.05
abu-abu,-0.2
abuk,-0.3
abur,-0.5
acak,-0.5
acak-acakan,-0.5
acar,-0.5
acau,-0.4
accueil,0.5
aco-acoan,-0.5
acoan,-0.5
acu,-0.4
acuh tak acuh,0.05000000000000002
ada,0.05000000000000002
adab,0.3
adakala,0.3
adang,-0.3
adanya,0.5
adaptasi,0.2
addict,-0.3
adegan,-0.4
adek,0.0
adi,0.2
adika,0.5
adiktif,-0.4
adil,0.1444444444444445
adiluhung,0.3
adimarga,-0.4
administrator,0.3
adon,-0.4
adonan,-0.25
adu,-0.3
aduh,-0.09999999999999999
aduhai,0.4
aduk,-0.3
adzan,0.3
afair,0.3
afdal,0.3
afeksi,0.0
afiliasi,-0.1
afirmasi,0.4
agak mabuk,-0.5
agam,0.5
agama,-0.3
agar,-0.3
agen,-0.3
agen rahasia,-0.3
agitasi,-0.5
agresi,-0.5
agresif,-0.5
agresor,-0.5
agung,0.25
ahli,0.5
ahli agama,0.1
ahli astronomi,0.5
ahli bahasa,0.1
ahli kimia,0.5
ahli nujum,0.5
ahmak,-0.3
aib,-0.3
aiku,-0.5
ain,-0.5
air,-0.1
air kotor,-0.5
air liur,-0.2
air raksa,-0.5
aja,0.1
ajaib,0.5
ajak,0.1
ajakan,-0.09999999999999999
ajal,-0.05000000000000002
ajang,-0.3
ajar,-0.09999999999999999
aji,0.05000000000000002
ajojing,0.3
aju,-0.3
ajudan,0.4
ajuk,-0.5
akademi,0.5
akademik,0.5
akal,0.5
akan datang,0.5
akar,-0.04999999999999999
akas,0.0
akhirnya,0.3333333333333333
akhlak,0.4
akibat,-0.15000000000000002
akidah,0.0
akik,-0.3
akil,0.4
akomodasi,0.4
akrab,0.4
akreditasi,-0.3
akrobat,0.5
aksa,-0.4
akses,0.2
aksi,0.2
aksioma,-0.3
aktif,-0.04999999999999999
aktiva,0.5
aktivasi,0.2
aktual,0.4
aku,0.05
akuan,0.0
akumah,-0.3
akuntabel,0.5
akunya,-0.1
akusatif,-0.5
akut,-0.5
alah,-0.4
alahan,-0.3
alai-belai,-0.3
alaikum,0.2
alam,0.05
alamat,0.25
alami,-0.3
alamiah,-0.04999999999999999
alangkah,0.1
alarm,-0.5
alasan,0.125
alat kelamin,-0.3
alat negara,-0.3
alat vital,-0.2
alay,-0.4
album,0.04999999999999999
albumnya,-0.2
alegro,0.5
alergi,-0.3
algojo,-0.5
alhamdulilah,0.3
alhamdulillah,0.5
aliansi,-0.15000000000000002
alih generasi,0.4
alim,0.2
alim arif,0.4
alimentasi,-0.5
alir udara,-0.1
aliran udara,-0.1
alkisah,-0.4
alkitabiah,0.5
alkoholisme,-0.5
alku,-0.5
allah,0.5
almarhum,-0.5
alobar,-0.4
aloha,0.5
alone,-0.3
alot,0.1
alpa,-0.3
alur,-0.4
amah,-0.5
amal,0.45
amalan,0.4
aman,0.5
amanah,0.5
amandel,-0.5
amarah,-0.5
amat,0.45
amat sangat,-0.3
amatin,-0.2
ambai,-0.5
ambalan,-0.4
ambang,-0.16666666666666666
ambau,-0.5
ambigu,-0.4
ambiguitas,-0.5
ambil,-0.5
ambilan,0.3
ambisi,0.45
amblas,-0.3
ambles,-0.4
ambruk,-0.5
amburadul,-0.5
amerta,0.3
ametis,-0.4
amfetamin,-0.5
amin,0.0
amit,-0.4
amnesia,-0.5
amnesti,0.5
amor,-0.1
amoral,-0.3
amoralitas,-0.5
ampai,-0.4
ampas,-0.3
ampas (kopi),0.04999999999999999
ampas kopi,-0.2
ampel,-0.3
ampela,-0.5
amplop,0.3
ampu,-0.5
ampun,-0.09999999999999999
ampuni,-0.2
amtenar,-0.3
amuk,-0.2
ana,-0.04999999999999999
anak,-0.06666666666666667
anak Adam,0.3
anak air,-0.4
anak anjing,0.25
anak bawang,-0.2
anak bedil,-0.3
anak bodoh,-0.5
anak bukit,-0.4
anak cucu,-0.3
anak didik,0.3
anak kucing,0.5
anak muda,0.5
anak penak,-0.3
anak perempuan,0.5
anak pinak,-0.3
anak sapi,0.5
anak sasian,0.3
anak sekolah,0.3
anak sungai,0.16666666666666666
anak yatim,-0.5
anak-anakan,-0.3
anakan,0.5
anakonda,-0.5
anal,-0.5
analis,0.5
analisis,0.4
analitis,-0.4
anarki,-0.45
anarkis,-0.5
anarkisme,-0.5
ancai,-0.5
ancam,-0.4
ancaman,-0.45
anda,-0.1
andai,0.2
andal,0.2
andalan,0.5
andeka,-0.3
andil,0.4
andini,0.2
andur,0.3
aneh,-0.07142857142857142
aneka,0.3
anekdot,-0.1
angan,0.3
angan-angan,0.4
anggai,-0.3
anggapan,0.3
anggar,0.3
anggara,-0.4
anggota,-0.3
angguk,0.1
anggun,0.5
anggur,-0.4
angguran,-0.4
angin lalu,-0.5
angin puyuh,-0.5
angina,-0.5
angit,-0.5
angka,0.125
angkat,0.3
angkat tangan,-0.5
angkat topi,-0.4
angkatan,-0.5
angkot,-0.1
angkuh,-0.5
angkup,-0.3
angkut,0.1
anglo,-0.4
angpau,0.4
angsur,0.1
aniaya,-0.4
animasi,0.25
animo,0.4
anjak,-0.3
anjay,-0.3
anjeng,-0.5
anjer,-0.3
anjg,-0.5
anjing,-0.4
anjing tanah,-0.5
anjir,-0.09999999999999999
anjis,-0.1
anjlok,-0.4
anjung,0.4
anjungan,-0.3
anjur,-0.2
anjuran,-0.2
anom,-0.4
anomali,-0.5
anonim,-0.5
ansambel,0.5
ansar,0.4
antagonis,-0.5
antagonisme,-0.45
antap,-0.5
antar,-0.5
antek,-0.3
antem,-0.4
anteng,0.4
anti,-0.2
anti peluru,0.5
antibiotik,0.5
antijamur,0.5
antik,0.5
antikristus,-0.5
antipati,-0.2
antiseptik,0.5
antisipasi,0.09999999999999999
antisosial,-0.5
antitesis,-0.4
antologi,0.1
antraks,-0.5
antuk,-0.4
antun,-0.3
antusias,-0.04999999999999999
antusiasme,0.4
anu,-0.3
anugerah,0.23333333333333334
anumerta,-0.5
anut,-0.04999999999999999
anyar,0.4
anyir,-0.4
apa,-0.3
apaan,-0.4
apache,-0.5
apak,-0.5
apalah,-0.2
apanya,-0.3
aparat,-0.3
aparatus,-0.3
apas,0.1
apasi,-0.3
apasih,-0.4
apati,-0.5
apatis,-0.3
apek,-0.4
apes,-0.5
api,0.0111111111111111
api penyucian,-0.5
api-api,-0.4
apit,-0.3
apiun,-0.3
apkir,-0.4
apkiran,-0.4
aplikasi,-0.4
apresiasi,0.5
arabika,0.2
arah,-0.15000000000000002
arahan,-0.3
arak,0.2
aram,-0.3
arbitrer,-0.5
arca,-0.3
argumen,-0.325
argumentatif,-0.5
arif,0.4
arik,-0.3
aristokrasi,0.5
arkeologi,0.25
arketipe,0.3
armada,-0.125
arogan,-0.5
aroma,0.25
arsenik,-0.5
arsip,-0.5
arsitektur,0.2
arti,0.1
artian,0.3
artifisial,0.3
artikel,-0.4
artikulasi,0.25
artileri,-0.5
artis,0.18333333333333335
artistik,0.23333333333333334
aru,-0.5
aru-aru,-0.4
arung,0.1
arus udara,-0.4
asa,0.04999999999999999
asah,-0.3
asah asih asuh,0.2
asak,-0.3
asal usul,-0.4
asal-asalan,-0.5
asam,-0.35
asan tak asan,-0.5
asap,-0.5
asasi,0.0
asfal,-0.5
asid,-0.5
asih,0.09999999999999999
asik,0.4
asing,-0.16666666666666666
asket,0.2
asketisme,0.2
asli,0.2
asmara,-0.1
asoi,0.3
asor,-0.5
asosiasi,-0.05000000000000002
aspek,-0.3
aspiran,-0.5
aspirasi,0.5
asrama,0.3
asri,0.05000000000000002
assalamualaikum,0.3
astaga,-0.05000000000000002
astagfirullah,-0.05000000000000002
astagfirulloh,-0.4
astaghfirullah,-0.3
astronaut,0.5
asuh,0.04999999999999999
asumsi,-0.3
asusila,-0.5
aswad,-0.4
atas,-0.11666666666666668
atasan,0.3
ateisme,-0.5
atensi,0.2
