word,small
(barang) bekas,0.0
(hujan) gerimis,0.0
(olahraga) bokser,0.0
(tua) uzur,0.0
(warna) dadu,0.0
Abu,0.0
Agak,0.0
Agustus,0.0
Ahad,0.0
Amin,0.0
Anda,0.0
BENAR,0.0
Bagikan,0.0
Bangsawan tinggi,0.0
Berbuat curang,0.0
Bir,0.0
Birch,0.0
Brendi,0.0
Burung puyuh,0.0
Campuran,0.0
Cantik,0.0
Countess,0.0
Cuka Apel,0.0
Dewan,0.0
Direktur,0.0
Fajar,0.0
Gila,0.0
Gula,0.0
Himpunan,0.0
Hore,0.0
Ikuti,0.0
Injil,0.0
Iya,0.0
Kalkulator,0.0
Kapten,0.0
Katedral,0.0
Kecantikan,0.0
Kecelakaan kapal,0.0
Kejam,0.0
Kemuliaan,0.0
Kepala Sekolah,0.0
Komunis,0.0
Konvensi,0.0
Mandarin,0.0
Memesan,0.0
Monumen,0.0
Negro,0.0
Nikmati,0.0
POLISI,0.0
Palsu,0.0
Parade,-1.0
Pasifik,0.0
Pasokan,0.0
Pembenahan,0.0
Penghargaan,0.0
Penyihir,0.0
Perdana,0.0
Perlengkapan tulis,0.0
Perpustakaan,0.0
Pilih,-0.5
Polandia,0.0
Praktik,0.0
Presiden,0.0
Renaisans,0.0
Roh,0.0
Sage,0.0
Saya akan,0.0
Scotch,0.0
Sebagai pengganti,0.0
Sepakat,0.0
Sial,0.0
Sri paduka,0.0
Sup,0.0
Tuan,-1.0
Tuhan,0.0
Tukang onar,0.0
Universitas,0.0
Yang Dipertuan,0.0
Yobel,0.0
aahh,0.0
aamiin,0.0
ab,0.0
aba,0.0
aba-aba,0.0
abadi,0.0
abah,0.0
abai,0.0
abaikan,0.0
abar-abar,0.0
abba,0.0
abdi negara,0.0
abg,0.0
abi,0.0
abid,0.0
abis,0.1
abnormal,0.0
abnormalitas,0.0
abolisi,0.0
abon,0.0
aborsi,0.0
abortus,0.0
abrasi,0.0
absen,0.0
abses,0.0
absolusi,0.0
absorpsi,-0.1
absurd,0.19999999999999998
abu,0.19999999999999998
abu-abu,0.0
abuk,0.0
abur,0.0
acak,0.0
acak-acakan,0.0
acar,0.0
acau,0.0
accueil,0.0
aco-acoan,0.0
acoan,0.0
acu,0.0
acuh tak acuh,-0.3
ada,-0.3
adab,0.0
adakala,0.0
adang,0.0
adanya,0.0
adaptasi,0.0
addict,0.0
adegan,0.0
adek,-0.1
adi,0.0
adika,0.0
adiktif,0.0
adil,-0.19999999999999998
adiluhung,0.0
adimarga,0.0
administrator,0.0
adon,0.0
adonan,0.0
adu,0.0
aduh,0.1
aduhai,0.0
aduk,0.0
adzan,0.0
afair,0.0
afdal,0.0
afeksi,-0.2
afiliasi,0.2
afirmasi,0.0
agak mabuk,0.0
agam,0.0
agama,0.0
agar,0.0
agen,0.0
agen rahasia,0.0
agitasi,0.0
agresi,0.0
agresif,0.0
agresor,0.0
agung,0.0
ahli,0.0
ahli agama,0.0
ahli astronomi,0.0
ahli bahasa,-0.3
ahli kimia,0.0
ahli nujum,0.0
ahmak,0.0
aib,0.06666666666666667
aiku,0.0
ain,0.0
air,0.0
air kotor,0.0
air liur,0.0
air raksa,0.0
aja,0.0
ajaib,0.0
ajak,0.0
ajakan,0.1
ajal,0.3
ajang,0.0
ajar,0.1
aji,-0.3
ajojing,0.0
aju,0.0
ajudan,0.0
ajuk,0.0
akademi,0.0
akademik,0.0
akal,0.0
akan datang,0.0
akar,0.2
akas,-0.2
akhirnya,0.0
akhlak,0.0
akibat,0.06666666666666667
akidah,-0.3
akik,0.0
akil,0.0
akomodasi,0.0
akrab,0.0
akreditasi,0.0
akrobat,0.0
aksa,0.0
akses,0.0
aksi,0.0
aksioma,0.0
aktif,0.2
aktiva,0.0
aktivasi,0.0
aktual,0.0
aku,-0.1
akuan,-0.3
akumah,0.0
akuntabel,0.0
akunya,0.0
akusatif,0.0
akut,0.0
alah,0.0
alahan,0.0
alai-belai,0.0
alaikum,0.0
alam,-0.1
alamat,0.0
alami,0.0
alamiah,0.2
alangkah,-0.2
alarm,0.0
alasan,0.0
alat kelamin,0.0
alat negara,0.0
alat vital,0.0
alay,0.0
album,-0.2
albumnya,0.0
alegro,0.0
alergi,0.0
algojo,0.0
alhamdulilah,0.0
alhamdulillah,0.0
aliansi,0.1
alih generasi,0.0
alim,0.0
alim arif,0.0
alimentasi,0.0
alir udara,0.0
aliran udara,0.0
alkisah,0.0
alkitabiah,0.0
alkoholisme,0.0
alku,0.0
allah,0.0
almarhum,0.0
alobar,0.0
aloha,0.0
alone,0.0
alot,0.0
alpa,0.0
alur,0.0
amah,0.0
amal,0.0
amalan,0.0
aman,0.0
amanah,0.0
amandel,0.0
amarah,0.0
amat,0.0
amat sangat,0.0
amatin,0.0
ambai,0.0
ambalan,0.0
ambang,0.0
ambau,0.0
ambigu,0.0
ambiguitas,0.0
ambil,0.0
ambilan,0.0
ambisi,0.0
amblas,0.0
ambles,0.0
ambruk,0.0
amburadul,0.0
amerta,0.0
ametis,0.0
amfetamin,0.0
amin,-0.3
amit,0.0
amnesia,0.0
amnesti,0.0
amor,0.2
amoral,0.0
amoralitas,0.0
ampai,0.0
ampas,0.0
ampas (kopi),-0.2
ampas kopi,0.0
ampel,0.0
ampela,0.0
amplop,0.0
ampu,0.0
ampun,0.1
ampuni,0.0
amtenar,0.0
amuk,0.1
ana,0.2
anak,0.16666666666666666
anak Adam,0.0
anak air,0.0
anak anjing,0.0
anak bawang,0.0
anak bedil,0.0
anak bodoh,0.0
anak bukit,0.0
anak cucu,0.0
anak didik,0.0
anak kucing,0.0
anak muda,0.0
anak penak,0.0
anak perempuan,0.0
anak pinak,0.0
anak sapi,0.0
anak sasian,0.0
anak sekolah,0.0
anak sungai,0.0
anak yatim,0.0
anak-anakan,0.0
anakan,0.0
anakonda,0.0
anal,0.0
analis,0.0
analisis,0.0
analitis,0.0
anarki,0.0
anarkis,0.0
anarkisme,0.0
ancai,0.0
ancam,0.0
ancaman,0.0
anda,0.0
andai,0.0
andal,-0.1
andalan,0.0
andeka,0.0
andil,0.0
andini,0.0
