word,big
(barang) bekas,-0.8
(olahraga) bokser,-1.0
(tua) uzur,-0.6
Abu,-1.0
Agak,-1.0
Anda,-0.8
Berbuat curang,-1.0
Birch,-1.0
Brendi,-1.0
Burung puyuh,-1.0
Gila,-1.0
Kecelakaan kapal,-1.0
Kejam,-1.0
Komunis,-1.0
Negro,-1.0
Palsu,-1.0
Perlengkapan tulis,-1.0
Saya akan,-1.0
Scotch,-1.0
Sial,-1.0
Tukang onar,-1.0
aahh,-0.6
aba-aba,-0.6
abai,-0.6
abaikan,-0.4
abar-abar,-1.0
abdi negara,-0.6
abg,-0.4
abis,-0.2
abnormal,-1.0
abnormalitas,-0.8
abolisi,-0.6
abon,-0.8
aborsi,-0.6
abortus,-1.0
abrasi,-1.0
absen,-0.8
abses,-0.9
absurd,-0.4666666666666666
abu,-0.3
abu-abu,-0.4
abuk,-0.6
abur,-1.0
acak,-1.0
acak-acakan,-1.0
acar,-1.0
acau,-0.8
aco-acoan,-1.0
acoan,-1.0
acu,-0.8
adang,-0.6
addict,-0.6
adegan,-0.8
adiktif,-0.8
adimarga,-0.8
adon,-0.8
adonan,-0.5
adu,-0.6
aduh,-0.3
aduk,-0.6
afiliasi,-0.4
agak mabuk,-1.0
agama,-0.6
agar,-0.6
agen,-0.6
agen rahasia,-0.6
agitasi,-1.0
agresi,-1.0
agresif,-1.0
agresor,-1.0
ahmak,-0.6
aib,-0.6666666666666666
aiku,-1.0
ain,-1.0
air,-0.2
air kotor,-1.0
air liur,-0.4
air raksa,-1.0
ajakan,-0.3
ajal,-0.4
ajang,-0.6
ajar,-0.3
aju,-0.6
ajuk,-1.0
akar,-0.3
akibat,-0.3666666666666667
akik,-0.6
akreditasi,-0.6
aksa,-0.8
aksioma,-0.6
aktif,-0.3
akumah,-0.6
akunya,-0.2
akusatif,-1.0
akut,-1.0
alah,-0.8
alahan,-0.6
alai-belai,-0.6
alami,-0.6
alamiah,-0.3
alarm,-1.0
alat kelamin,-0.6
alat negara,-0.6
alat vital,-0.4
alay,-0.8
albumnya,-0.4
alergi,-0.6
algojo,-1.0
aliansi,-0.4
alimentasi,-1.0
alir udara,-0.2
aliran udara,-0.2
alkisah,-0.8
alkoholisme,-1.0
alku,-1.0
almarhum,-1.0
alobar,-0.8
alone,-0.6
alpa,-0.6
alur,-0.8
amah,-1.0
amandel,-1.0
amarah,-1.0
amat sangat,-0.6
amatin,-0.4
ambai,-1.0
ambalan,-0.8
ambang,-0.3333333333333333
ambau,-1.0
ambigu,-0.8
