word,average
(barang) bekas,-0.4
(olahraga) bokser,-0.5
(tua) uzur,-0.3
Abu,-0.5
Agak,-0.5
Anda,-0.4
Berbuat curang,-0.5
Birch,-0.5
Brendi,-0.5
Burung puyuh,-0.5
Gila,-0.5
Kecelakaan kapal,-0.5
Kejam,-0.5
Komunis,-0.5
Negro,-0.5
Palsu,-0.5
Parade,0.0
Perlengkapan tulis,-0.5
Pilih,0.0
Saya akan,-0.5
Scotch,-0.5
Sial,-0.5
Tuan,0.0
Tukang onar,-0.5
aahh,-0.3
aba-aba,-0.3
abai,-0.3
abaikan,-0.2
abar-abar,-0.5
abdi negara,-0.3
abg,-0.2
abis,-0.05
abnormal,-0.5
abnormalitas,-0.4
abolisi,-0.3
abon,-0.4
aborsi,-0.3
abortus,-0.5
abrasi,-0.5
absen,-0.4
abses,-0.45
absurd,-0.1333333333333333
abu,-0.05
abu-abu,-0.2
abuk,-0.3
abur,-0.5
acak,-0.5
acak-acakan,-0.5
acar,-0.5
acau,-0.4
aco-acoan,-0.5
acoan,-0.5
acu,-0.4
adang,-0.3
addict,-0.3
adegan,-0.4
adek,0.0
adiktif,-0.4
adimarga,-0.4
adon,-0.4
adonan,-0.25
adu,-0.3
aduh,-0.09999999999999999
aduk,-0.3
afeksi,0.0
afiliasi,-0.1
agak mabuk,-0.5
agama,-0.3
agar,-0.3
agen,-0.3
agen rahasia,-0.3
agitasi,-0.5
agresi,-0.5
agresif,-0.5
agresor,-0.5
ahmak,-0.3
aib,-0.3
aiku,-0.5
ain,-0.5
air,-0.1
air kotor,-0.5
air liur,-0.2
air raksa,-0.5
ajakan,-0.09999999999999999
ajal,-0.05000000000000002
ajang,-0.3
ajar,-0.09999999999999999
aju,-0.3
ajuk,-0.5
akar,-0.04999999999999999
akas,0.0
akibat,-0.15000000000000002
akidah,0.0
akik,-0.3
akreditasi,-0.3
aksa,-0.4
aksioma,-0.3
aktif,-0.04999999999999999
akuan,0.0
akumah,-0.3
akunya,-0.1
akusatif,-0.5
akut,-0.5
alah,-0.4
alahan,-0.3
alai-belai,-0.3
alami,-0.3
alamiah,-0.04999999999999999
alarm,-0.5
alat kelamin,-0.3
alat negara,-0.3
alat vital,-0.2
alay,-0.4
albumnya,-0.2
alergi,-0.3
algojo,-0.5
aliansi,-0.15000000000000002
alimentasi,-0.5
alir udara,-0.1
aliran udara,-0.1
alkisah,-0.4
alkoholisme,-0.5
alku,-0.5
almarhum,-0.5
alobar,-0.4
alone,-0.3
alpa,-0.3
alur,-0.4
amah,-0.5
amandel,-0.5
amarah,-0.5
amat sangat,-0.3
amatin,-0.2
ambai,-0.5
ambalan,-0.4
ambang,-0.16666666666666666
ambau,-0.5
ambigu,-0.4
ambiguitas,-0.5
ambil,-0.5
amblas,-0.3
ambles,-0.4
ambruk,-0.5
amburadul,-0.5
ametis,-0.4
amfetamin,-0.5
amin,0.0
amit,-0.4
amnesia,-0.5
amor,-0.1
amoral,-0.3
amoralitas,-0.5
ampai,-0.4
ampas,-0.3
ampas kopi,-0.2
ampel,-0.3
ampela,-0.5
ampu,-0.5
ampun,-0.09999999999999999
ampuni,-0.2
amtenar,-0.3
amuk,-0.2
ana,-0.04999999999999999
anak,-0.06666666666666667
anak air,-0.4
anak bawang,-0.2
anak bedil,-0.3
anak bodoh,-0.5
anak bukit,-0.4
anak cucu,-0.3
anak penak,-0.3
anak pinak,-0.3
anak yatim,-0.5
anak-anakan,-0.3
anakonda,-0.5
anal,-0.5
analitis,-0.4
anarki,-0.45
anarkis,-0.5
anarkisme,-0.5
ancai,-0.5
ancam,-0.4
ancaman,-0.45
anda,-0.1
andeka,-0.3
aneh,-0.07142857142857142
anekdot,-0.1
anggai,-0.3
anggara,-0.4
anggota,-0.3
anggur,-0.4
angguran,-0.4
angin lalu,-0.5
angin puyuh,-0.5
angina,-0.5
angit,-0.5
angkat tangan,-0.5
angkat topi,-0.4
angkatan,-0.5
angkot,-0.1
angkuh,-0.5
angkup,-0.3
anglo,-0.4
aniaya,-0.4
anjak,-0.3
anjay,-0.3
anjeng,-0.5
anjer,-0.3
anjg,-0.5
anjing,-0.4
anjing tanah,-0.5
anjir,-0.09999999999999999
anjis,-0.1
anjlok,-0.4
anjungan,-0.3
anjur,-0.2
anjuran,-0.2
anom,-0.4
anomali,-0.5
anonim,-0.5
antagonis,-0.5
antagonisme,-0.45
antap,-0.5
antar,-0.5
antek,-0.3
antem,-0.4
anti,-0.2
antikristus,-0.5
antipati,-0.2
antisosial,-0.5
antitesis,-0.4
antraks,-0.5
antuk,-0.4
antun,-0.3
antusias,-0.04999999999999999
anu,-0.3
anumerta,-0.5
anut,-0.04999999999999999
anyir,-0.4
apa,-0.3
apaan,-0.4
apache,-0.5
apak,-0.5
apalah,-0.2
apanya,-0.3
aparat,-0.3
aparatus,-0.3
apasi,-0.3
apasih,-0.4
apati,-0.5
apatis,-0.3
apek,-0.4
apes,-0.5
api penyucian,-0.5
api-api,-0.4
apit,-0.3
apiun,-0.3
apkir,-0.4
apkiran,-0.4
aplikasi,-0.4
arah,-0.15000000000000002
arahan,-0.3
aram,-0.3
arbitrer,-0.5
arca,-0.3
argumen,-0.325
argumentatif,-0.5
arik,-0.3
armada,-0.125
arogan,-0.5
arsenik,-0.5
arsip,-0.5
artikel,-0.4
artileri,-0.5
aru,-0.5
aru-aru,-0.4
arus udara,-0.4
asah,-0.3
asak,-0.3
asal usul,-0.4
asal-asalan,-0.5
asam,-0.35
asan tak asan,-0.5
asap,-0.5
asasi,0.0
asfal,-0.5
asid,-0.5
asing,-0.16666666666666666
asmara,-0.1
asor,-0.5
asosiasi,-0.05000000000000002
aspek,-0.3
aspiran,-0.5
astaga,-0.05000000000000002
astagfirullah,-0.05000000000000002
astagfirulloh,-0.4
astaghfirullah,-0.3
asumsi,-0.3
asusila,-0.5
aswad,-0.4
atas,-0.11666666666666668
ateisme,-0.5
aterosklerosis,-0.5
ati,-0.1
atresia,-0.3
atribut,-0.3
atrophia,-0.5
atuh,-0.1
atur,0.0
atut,-0.2
aur,-0.3
aurat,-0.2
aus,-0.5
auta,-0.4
autopsi,-0.5
awa-,-0.3
awal,0.0
awan kelabu,-0.3
awas,-0.13333333333333333
awi,-0.3
awur,-0.4
awut,-0.4
awut-awutan,-0.5
ayal,-0.3
ayat,-0.4
ayun,-0.09999999999999999
ayunan,0.0
azab,-0.5
azimat,-0.15000000000000002
bab,-0.4
babak,-0.4
babak belur,-0.5
babar,-0.1
babi,-0.45
babil,-0.4
bablas,-0.5
babon,-0.5
babu,-0.5
bacar mulut,-0.4
bacok,-0.4
bacot,-0.05000000000000002
bad,-0.4
badai,-0.4083333333333333
badan,-0.3
badmood,-0.4
badung,-0.4
bagaimana pun,-0.2
bagal,-0.4
bagi,-0.1
bagian,-0.4
baginda,-0.04999999999999999
bah,-0.3
bahala,-0.3
bahan,-0.3
bahasa,-0.4
bahaya,-0.5
bahkan,-0.5
bahlul,-0.5
bahtera,-0.3
baiat,-0.3
bait,-0.3
bajak,-0.4
bajak laut,-0.5
bajing,-0.2
bajingan,-0.5
bakar,-0.09999999999999999
baktau,-0.5
bakteri,-0.5
baku,-0.09999999999999999
bal,-0.25
bala,-0.5
bala bencana,-0.5
balai,-0.3
balairung,-0.3
balas,-0.23333333333333334
balela,-0.4
bales,-0.3
balesnya,-0.2
balik,-0.3
balik adab,-0.5
balik akal,-0.4
balik gagang,-0.5
balkon,-0.3
balung,-0.4
balur,-0.4
bambu,-0.3
bambung,-0.3
banal,-0.3
banat,-0.4
bancang,-0.5
banci,-0.5
bandang,-0.4
bandar,-0.4
bandel,-0.375
banding,0.0
bandit,-0.5
bando,-0.4
bandung,-0.1
bang,-0.5
bangan,-0.04999999999999999
bangang,-0.3
bangbung,-0.4
banger,-0.5
bangett,-0.2
bangkai,-0.45
bangkang,-0.4
bangkit,-0.1
bangkot,-0.4
bangkrut,-0.5
bangku,-0.16666666666666666
bangle,-0.4
bangsal,-0.3
bangsat,-0.5
banjir,0.0
banshee,-0.5
bantah,-0.3
bantai,-0.5
bantar,-0.4
banteng,-0.3
bantet,-0.3
banting,-0.09999999999999999
bantu,-0.05000000000000002
banyak bicara,-0.3
banyak cakap,-0.4
banyak cincong,-0.4
banyak mulut,-0.4
banyak omong,-0.4
banyol,-0.3
baper,-0.15000000000000002
baperan,-0.4
bapet,-0.4
bara,-0.04999999999999999
barang,0.0
barang selundupan,-0.5
barbar,-0.5
barbarisme,-0.5
bareng,0.0
baret,-0.3
barikade,-0.5
baris,-0.5
barkas,-0.5
barua,-0.5
barut,-0.3
barzakh,-0.4
basah,-0.16666666666666666
basi,-0.375
baskom,-0.4
basmi,-0.5
bastar,-0.2
batak,-0.5
batal,-0.5
batalion,-0.5
batang,-0.4
batas,-0.23333333333333334
batas (waktu),0.0
batas waktu,-0.3
batel,-0.4
baterai,-0.4
batil,-0.4
batu,0.0
batu berdahak,-0.4
batu loncatan,-0.3
batu sandungan,-0.5
batuk,-0.45
batuk darah,-0.4
batuk kecil,-0.4
batuk kering,-0.3
batuk lelah,-0.4
batuk-batuk,-0.4
