word,big
(hujan) gerimis,0.2
(warna) dadu,0.6
Agustus,1.0
Ahad,0.6
Amin,1.0
BENAR,1.0
Bagikan,1.0
Bangsawan tinggi,1.0
Bir,1.0
Campuran,0.5
Cantik,1.0
Countess,1.0
Cuka Apel,1.0
Dewan,1.0
Direktur,1.0
Fajar,1.0
Gula,1.0
Himpunan,1.0
Hore,1.0
Ikuti,1.0
Injil,1.0
Iya,1.0
Kalkulator,1.0
Kapten,1.0
Katedral,1.0
Kecantikan,1.0
Kemuliaan,1.0
Kepala Sekolah,1.0
Konvensi,1.0
Mandarin,1.0
Memesan,1.0
Monumen,1.0
Nikmati,1.0
POLISI,1.0
Parade,1.0
Pasifik,1.0
Pasokan,1.0
Pembenahan,1.0
Penghargaan,1.0
Penyihir,1.0
Perdana,1.0
Perpustakaan,1.0
Pilih,0.5
Polandia,1.0
Praktik,1.0
Presiden,1.0
Renaisans,1.0
Roh,1.0
Sage,1.0
Sebagai pengganti,1.0
Sepakat,1.0
Sri paduka,0.8
Sup,1.0
Tuan,1.0
Tuhan,1.0
Universitas,1.0
Yang Dipertuan,0.8
Yobel,1.0
aamiin,0.4
ab,0.6
aba,0.4
abadi,0.5666666666666667
abah,0.6
abba,1.0
abi,0.4
abid,0.6
absolusi,1.0
absorpsi,0.3
accueil,1.0
acuh tak acuh,0.4
ada,0.4
adab,0.6
adakala,0.6
adanya,1.0
adaptasi,0.4
adek,0.1
adi,0.4
adika,1.0
adil,0.48888888888888893
adiluhung,0.6
administrator,0.6
aduhai,0.8
adzan,0.6
afair,0.6
afdal,0.6
afeksi,0.2
afirmasi,0.8
agam,1.0
agung,0.5
ahli,1.0
ahli agama,0.2
ahli astronomi,1.0
ahli bahasa,0.5
ahli kimia,1.0
ahli nujum,1.0
aja,0.2
ajaib,1.0
ajak,0.2
aji,0.4
ajojing,0.6
ajudan,0.8
akademi,1.0
akademik,1.0
akal,1.0
akan datang,1.0
akas,0.2
akhirnya,0.6666666666666666
akhlak,0.8
akidah,0.3
akil,0.8
akomodasi,0.8
akrab,0.8
akrobat,1.0
akses,0.4
aksi,0.4
aktiva,1.0
aktivasi,0.4
aktual,0.8
aku,0.2
akuan,0.3
akuntabel,1.0
alaikum,0.4
alam,0.2
alamat,0.5
alangkah,0.4
alasan,0.25
album,0.3
alegro,1.0
alhamdulilah,0.6
alhamdulillah,1.0
alih generasi,0.8
alim,0.4
alim arif,0.8
alkitabiah,1.0
allah,1.0
aloha,1.0
alot,0.2
amal,0.9
amalan,0.8
aman,1.0
amanah,1.0
amat,0.9
ambilan,0.6
ambisi,0.9
amerta,0.6
amin,0.3
amnesti,1.0
ampas (kopi),0.3
amplop,0.6
anak Adam,0.6
anak anjing,0.5
anak didik,0.6
anak kucing,1.0
anak muda,1.0
anak perempuan,1.0
anak sapi,1.0
anak sasian,0.6
anak sekolah,0.6
anak sungai,0.3333333333333333
anakan,1.0
analis,1.0
analisis,0.8
andai,0.4
andal,0.5
andalan,1.0
andil,0.8
andini,0.4
andur,0.6
aneka,0.6
angan,0.6
angan-angan,0.8
anggapan,0.6
anggar,0.6
angguk,0.2
anggun,1.0
angka,0.25
angkat,0.6
angkut,0.2
angpau,0.8
angsur,0.2
animasi,0.5
animo,0.8
anjung,0.8
ansambel,1.0
ansar,0.8
anteng,0.8
anti peluru,1.0
antibiotik,1.0
antijamur,1.0
antik,1.0
antiseptik,1.0
antisipasi,0.3
antologi,0.2
antusiasme,0.8
anugerah,0.5333333333333333
anyar,0.8
apas,0.5
api,0.26666666666666666
apresiasi,1.0
arabika,0.4
arak,0.4
arif,0.8
aristokrasi,1.0
arkeologi,0.5
arketipe,0.6
aroma,0.5
arsitektur,0.4
arti,0.2
artian,0.6
artifisial,0.6
artikulasi,0.5
artis,0.3666666666666667
artistik,0.6
arung,0.2
asa,0.3
asah asih asuh,0.4
asasi,0.3
asih,0.3
asik,0.8
asket,0.4
asketisme,0.4
asli,0.4
asoi,0.6
aspirasi,1.0
asrama,0.6
asri,0.4
assalamualaikum,0.6
astronaut,1.0
asuh,0.3
atasan,0.6
atensi,0.4
atlet,0.5
atletis,0.5
atom,0.55
atraktif,0.4
atur,0.4
aura,1.0
autentik,0.8
avatar,1.0
awal,0.2
awat,1.0
awet,0.8
ay,1.0
aya,0.6
ayahanda,0.2
ayo,0.8
ayunan,0.3
azamat,0.8
aziz,0.4
babaran,0.6
babe,0.6
baby,0.4
baca,0.3
badut,1.0
bagak,1.0
bagas,1.0
bagus,0.4666666666666666
bagus sekali,1.0
bagusan,0.4
bahadur,1.0
bahaduri,0.8
bahagia,0.6
bahas,0.4
bahasan,0.2
bahenol,1.0
bahu,1.0
baik,0.5333333333333333
baik-baik,0.3
baiklah,0.4
baiknya,0.2
bain,0.3
bajik,0.8
baju,0.4
baju zirah,1.0
bakat,0.6
bakh,0.8
bakir,0.8
baksis,0.4
bakti,0.8
bala bantuan,0.5
balasan,0.6
balet,1.0
balok,1.0
balsem,1.0
banding,0.3
banget,0.2
bangga,0.8
bangkit selera,0.6
bangsawan,0.4666666666666666
bangunan,0.5
banjir,0.4
bantah-bantah,1.0
bantal,1.0
bantalan,0.55
bantuan,0.5
bantuin,0.6
banyak,0.26666666666666666
banyak akal,0.6
banyaknya,0.6
banyolan,0.6
bapa,0.6
bapanda,0.6
bapang,0.6
baptisan,1.0
barang,0.3333333333333333
bareng,0.3
baring,0.4
batas (waktu),0.3
batasan,0.6
batu,0.24444444444444446
batu delima,1.0
batu tulis,1.0
batuan dasar,1.0
bausuku,0.6
bawaan,0.3
bayang,0.4
bayang-bayang,0.6
bayangan,0.6
bayangkara,0.6
bayi,0.5
beasiswa,0.5
beber,0.3
bebodoran,0.4
bedah,0.3
bedegap,0.3
begitu banyak,1.0
bekal,0.6
bekerja,0.3333333333333333
bekerja sama,0.6666666666666666
belagu,0.8
belajar,0.8
belanja,0.4666666666666666
belas kasihan,1.0
belasungkawa,1.0
belok,0.6
belom,0.1
beludru,1.0
belukar,0.6
benak kepala,0.3
benang raja,0.8
benar,0.4666666666666666
benar-benar,0.4
bendera,0.5
bener,0.3
beneran,0.6
benteng,0.1666666666666666
benteng pertahanan,1.0
bentuk,0.8
bentukan,0.6
bentur,0.2
bepergian,0.35
berada,0.8
beradab,1.0
berafiliasi,1.0
berahi,0.5
berakal,0.8
berakar,0.4666666666666666
berakibat,0.6
berakidah,0.8
beralas,0.8
beranak,0.6
beranak-pinak,0.4
berani,0.6666666666666666
beraras,0.8
berarti,0.2
beraturan,0.8
berbagai,0.6
berbagai macam,0.6
berbagi,0.4
berbahagia,0.4
berbakat,0.48888888888888893
berbaring,0.5
berbaris,1.0
berbenak,0.6
berbentuk,0.6
berbetulan,0.6
berbobot,0.4
berbuah,0.4
berbudi luhur,1.0
berbudi pekerti yang baik,0.6
berbulu halus,1.0
berbunga,0.6
berbunga-bunga,1.0
berbusana,0.8
bercahaya,0.8
berceloteh,0.5
bercermin,0.8
bercinta,0.5
bercita rasa,0.6
bercita-cita,1.0
berdagang,0.6
berdandan,0.8
berdarah murni,1.0
berdaya,0.6
berdaya guna,0.8
berdendang,0.8
berderajat,0.8
berdiam,0.4
berdisiplin,0.8
berdoa,0.6
berdua,0.2
berduit,0.8
beredar,0.4
berembuk,0.6
berenang,1.0
berfaedah,0.8
bergairah,0.5333333333333333
bergamat,0.8
bergantung,0.5666666666666667
bergas,0.5
bergaya modern,1.0
bergelora,0.2
bergelut,0.5
bergembira sekali,1.0
bergeming,0.2
bergengsi,0.8
bergerak,0.25
bergigi,0.6
bergizi,0.5
bergolongan,0.8
berguna,0.6666666666666666
berguru,0.6
berhajat,0.4
berharap,0.4
berharga,0.8
berharta,0.8
