word,average
(hujan) gerimis,0.1
(warna) dadu,0.3
Agustus,0.5
Ahad,0.3
Amin,0.5
BENAR,0.5
Bagikan,0.5
Bangsawan tinggi,0.5
Bir,0.5
Campuran,0.25
Cantik,0.5
Countess,0.5
Cuka Apel,0.5
Dewan,0.5
Direktur,0.5
Fajar,0.5
Gula,0.5
Himpunan,0.5
Hore,0.5
Ikuti,0.5
Injil,0.5
Iya,0.5
Kalkulator,0.5
Kapten,0.5
Katedral,0.5
Kecantikan,0.5
Kemuliaan,0.5
Kepala Sekolah,0.5
Konvensi,0.5
Mandarin,0.5
Memesan,0.5
Monumen,0.5
Nikmati,0.5
POLISI,0.5
Pasifik,0.5
Pasokan,0.5
Pembenahan,0.5
Penghargaan,0.5
Penyihir,0.5
Perdana,0.5
Perpustakaan,0.5
Polandia,0.5
Praktik,0.5
Presiden,0.5
Renaisans,0.5
Roh,0.5
Sage,0.5
Sebagai pengganti,0.5
Sepakat,0.5
Sri paduka,0.4
Sup,0.5
Tuhan,0.5
Universitas,0.5
Yang Dipertuan,0.4
Yobel,0.5
aamiin,0.2
ab,0.3
aba,0.2
abadi,0.2833333333333333
abah,0.3
abba,0.5
abi,0.2
abid,0.3
absolusi,0.5
absorpsi,0.09999999999999999
accueil,0.5
acuh tak acuh,0.05000000000000002
ada,0.05000000000000002
adab,0.3
adakala,0.3
adanya,0.5
adaptasi,0.2
adi,0.2
adika,0.5
adil,0.1444444444444445
adiluhung,0.3
administrator,0.3
aduhai,0.4
adzan,0.3
afair,0.3
afdal,0.3
afirmasi,0.4
agam,0.5
agung,0.25
ahli,0.5
ahli agama,0.1
ahli astronomi,0.5
ahli bahasa,0.1
ahli kimia,0.5
ahli nujum,0.5
aja,0.1
ajaib,0.5
ajak,0.1
aji,0.05000000000000002
ajojing,0.3
ajudan,0.4
akademi,0.5
akademik,0.5
akal,0.5
akan datang,0.5
akhirnya,0.3333333333333333
akhlak,0.4
akil,0.4
akomodasi,0.4
akrab,0.4
akrobat,0.5
akses,0.2
aksi,0.2
aktiva,0.5
aktivasi,0.2
aktual,0.4
aku,0.05
akuntabel,0.5
alaikum,0.2
alam,0.05
alamat,0.25
alangkah,0.1
alasan,0.125
album,0.04999999999999999
alegro,0.5
alhamdulilah,0.3
alhamdulillah,0.5
alih generasi,0.4
alim,0.2
alim arif,0.4
alkitabiah,0.5
allah,0.5
aloha,0.5
alot,0.1
amal,0.45
amalan,0.4
aman,0.5
amanah,0.5
amat,0.45
ambilan,0.3
ambisi,0.45
amerta,0.3
amnesti,0.5
ampas (kopi),0.04999999999999999
amplop,0.3
anak Adam,0.3
anak anjing,0.25
anak didik,0.3
anak kucing,0.5
anak muda,0.5
anak perempuan,0.5
anak sapi,0.5
anak sasian,0.3
anak sekolah,0.3
anak sungai,0.16666666666666666
anakan,0.5
analis,0.5
analisis,0.4
andai,0.2
andal,0.2
andalan,0.5
andil,0.4
andini,0.2
andur,0.3
aneka,0.3
angan,0.3
angan-angan,0.4
anggapan,0.3
anggar,0.3
angguk,0.1
anggun,0.5
angka,0.125
angkat,0.3
angkut,0.1
angpau,0.4
angsur,0.1
animasi,0.25
animo,0.4
anjung,0.4
ansambel,0.5
ansar,0.4
anteng,0.4
anti peluru,0.5
antibiotik,0.5
antijamur,0.5
antik,0.5
antiseptik,0.5
antisipasi,0.09999999999999999
antologi,0.1
antusiasme,0.4
anugerah,0.23333333333333334
anyar,0.4
apas,0.1
api,0.0111111111111111
apresiasi,0.5
arabika,0.2
arak,0.2
arif,0.4
aristokrasi,0.5
arkeologi,0.25
arketipe,0.3
aroma,0.25
arsitektur,0.2
arti,0.1
artian,0.3
artifisial,0.3
artikulasi,0.25
artis,0.18333333333333335
artistik,0.23333333333333334
arung,0.1
asa,0.04999999999999999
asah asih asuh,0.2
asih,0.09999999999999999
asik,0.4
asket,0.2
asketisme,0.2
asli,0.2
asoi,0.3
aspirasi,0.5
asrama,0.3
asri,0.05000000000000002
assalamualaikum,0.3
astronaut,0.5
asuh,0.04999999999999999
atasan,0.3
atensi,0.2
atlet,0.25
atletis,0.25
atom,0.275
atraktif,0.1
aura,0.5
autentik,0.4
avatar,0.5
awat,0.5
awet,0.4
ay,0.5
aya,0.3
ayahanda,0.1
ayo,0.4
azamat,0.4
aziz,0.2
babaran,0.3
babe,0.3
baby,0.2
baca,0.09999999999999999
badut,0.5
bagak,0.5
bagas,0.5
bagus,0.09999999999999998
bagus sekali,0.5
bagusan,0.2
bahadur,0.5
bahaduri,0.4
bahagia,0.26666666666666666
bahas,0.2
bahasan,0.1
bahenol,0.5
bahu,0.5
baik,0.23333333333333334
baik-baik,0.09999999999999999
baiklah,0.2
baiknya,0.1
bain,0.04999999999999999
bajik,0.4
baju,0.2
baju zirah,0.5
bakat,0.26666666666666666
bakh,0.4
bakir,0.4
baksis,0.2
bakti,0.4
bala bantuan,0.25
balasan,0.3
balet,0.5
balok,0.5
balsem,0.25
banget,0.1
bangga,0.4
bangkit selera,0.3
bangsawan,0.1333333333333333
bangunan,0.25
bantah-bantah,0.5
bantal,0.5
bantalan,0.275
bantuan,0.25
bantuin,0.3
banyak,0.03333333333333334
banyak akal,0.3
banyaknya,0.3
banyolan,0.3
bapa,0.3
bapanda,0.3
bapang,0.3
baptisan,0.5
baring,0.2
batasan,0.3
batu delima,0.5
batu tulis,0.5
batuan dasar,0.5
bausuku,0.3
bawaan,0.09999999999999999
bayang,0.2
bayang-bayang,0.3
bayangan,0.3
bayangkara,0.3
bayi,0.1
beasiswa,0.25
beber,0.04999999999999999
bebodoran,0.2
bedegap,0.04999999999999999
begitu banyak,0.5
bekal,0.3
bekerja,0.16666666666666666
bekerja sama,0.3333333333333333
belagu,0.4
belajar,0.4
belanja,0.1333333333333333
belas kasihan,0.5
belasungkawa,0.5
belok,0.3
beludru,0.5
belukar,0.3
benang raja,0.4
benar,0.09999999999999998
benar-benar,0.2
bendera,0.1
bener,0.09999999999999999
beneran,0.3
benteng pertahanan,0.5
bentuk,0.4
bentukan,0.3
bentur,0.1
bepergian,0.175
berada,0.4
beradab,0.5
berafiliasi,0.5
berakal,0.4
berakar,0.1333333333333333
berakibat,0.3
berakidah,0.4
beralas,0.4
beranak,0.3
beranak-pinak,0.2
berani,0.3333333333333333
beraras,0.4
berarti,0.1
beraturan,0.4
berbagai,0.3
berbagai macam,0.3
berbagi,0.2
berbahagia,0.15000000000000002
berbakat,0.21111111111111114
berbaring,0.25
berbaris,0.5
berbenak,0.3
berbentuk,0.3
berbetulan,0.3
berbobot,0.2
berbuah,0.2
berbudi luhur,0.5
berbudi pekerti yang baik,0.3
berbulu halus,0.5
berbunga,0.3
berbunga-bunga,0.5
berbusana,0.4
bercahaya,0.4
berceloteh,0.04999999999999999
bercermin,0.4
bercinta,0.25
bercita rasa,0.3
bercita-cita,0.5
berdagang,0.3
berdandan,0.4
berdarah murni,0.5
berdaya,0.3
berdaya guna,0.4
berdendang,0.4
berderajat,0.4
berdiam,0.05000000000000002
berdisiplin,0.4
berdoa,0.2
berdua,0.1
berduit,0.4
beredar,0.2
berembuk,0.3
berenang,0.5
berfaedah,0.4
bergairah,0.16666666666666669
bergamat,0.4
bergantung,0.2
bergas,0.15
bergaya modern,0.5
bergelut,0.04999999999999999
bergembira sekali,0.5
bergeming,0.1
bergengsi,0.4
bergerak,0.125
bergigi,0.3
bergizi,0.25
bergolongan,0.4
berguna,0.3333333333333333
berguru,0.3
berhajat,0.2
berharap,0.05000000000000002
berharga,0.4
berharta,0.4
berhasil,0.4
berhasrat,0.4
berhati-hati,0.04999999999999999
berhias,0.5
berhikmah,0.2
berhuruf,0.5
beribadat,0.05000000000000002
berikhtiar,0.3
beriktikad,0.2
berilmu,0.4
