word,small
abis,0.1
absurd,0.19999999999999998
abu,0.19999999999999998
aduh,0.1
afiliasi,0.2
aib,0.06666666666666667
ajakan,0.1
ajal,0.3
ajar,0.1
akar,0.2
akibat,0.06666666666666667
aktif,0.2
alamiah,0.2
aliansi,0.1
amor,0.2
ampun,0.1
amuk,0.1
ana,0.2
anak,0.16666666666666666
aneh,0.3142857142857143
anekdot,0.2
anjir,0.1
antipati,0.13333333333333333
antusias,0.2
anut,0.2
apatis,0.06666666666666667
arah,0.1
armada,0.25
asmara,0.2
asosiasi,0.3
astaga,0.3
astagfirullah,0.3
atas,0.16666666666666666
awas,0.26666666666666666
ayun,0.1
azimat,0.1
bacot,0.3
bagi,0.2
baginda,0.2
bajing,0.1
bakar,0.1
baku,0.1
balas,0.06666666666666667
bangan,0.2
bangkit,0.2
banting,0.1
bantu,0.3
baper,0.1
bara,0.2
bau tanah,0.1
bawa,0.1
bayar,0.1
bebas,0.25
becus,0.1
bekas,0.26666666666666666
belas,0.2
beli,0.2
benci,0.26666666666666666
bentang,0.1
beragam,0.3333333333333333
beranda,0.1
berat,0.125
bercanda,0.25
bercokol,0.3
berdansa,0.3
berdarah,0.4
berdengung,0.25
berdenyut,0.13333333333333333
bergabung,0.25
bergelanggang,0.2
bergema,0.1
bergetar,0.1
berjatuhan,0.1
berkeluarga,0.2
berkuat,0.3
berlabuh,0.19999999999999998
berlebih,0.1
bermukim,0.2
bernas,0.2
beroperasi,0.1
berperang,0.19999999999999998
berprasangka,0.06666666666666667
berproses,0.1
bersangkut,0.1
bersedia,0.1
berserah,0.2
bersesal,0.1
bersikukuh,0.1
bersila,0.2
bersiteguh,0.1
bertanding,0.2
bertingkat,0.1
bertukar akal,0.1
berumah tangga,0.2
beterbangan,0.2
betul,0.2
biadab,0.19999999999999998
biang keladi,0.3
biar,0.1
biarkan,0.1
biasa,0.18888888888888888
bikinan,0.3
binasa,0.19999999999999998
bisu,0.1
bobot,0.4666666666666666
bom,0.06666666666666667
bombastis,0.2
bopong,0.1
boros,0.3333333333333333
buah,0.2
bunda,0.3
bungkam,0.06666666666666667
buru,0.1
buru-buru,0.1
cadang,0.2
cakap,0.2
candu,0.19999999999999998
capai,0.4
cegak,0.1
cekat,0.2
cekatan,0.2
cemplung,0.1
cendekia,0.3
cenderung,0.16666666666666666
cengang,0.1
cengkeram,0.1
cercah,0.2
