Indonesian Word,big
Abu,-1
Agak,-1
Berbuat curang,-1
Birch,-1
Brendi,-1
Burung puyuh,-1
Gila,-1
Kecelakaan kapal,-1
Kejam,-1
Komunis,-1
Negro,-1
Palsu,-1
Perlengkapan tulis,-1
Saya akan,-1
Scotch,-1
Sial,-1
Tukang onar,-1
abnormal,-1
abortus,-1
abrasi,-1
absen,-2
abses,-1
absurd,-1
abu,-1
acar,-1
adonan,-1
agak mabuk,-1
agitasi,-1
agresi,-1
agresif,-3
agresor,-1
aib,-3
air kotor,-1
air raksa,-1
akibat,-1
akusatif,-1
alarm,-1
algojo,-2
alimentasi,-1
alkoholisme,-1
almarhum,-2
amarah,-1
ambang,-1
ambigu,-1
amfetamin,-1
amnesia,-1
amoralitas,-1
anak bodoh,-1
anak yatim,-1
anakonda,-1
anal,-1
anarki,-1
anarkis,-1
anarkisme,-1
ancaman,-2
aneh,-4
angin puyuh,-1
angina,-1
angkuh,-1
anomali,-1
anonim,-1
antagonis,-1
antagonisme,-1
antar,-1
antikristus,-1
antipati,-1
antisosial,-1
antitesis,-1
antraks,-1
anumerta,-1
apache,-1
apak,-1
apati,-1
apatis,-1
api,-1
api penyucian,-1
argumen,-1
argumentatif,-1
arogan,-1
arsenik,-1
artileri,-2
asam,-1
asap,-1
asing,-1
asusila,-1
ateisme,-1
aterosklerosis,-1
atrophia,-1
autopsi,-1
awas,-1
babak belur,-1
babi,-3
babon,-1
badai,-5
bagal,-1
bahaya,-4
bahkan,-1
bajak laut,-1
bajingan,-6
bakteri,-2
bal,-1
balas,-1
banci,-3
bandel,-1
bandit,-1
bang,-1
banger,-1
bangkai,-1
bangkrut,-3
bangku,-1
banshee,-1
barang selundupan,-1
barbar,-1
barbarisme,-1
barikade,-1
baris,-1
basah,-1
basi,-1
batak,-1
batas,-1
baterai,-1
batu sandungan,-1
batuk,-1
bau,-4
bawaan,-1
bawah,-2
bawahan,-1
bayonet,-1
beban,-1
begitu saja,-1
bejat,-1
bekam,-1
bekas,-1
bekas luka,-1
bekerja keras,-1
belahan jiwa,-1
belakang,-1
belalang,-1
belati,-1
belatung,-1
belenggu,-1
belerang,-1
belitan,-1
belum dewasa,-1
belum dibayar,-1
belum dicuci,-1
belum lahir,-1
belum selesai,-1
belum tahu,-1
bencana,-4
benci,-4
bengkak,-3
bentrok,-1
bentrokan,-1
beracun,-2
berair,-1
berakhir,-1
berantakan,-2
berat,-3
berawa,-1
berbahaya,-9
berbau,-1
berbeda,-1
berbicara,-1
berbisa,-1
berbohong,-1
berbuat dosa,-1
berbuat salah,-1
berbulu,-1
berdarah,-3
berdebar,-1
berdenyut,-1
berderit,-1
berduka,-1
berduri,-2
berebut,-1
bergejolak,-1
bergolak,-1
bergumam,-2
berhantu,-1
berhenti,-4
berisik,-1
berisiko,-1
berita kematian,-1
berjongkok,-1
berjuang,-2
berjudi,-2
berjumbai,-1
berkampanye,-1
berkarat,-1
berkecil hati,-1
berkedut,-1
berkelahi,-1
"berkeliaran, menyimpang",-1
berkelok-kelok,-1
berkenaan dengan perang,-1
berkeropeng,-1
berkhayal,-1
berkubang,-1
berkurang,-1
berlabuh,-1
berlangganan,-1
berlapis,-1
berlawanan,-1
berlebihan,-2
berlemak,-1
berlendir,-1
berlumpur,-1
bermuka dua,-1
bermuka masam,-1
bermusuhan,-3
berperang,-1
berprasangka,-1
berpura-pura,-4
berputus asa,-1
bersakit,-1
bersalah,-2
bersedih,-1
bersekongkol,-1
bersifat membatasi,-1
bersin,-1
bersisik,-1
bertakhyul,-1
bertarung,-1
bertele-tele,-1
bertengkar,-2
bertentangan,-2
berteriak,-2
berterimakasih,-1
berubah warna,-1
berubah-ubah,-1
berukuran kecil,-1
berulang,-1
biadab,-1
biarawati,-1
bias,-2
biasa-biasa saja,-2
biaya,-1
biaya tambahan,-1
bidaah,-1
bidak,-1
bikinan,-1
bimbang,-3
binasa,-2
binatang buas,-1
bingung,-3
bintik,-1
biopsi,-1
birokrasi,-1
birokrat,-1
biru,-1
bisa salah,-1
bisa ular,-1
blokade,-1
bobrok,-1
bocor,-2
bocoran,-1
bodoh,-8
bohong,-2
bom,-1
bordil,-1
brigade,-1
brutal,-2
bruto,-1
buas,-1
budak,-1
buih,-1
bujukan,-1
bukan kepalang,-1
bulat,-1
bulu,-1
bulu babi,-1
bulu domba,-1
bulu mata,-1
bunga pala,-1
bungkam,-1
bunuh diri,-1
buram,-1
buritan,-1
buronan,-1
buruk,-4
buruk sekali,-1
burung bangkai,-1
burung beo,-1
burung raptor,-1
busuk,-2
buta,-1
buta huruf,-1
butir,-1
cabul,-2
cacat,-7
cacian,-1
cacing,-1
cad,-1
cakar,-2
camar,-1
cambuk,-1
campak,-1
campur aduk,-1
candaan,-1
candu,-2
cedera,-1
cekung,-1
celah,-1
cemas,-1
cemberut,-2
cemburu,-1
cemooh,-1
cercaan,-1
cerewet,-3
ceroboh,-3
cess,-1
coklat kekuningan,-1
contoh,-1
curang,-1
curiga,-1
dada,-1
daemon,-1
daerah kantong,-1
daerah kumuh,-1
dahak,-1
dakwaan,-2
dalam hal,-1
dangkal,-1
dapat ditindaklanjuti,-1
dara,-1
daratan rendah,-1
darurat,-1
debu,-1
defisit,-1
deflasi,-1
degradasi,-2
deklinasi,-1
