Indonesian Word,average
Abu,-0.5
Agak,-0.5
Berbuat curang,-0.5
Birch,-0.5
Brendi,-0.5
Burung puyuh,-0.5
Gila,-0.5
Kecelakaan kapal,-0.5
Kejam,-0.5
Komunis,-0.5
Negro,-0.5
Palsu,-0.5
Parade,0.0
Perlengkapan tulis,-0.5
Pilih,0.0
Saya akan,-0.5
Scotch,-0.5
Sial,-0.5
Tuan,0.0
Tukang onar,-0.5
abnormal,-0.5
abortus,-0.5
abrasi,-0.5
absen,-1.0
abses,-0.5
absurd,-0.5
abu,-0.5
acar,-0.5
adonan,-0.5
agak mabuk,-0.5
agitasi,-0.5
agresi,-0.5
agresif,-1.5
agresor,-0.5
aib,-1.5
air kotor,-0.5
air raksa,-0.5
akibat,-0.5
akusatif,-0.5
alarm,-0.5
algojo,-1.0
alimentasi,-0.5
alkoholisme,-0.5
almarhum,-1.0
amarah,-0.5
ambang,-0.5
ambigu,-0.5
amfetamin,-0.5
amnesia,-0.5
amoralitas,-0.5
anak bodoh,-0.5
anak yatim,-0.5
anakonda,-0.5
anal,-0.5
anarki,-0.5
anarkis,-0.5
anarkisme,-0.5
ancaman,-1.0
aneh,-1.5
angin puyuh,-0.5
angina,-0.5
angkuh,-0.5
anomali,-0.5
anonim,-0.5
antagonis,-0.5
antagonisme,-0.5
antar,-0.5
antikristus,-0.5
antipati,-0.5
antisosial,-0.5
antitesis,-0.5
antraks,-0.5
anumerta,-0.5
apache,-0.5
apak,-0.5
apati,-0.5
apatis,-0.5
api,-0.5
api penyucian,-0.5
argumen,-0.5
argumentatif,-0.5
arogan,-0.5
arsenik,-0.5
artileri,-1.0
asam,-0.5
asap,-0.5
asing,-0.5
asusila,-0.5
ateisme,-0.5
aterosklerosis,-0.5
atrophia,-0.5
autopsi,-0.5
awas,-0.5
babak belur,-0.5
babi,-1.5
babon,-0.5
badai,-2.5
bagal,-0.5
bahaya,-2.0
bahkan,-0.5
bajak laut,-0.5
bajingan,-3.0
bakteri,-1.0
bal,-0.5
balas,-0.5
banci,-1.5
bandel,-0.5
bandit,-0.5
bang,-0.5
banger,-0.5
bangkai,-0.5
bangkrut,-1.5
bangku,-0.5
banshee,-0.5
barang,0.0
barang selundupan,-0.5
barbar,-0.5
barbarisme,-0.5
barikade,-0.5
baris,-0.5
basah,-0.5
basi,-0.5
batak,-0.5
batas,-0.5
baterai,-0.5
batu,0.0
batu sandungan,-0.5
batuk,-0.5
bau,-2.0
bawaan,-0.5
bawah,-1.0
bawahan,-0.5
bayonet,-0.5
beban,-0.5
begitu saja,-0.5
bejat,-0.5
bekam,-0.5
bekas,-0.5
bekas luka,-0.5
bekerja keras,-0.5
belahan jiwa,-0.5
belakang,-0.5
belalang,-0.5
belati,-0.5
belatung,-0.5
belenggu,-0.5
belerang,-0.5
belitan,-0.5
belum dewasa,-0.5
belum dibayar,-0.5
belum dicuci,-0.5
belum lahir,-0.5
belum selesai,-0.5
belum tahu,-0.5
bencana,-2.0
benci,-2.0
bengkak,-1.5
benteng,0.0
bentrok,-0.5
bentrokan,-0.5
beracun,-1.0
berair,-0.5
berakhir,-0.5
berantakan,-1.0
berat,-1.0
berawa,-0.5
berbahaya,-4.5
berbau,-0.5
berbeda,-0.5
berbicara,-0.5
berbisa,-0.5
berbohong,-0.5
berbuat dosa,-0.5
berbuat salah,-0.5
berbulu,-0.5
berdarah,-1.5
berdebar,-0.5
berdengung,0.0
berdenyut,-0.5
berderit,-0.5
berduka,-0.5
berduri,-1.0
berebut,-0.5
bergantung,0.0
bergejolak,-0.5
bergolak,-0.5
bergumam,-1.0
berhantu,-0.5
berhenti,-2.0
berisik,-0.5
berisiko,-0.5
berita kematian,-0.5
berjongkok,-0.5
berjuang,-1.0
berjudi,-1.0
berjumbai,-0.5
berkampanye,-0.5
berkarat,-0.5
berkecil hati,-0.5
berkedut,-0.5
berkelahi,-0.5
"berkeliaran, menyimpang",-0.5
berkelok-kelok,-0.5
berkenaan dengan perang,-0.5
berkeropeng,-0.5
berkhayal,-0.5
berkomitmen,0.0
berkubang,-0.5
berkurang,-0.5
berlabuh,-0.5
berlangganan,-0.5
berlapis,-0.5
berlawanan,-0.5
berlebihan,-1.0
berlemak,-0.5
berlendir,-0.5
berlumpur,-0.5
bermuka dua,-0.5
bermuka masam,-0.5
bermusuhan,-1.5
berperang,-0.5
berprasangka,-0.5
berpura-pura,-2.0
berputus asa,-0.5
bersakit,-0.5
bersalah,-1.0
bersedih,-0.5
bersekongkol,-0.5
bersenjata,0.0
bersifat membatasi,-0.5
bersin,-0.5
bersisik,-0.5
bertakhyul,-0.5
bertarung,-0.5
bertele-tele,-0.5
bertengkar,-1.0
bertentangan,-1.0
berteriak,-1.0
berterimakasih,-0.5
berubah warna,-0.5
berubah-ubah,-0.5
berukuran kecil,-0.5
berulang,-0.5
besi,0.0
biadab,-0.5
biara,0.0
biarawati,-0.5
bias,-1.0
biasa-biasa saja,-1.0
biaya,-0.5
biaya tambahan,-0.5
bidaah,-0.5
bidak,-0.5
bidan,0.0
bikinan,-0.5
bimbang,-1.5
binasa,-1.0
binatang buas,-0.5
bingung,-1.5
bintik,-0.5
biopsi,-0.5
birokrasi,-0.5
birokrat,-0.5
biru,-0.5
bisa salah,-0.5
bisa ular,-0.5
blokade,-0.5
bobot,0.0
bobrok,-0.5
bocor,-1.0
bocoran,-0.5
bodoh,-4.0
bohong,-1.0
bom,-0.5
bordil,-0.5
boros,0.0
brigade,-0.5
brutal,-1.0
bruto,-0.5
buas,-0.5
budak,-0.5
buih,-0.5
bujukan,-0.5
bukan kepalang,-0.5
bulat,-0.5
bulu,-0.5
bulu babi,-0.5
bulu domba,-0.5
bulu mata,-0.5
bunga pala,-0.5
bungkam,-0.5
bunuh diri,-0.5
buram,-0.5
buritan,-0.5
buronan,-0.5
buruk,-2.0
