Indonesian Word,small
Abu,0
Agak,0
Agustus,0
Amin,0
BENAR,0
Bagikan,0
Bangsawan tinggi,0
Berbuat curang,0
Bir,0
Birch,0
Brendi,0
Burung puyuh,0
Campuran,0
Cantik,0
Countess,0
Cuka Apel,0
Dewan,0
Direktur,0
Fajar,0
Gila,0
Gula,0
Himpunan,0
Hore,0
Ikuti,0
Injil,0
Iya,0
Kalkulator,0
Kapten,0
Katedral,0
Kecantikan,0
Kecelakaan kapal,0
Kejam,0
Kemuliaan,0
Kepala Sekolah,0
Komunis,0
Konvensi,0
Mandarin,0
Memesan,0
Monumen,0
Negro,0
Nikmati,0
POLISI,0
Palsu,0
Parade,-1
Pasifik,0
Pasokan,0
Pembenahan,0
Penghargaan,0
Penyihir,0
Perdana,0
Perlengkapan tulis,0
Perpustakaan,0
Pilih,-1
Polandia,0
Praktik,0
Presiden,0
Renaisans,0
Roh,0
Sage,0
Saya akan,0
Scotch,0
Sebagai pengganti,0
Sepakat,0
Sial,0
Sup,0
Tuan,-1
Tuhan,0
Tukang onar,0
Universitas,0
Yobel,0
abadi,0
abba,0
abnormal,0
abortus,0
abrasi,0
absen,0
abses,0
absolusi,0
absurd,0
abu,0
acar,0
accueil,0
adanya,0
adil,0
adonan,0
afirmasi,0
agak mabuk,0
agitasi,0
agresi,0
agresif,0
agresor,0
agung,0
ahli,0
ahli astronomi,0
ahli bahasa,0
ahli kimia,0
ahli nujum,0
aib,0
air kotor,0
air raksa,0
ajaib,0
akademi,0
akademik,0
akal,0
akan datang,0
akhirnya,0
akibat,0
akomodasi,0
akrab,0
akrobat,0
aktiva,0
akuntabel,0
akusatif,0
alamat,0
alarm,0
alasan,0
alegro,0
algojo,0
alimentasi,0
alkitabiah,0
alkoholisme,0
almarhum,0
aloha,0
amal,0
aman,0
amarah,0
amat,0
ambang,0
ambigu,0
ambisi,0
amfetamin,0
amnesia,0
amnesti,0
amoralitas,0
anak,0
anak anjing,0
anak bodoh,0
anak kucing,0
anak muda,0
anak perempuan,0
anak sapi,0
anak sungai,0
anak yatim,0
anakonda,0
anal,0
analis,0
anarki,0
anarkis,0
anarkisme,0
ancaman,0
andalan,0
anggun,0
angin puyuh,0
angina,0
angka,0
angkuh,0
animasi,0
anomali,0
anonim,0
ansambel,0
antagonis,0
antagonisme,0
antar,0
anti peluru,0
antibiotik,0
antijamur,0
antik,0
antikristus,0
antipati,0
antiseptik,0
antisosial,0
antitesis,0
antraks,0
antusiasme,0
anugerah,0
anumerta,0
apache,0
apak,0
apati,0
apatis,0
api,0
api penyucian,0
apresiasi,0
argumen,0
argumentatif,0
aristokrasi,0
arkeologi,0
armada,0
arogan,0
aroma,0
arsenik,0
artikulasi,0
artileri,0
artis,0
artistik,0
asam,0
asap,0
asing,0
aspirasi,0
astronaut,0
asusila,0
atas,0
ateisme,0
aterosklerosis,0
atlet,0
atletis,0
atom,0
atrophia,0
aura,0
autentik,0
autopsi,0
avatar,0
awas,0
ay,0
babak belur,0
babi,0
babon,0
badai,0
badut,0
bagal,0
bagus,0
bagus sekali,0
bahagia,0
bahaya,0
bahenol,0
bahkan,0
bahu,0
baik,0
bajak laut,0
bajingan,0
baju zirah,0
bakat,0
bakteri,0
bal,0
bala bantuan,0
balas,0
balet,0
balok,0
balsem,-1
banci,0
bandel,0
bandit,0
bang,0
banger,0
bangga,0
bangkai,0
bangkrut,0
bangku,0
bangsawan,0
bangunan,0
banshee,0
bantal,0
bantalan,0
bantuan,0
banyak,0
baptisan,0
barang,-1
barang selundupan,0
barbar,0
barbarisme,0
barikade,0
baris,0
basah,0
basi,0
batak,0
batas,0
baterai,0
batu,-1
batu delima,0
batu sandungan,0
batu tulis,0
batuan dasar,0
batuk,0
bau,0
bawaan,0
bawah,0
bawahan,0
bayi,0
bayonet,0
beasiswa,0
beban,0
bebas,0
begitu banyak,0
begitu saja,0
bejat,0
bekam,0
bekas,0
bekas luka,0
bekerja,0
bekerja keras,0
bekerja sama,0
belahan jiwa,0
belajar,0
belakang,0
belalang,0
belanja,0
belas kasihan,0
belasungkawa,0
belati,0
belatung,0
belenggu,0
belerang,0
belitan,0
beludru,0
belum dewasa,0
belum dibayar,0
belum dicuci,0
belum lahir,0
belum selesai,0
belum tahu,0
benar,0
bencana,0
benci,0
bendera,0
bengkak,0
benteng,-1
benteng pertahanan,0
bentrok,0
bentrokan,0
bepergian,0
beracun,0
beradab,0
berafiliasi,0
beragam,-1
berair,0
berakar,0
berakhir,0
berani,0
berantakan,0
berawa,0
berbahaya,0
berbakat,0
berbaring,0
berbaris,0
berbau,0
berbeda,0
berbicara,0
berbisa,0
berbohong,0
berbuat dosa,0
berbuat salah,0
berbudi luhur,0
berbulu,0
berbulu halus,0
berbunga-bunga,0
bercanda,0
berceloteh,0
bercinta,0
bercita-cita,0
berdarah,0
berdarah murni,0
berdebar,0
berdengung,-1
berdenyut,0
berderit,0
berdoa,0
berduka,0
berduri,0
berebut,0
berenang,0
bergabung,0
bergairah,0
bergantung,-1
bergaya modern,0
bergejolak,0
bergelut,0
bergembira sekali,0
bergerak,0
bergizi,0
bergolak,0
bergumam,0
berguna,0
berhantu,0
berharga,0
berhasil,0
berhasrat,0
berhenti,0
berhias,0
berhuruf,0
berimprovisasi,0
berinovasi,0
berirama,0
berisik,0
berisiko,0
berita kematian,0
berjaya,0
berjongkok,0
berjuang,0
berjudi,0
berjumbai,0
berkah,0
berkampanye,0
berkarat,0
berkecil hati,0
berkedut,0
berkelahi,0
"berkeliaran, menyimpang",0
berkelok-kelok,0
berkembang,0
berkenaan dengan perang,0
berkeropeng,0
berkhayal,0
berkilau,0
berkilauan,0
berkomitmen,-1
berkubang,0
berkurang,0
berlabuh,0
berlangganan,0
berlangsung mudah,0
berlapis,0
berlawanan,0
berlebihan,0
berlemak,0
berlendir,0
berlian,0
berlimpah,0
berlumpur,0
bermanfaat,0
bermartabat,0
bermentega,0
bermuka dua,0
bermuka masam,0
bermusuhan,0
bernilai,0
berotot,0
berpelukan,0
berpendar,0
berpendidikan,0
berpengalaman,0
berpengaruh,0
berperang,0
berprasangka,0
berpura-pura,0
berputus asa,0
bersahaja,0
bersakit,0
bersalah,0
bersangkutan,0
bersarang,0
bersedih,0
bersekongkol,0
bersekutu,0
bersemangat,0
bersenang-senang,0
bersenda gurau,0
bersenjata,-1
berseri,0
berseri-seri,0
bersifat membatasi,0
bersifat mendidik,0
bersih,0
bersin,0
bersinar,0
bersisik,0
bersorak,0
bersuka cita,0
bersuka ria,0
bersumpah,0
bersyukur,0
bertahan,0
bertahan hidup,0
bertakhyul,0
bertanggung jawab,0
bertarung,0
bertekad,0
bertele-tele,0
berteman,0
bertengkar,0
bertentangan,0
berteriak,0
berterima kasih,0
berterimakasih,0
bertunangan,0
berubah warna,0
berubah-ubah,0
berukuran kecil,0
berulang,0
beruntung,0
berusaha keras,0
berwibawa,0
besar,0
besi,-1
biadab,0
biara,-1
biarawan,0
biarawati,0
bias,0
biasa,0
biasa-biasa saja,0
biaya,0
biaya tambahan,0
bicara,0
bidaah,0
bidak,0
bidan,-1
bijak,0
bijaksana,0
bikinan,0
bimbang,0
binar,0
binasa,0
binatang buas,0
bingung,0
bintang,0
bintik,0
biopsi,0
birokrasi,0
birokrat,0
biru,0
bisa dipertahankan,0
bisa salah,0
bisa ular,0
blokade,0
bobot,-1
bobrok,0
bocor,0
bocoran,0
bodoh,0
bohong,0
bola api,0
bola basket,0
bom,0
bonne,0
bonus,0
bordil,0
boros,-2
brigade,0
brokat,0
brutal,0
bruto,0
buaian,0
buas,0
budak,0
budaya,0
buih,0
bujukan,0
bukan kepalang,0
buket,0
buku harian,0
buku panduan,0
bulan madu,0
bulat,0
buldog,0
bulu,0
bulu babi,0
bulu domba,0
bulu mata,0
bunga,0
bunga pala,0
bungkam,0
bunuh diri,0
bupati,0
buram,0
