Indonesian Word,big
Agustus,1
Amin,1
BENAR,1
Bagikan,1
Bangsawan tinggi,1
Bir,1
Campuran,1
Cantik,1
Countess,1
Cuka Apel,1
Dewan,1
Direktur,1
Fajar,1
Gula,1
Himpunan,1
Hore,1
Ikuti,1
Injil,1
Iya,1
Kalkulator,1
Kapten,1
Katedral,1
Kecantikan,1
Kemuliaan,1
Kepala Sekolah,1
Konvensi,1
Mandarin,1
Memesan,1
Monumen,1
Nikmati,1
POLISI,1
Parade,1
Pasifik,1
Pasokan,1
Pembenahan,1
Penghargaan,1
Penyihir,1
Perdana,1
Perpustakaan,1
Pilih,1
Polandia,1
Praktik,1
Presiden,1
Renaisans,1
Roh,1
Sage,1
Sebagai pengganti,1
Sepakat,1
Sup,1
Tuan,1
Tuhan,1
Universitas,1
Yobel,1
abadi,2
abba,1
absolusi,1
accueil,1
adanya,1
adil,2
afirmasi,1
agung,1
ahli,3
ahli astronomi,1
ahli bahasa,1
ahli kimia,1
ahli nujum,1
ajaib,1
akademi,1
akademik,1
akal,2
akan datang,1
akhirnya,2
akomodasi,1
akrab,1
akrobat,1
aktiva,1
akuntabel,1
alamat,1
alasan,1
alegro,1
alkitabiah,1
aloha,1
amal,1
aman,1
amat,1
ambisi,1
amnesti,1
anak,1
anak anjing,1
anak kucing,1
anak muda,1
anak perempuan,1
anak sapi,1
anak sungai,1
analis,1
andalan,1
anggun,2
angka,1
animasi,1
ansambel,1
anti peluru,1
antibiotik,1
antijamur,1
antik,1
antiseptik,1
antusiasme,1
anugerah,2
apresiasi,1
aristokrasi,1
arkeologi,1
armada,1
aroma,1
artikulasi,1
artis,1
artistik,1
aspirasi,1
astronaut,1
atas,1
atlet,1
atletis,1
atom,1
aura,1
autentik,1
avatar,1
ay,1
badut,1
bagus,1
bagus sekali,1
bahagia,1
bahenol,1
bahu,1
baik,3
baju zirah,1
bakat,3
bala bantuan,1
balet,1
balok,2
balsem,2
bangga,1
bangsawan,4
bangunan,1
bantal,1
bantalan,2
bantuan,1
banyak,1
baptisan,1
barang,1
batu,1
batu delima,1
batu tulis,1
batuan dasar,1
bayi,2
beasiswa,1
bebas,1
begitu banyak,1
bekerja,1
bekerja sama,2
belajar,1
belanja,1
belas kasihan,1
belasungkawa,1
beludru,1
benar,1
bendera,1
benteng,1
benteng pertahanan,1
bepergian,1
beradab,1
berafiliasi,1
beragam,2
berakar,1
berani,4
berbakat,2
berbaring,1
berbaris,1
berbudi luhur,1
berbulu halus,1
berbunga-bunga,1
bercanda,1
berceloteh,1
bercinta,1
bercita-cita,2
berdarah murni,1
berdengung,1
berdoa,1
berenang,1
bergabung,1
bergairah,1
bergantung,1
bergaya modern,1
bergelut,1
bergembira sekali,1
bergerak,1
bergizi,1
berguna,1
berharga,2
berhasil,3
berhasrat,1
berhias,1
berhuruf,1
berimprovisasi,1
berinovasi,1
berirama,1
berjaya,2
berkah,2
berkembang,1
berkilau,2
berkilauan,1
berkomitmen,1
berlangsung mudah,1
berlian,1
berlimpah,1
bermanfaat,5
bermartabat,1
bermentega,1
bernilai,1
berotot,1
berpelukan,1
berpendar,1
berpendidikan,1
berpengalaman,2
berpengaruh,1
bersahaja,1
bersangkutan,1
bersarang,1
bersekutu,1
bersemangat,2
bersenang-senang,2
bersenda gurau,2
bersenjata,1
berseri,1
berseri-seri,1
bersifat mendidik,1
bersih,1
bersinar,2
bersorak,2
bersuka cita,1
bersuka ria,1
bersumpah,1
bersyukur,1
bertahan,1
bertahan hidup,1
bertanggung jawab,1
bertekad,1
berteman,1
berterima kasih,1
bertunangan,2
beruntung,2
berusaha keras,1
berwibawa,2
besar,2
besi,1
biara,1
biarawan,1
biasa,1
bicara,1
bidan,1
bijak,1
bijaksana,5
binar,1
bintang,2
bisa dipertahankan,1
bobot,1
bola api,1
bola basket,1
bonne,1
bonus,1
boros,2
brokat,1
buaian,1
budaya,1
buket,1
buku harian,1
buku panduan,1
bulan madu,1
buldog,1
bunga,2
bupati,1
cabang,1
cahaya,1
cahaya bintang,1
cahaya matahari,1
cahaya redup,1
cakrawala,1
calon,1
canggih,1
cangkir,1
cantik,1
cekikikan,1
cemerlang,1
cenderung,1
cepat,3
cerah,2
cerdas,2
cerdik,2
ceri,1
ceria,2
cinta,3
ciuman,2
cocok,1
cokelat,1
crescendo,1
cucu,1
cukup,1
daftar periksa,1
dalil,1
dapat diakses,1
dapat diandalkan,1
dapat dibuktikan,1
dapat dicapai,1
dapat dikreditkan,1
dapat dinavigasi,1
dapat dipasarkan,1
dapat disembuhkan,1
dapat diterima,2
dasar,3
daya hidup,1
daya konduksi,1
daya tahan,2
daya tarik,4
dedikasi,1
definitif,1
demokrasi,1
demonstratif,1
dengan hati-hati,1
dengan kuat,2
dengan murah hati,1
dengan rendah hati,1
dengan santai,1
dengan senang hati,1
dengan tegas,3
dengung,1
depan,1
derajat,1
dermawan,3
desinfeksi,1
deskriptif,1
deteksi,1
di depan,1
diam,3
diampuni,1
dibenarkan,1
diberikan,1
diberkahi,1
diberkati,1
dibudidayakan,1
dicatat,1
didukung,1
diet,1
diinginkan,1
dikenali,1
dikonfirmasi,1
dikreditkan,1
dilegalkan,1
dimanifestasikan,1
dimulainya kembali,1
diperbolehkan,1
diperoleh,1
diplomasi,1
diplomatik,1
dipoles,1
dipopulerkan,1
dipraktekkan,1
dipuji,1
diramalkan,1
diremajakan,1
disebutkan di atas,1
disengaja,2
diskresi,1
diskusi,1
distilasi,1
ditahbiskan,1
ditandai,1
ditemukan,1
diterima,1
ditingkatkan,1
diukur,1
diverifikasi,1
diwakili,1
dokter,2
domba,1
dorongan,1
dua bahasa,1
duet,1
durian runtuh,1
duta besar,1
efektif,1
efisien,1
efisiensi,1
ejaan,1
ejakulasi,1
ek,1
eksotik,1
ekspedisi,1
ekspektasi,1
ekstasi,1
ekuitas,1
elaborasi,1
elite,1
emansipasi,1
emas,1
emeritus,1
emir,1
empati,1
encore,1
energik,1
ensiklopedi,1
ephemeris,1
epik,1
erotis,1
estetika,2
estetis,1
etika,1
etis,1
evolusi,1
fakta,1
fakultas,1
farmasi,1
fasih,1
favorit,1
festival,1
filsuf,1
fisika,1
fisiologi,1
fitting,1
fitur,1
fleksibilitas,1
fokus,1
fonetis,1
formatif,1
fusi,1
gadis,1
gagah,2
gagasan,1
gaib,1
gairah,1
gaji,1
ganti rugi,2
garnisun,1
gawang,1
gembala,1
gembira,3
gencatan senjata,1
gerah,1
gereja,1
giat,1
gigi,1
gigih,3
giliran,1
gubernur,1
gurih,2
guru,3
habitat,1
hadiah,2
haid,1
hak lebih tinggi,1
halus,1
harapan,1
harga diri,1
hari libur,1
hari ulang tahun,1
harmoni,1
harta benda,1
harta karun,1
harum,1
hasil,1
hasil karya,1
hati nurani,1
hati-hati,2
hebat,1
hedonisme,1
helm,1
hemat,1
heran,1
heroik,2
hiasan,1
hiburan,3
hidup,1
hidup bersama,1
