Indonesian Word,average
Agustus,0.5
Amin,0.5
BENAR,0.5
Bagikan,0.5
Bangsawan tinggi,0.5
Bir,0.5
Campuran,0.5
Cantik,0.5
Countess,0.5
Cuka Apel,0.5
Dewan,0.5
Direktur,0.5
Fajar,0.5
Gula,0.5
Himpunan,0.5
Hore,0.5
Ikuti,0.5
Injil,0.5
Iya,0.5
Kalkulator,0.5
Kapten,0.5
Katedral,0.5
Kecantikan,0.5
Kemuliaan,0.5
Kepala Sekolah,0.5
Konvensi,0.5
Mandarin,0.5
Memesan,0.5
Monumen,0.5
Nikmati,0.5
POLISI,0.5
Pasifik,0.5
Pasokan,0.5
Pembenahan,0.5
Penghargaan,0.5
Penyihir,0.5
Perdana,0.5
Perpustakaan,0.5
Polandia,0.5
Praktik,0.5
Presiden,0.5
Renaisans,0.5
Roh,0.5
Sage,0.5
Sebagai pengganti,0.5
Sepakat,0.5
Sup,0.5
Tuhan,0.5
Universitas,0.5
Yobel,0.5
abadi,1.0
abba,0.5
absolusi,0.5
accueil,0.5
adanya,0.5
adil,1.0
afirmasi,0.5
agung,0.5
ahli,1.5
ahli astronomi,0.5
ahli bahasa,0.5
ahli kimia,0.5
ahli nujum,0.5
ajaib,0.5
akademi,0.5
akademik,0.5
akal,1.0
akan datang,0.5
akhirnya,1.0
akomodasi,0.5
akrab,0.5
akrobat,0.5
aktiva,0.5
akuntabel,0.5
alamat,0.5
alasan,0.5
alegro,0.5
alkitabiah,0.5
aloha,0.5
amal,0.5
aman,0.5
amat,0.5
ambisi,0.5
amnesti,0.5
anak,0.5
anak anjing,0.5
anak kucing,0.5
anak muda,0.5
anak perempuan,0.5
anak sapi,0.5
anak sungai,0.5
analis,0.5
andalan,0.5
anggun,1.0
angka,0.5
animasi,0.5
ansambel,0.5
anti peluru,0.5
antibiotik,0.5
antijamur,0.5
antik,0.5
antiseptik,0.5
antusiasme,0.5
anugerah,1.0
apresiasi,0.5
aristokrasi,0.5
arkeologi,0.5
armada,0.5
aroma,0.5
artikulasi,0.5
artis,0.5
artistik,0.5
aspirasi,0.5
astronaut,0.5
atas,0.5
atlet,0.5
atletis,0.5
atom,0.5
aura,0.5
autentik,0.5
avatar,0.5
ay,0.5
badut,0.5
bagus,0.5
bagus sekali,0.5
bahagia,0.5
bahenol,0.5
bahu,0.5
baik,1.5
baju zirah,0.5
bakat,1.5
bala bantuan,0.5
balet,0.5
balok,1.0
balsem,0.5
bangga,0.5
bangsawan,2.0
bangunan,0.5
bantal,0.5
bantalan,1.0
bantuan,0.5
banyak,0.5
baptisan,0.5
batu delima,0.5
batu tulis,0.5
batuan dasar,0.5
bayi,1.0
beasiswa,0.5
bebas,0.5
begitu banyak,0.5
bekerja,0.5
bekerja sama,1.0
belajar,0.5
belanja,0.5
belas kasihan,0.5
belasungkawa,0.5
beludru,0.5
benar,0.5
bendera,0.5
benteng pertahanan,0.5
bepergian,0.5
beradab,0.5
berafiliasi,0.5
beragam,0.5
berakar,0.5
berani,2.0
berbakat,1.0
berbaring,0.5
berbaris,0.5
berbudi luhur,0.5
berbulu halus,0.5
berbunga-bunga,0.5
bercanda,0.5
berceloteh,0.5
bercinta,0.5
bercita-cita,1.0
berdarah murni,0.5
berdoa,0.5
berenang,0.5
bergabung,0.5
bergairah,0.5
bergaya modern,0.5
bergelut,0.5
bergembira sekali,0.5
bergerak,0.5
bergizi,0.5
berguna,0.5
berharga,1.0
berhasil,1.5
berhasrat,0.5
berhias,0.5
berhuruf,0.5
berimprovisasi,0.5
berinovasi,0.5
berirama,0.5
berjaya,1.0
berkah,1.0
berkembang,0.5
berkilau,1.0
berkilauan,0.5
berlangsung mudah,0.5
berlian,0.5
berlimpah,0.5
bermanfaat,2.5
bermartabat,0.5
bermentega,0.5
bernilai,0.5
berotot,0.5
berpelukan,0.5
berpendar,0.5
berpendidikan,0.5
berpengalaman,1.0
berpengaruh,0.5
bersahaja,0.5
bersangkutan,0.5
bersarang,0.5
bersekutu,0.5
bersemangat,1.0
bersenang-senang,1.0
bersenda gurau,1.0
berseri,0.5
berseri-seri,0.5
bersifat mendidik,0.5
bersih,0.5
bersinar,1.0
bersorak,1.0
bersuka cita,0.5
bersuka ria,0.5
bersumpah,0.5
bersyukur,0.5
bertahan,0.5
bertahan hidup,0.5
bertanggung jawab,0.5
bertekad,0.5
berteman,0.5
berterima kasih,0.5
bertunangan,1.0
beruntung,1.0
berusaha keras,0.5
berwibawa,1.0
besar,1.0
biarawan,0.5
biasa,0.5
bicara,0.5
bijak,0.5
bijaksana,2.5
binar,0.5
bintang,1.0
bisa dipertahankan,0.5
bola api,0.5
bola basket,0.5
bonne,0.5
bonus,0.5
brokat,0.5
buaian,0.5
budaya,0.5
buket,0.5
buku harian,0.5
buku panduan,0.5
bulan madu,0.5
buldog,0.5
bunga,1.0
bupati,0.5
cabang,0.5
cahaya,0.5
cahaya bintang,0.5
cahaya matahari,0.5
cahaya redup,0.5
cakrawala,0.5
calon,0.5
canggih,0.5
cantik,0.5
cekikikan,0.5
cemerlang,0.5
cenderung,0.5
cepat,1.5
cerah,1.0
cerdas,1.0
cerdik,1.0
ceri,0.5
ceria,1.0
cinta,1.5
ciuman,1.0
cokelat,0.5
crescendo,0.5
cucu,0.5
cukup,0.5
daftar periksa,0.5
dalil,0.5
dapat diakses,0.5
dapat diandalkan,0.5
dapat dibuktikan,0.5
dapat dicapai,0.5
dapat dikreditkan,0.5
dapat dinavigasi,0.5
dapat dipasarkan,0.5
dapat disembuhkan,0.5
dapat diterima,1.0
dasar,1.5
daya hidup,0.5
daya konduksi,0.5
daya tahan,1.0
daya tarik,2.0
dedikasi,0.5
definitif,0.5
demokrasi,0.5
demonstratif,0.5
dengan hati-hati,0.5
dengan kuat,1.0
dengan murah hati,0.5
dengan rendah hati,0.5
dengan santai,0.5
dengan senang hati,0.5
dengan tegas,1.5
depan,0.5
derajat,0.5
dermawan,1.5
desinfeksi,0.5
deskriptif,0.5
deteksi,0.5
di depan,0.5
diam,1.5
diampuni,0.5
dibenarkan,0.5
diberikan,0.5
diberkahi,0.5
diberkati,0.5
dibudidayakan,0.5
dicatat,0.5
didukung,0.5
diet,0.5
diinginkan,0.5
dikenali,0.5
dikonfirmasi,0.5
