Indonesian Word,big
Abu,-1.0
Agak,-1.0
Agustus,1.0
Amin,1.0
BENAR,1.0
Bagikan,1.0
Bangsawan tinggi,1.0
Berbuat curang,-1.0
Bir,1.0
Birch,-1.0
Brendi,-1.0
Burung puyuh,-1.0
Campuran,0.5
Cantik,1.0
Countess,1.0
Cuka Apel,1.0
Dewan,1.0
Direktur,1.0
Fajar,1.0
Gila,-1.0
Gula,1.0
Himpunan,1.0
Hore,1.0
Ikuti,1.0
Injil,1.0
Iya,1.0
Kalkulator,1.0
Kapten,1.0
Katedral,1.0
Kecantikan,1.0
Kecelakaan kapal,-1.0
Kejam,-1.0
Kemuliaan,1.0
Kepala Sekolah,1.0
Komunis,-1.0
Konvensi,1.0
Mandarin,1.0
Memesan,1.0
Monumen,1.0
Negro,-1.0
Nikmati,1.0
POLISI,1.0
Palsu,-1.0
Parade,1.0
Pasifik,1.0
Pasokan,1.0
Pembenahan,1.0
Penghargaan,1.0
Penyihir,1.0
Perdana,1.0
Perlengkapan tulis,-1.0
Perpustakaan,1.0
Pilih,0.5
Polandia,1.0
Praktik,1.0
Presiden,1.0
Renaisans,1.0
Roh,1.0
Sage,1.0
Saya akan,-1.0
Scotch,-1.0
Sebagai pengganti,1.0
Sepakat,1.0
Sial,-1.0
Sup,1.0
Tuan,1.0
Tuhan,1.0
Tukang onar,-1.0
Universitas,1.0
Yobel,1.0
abadi,0.3333333333333333
abba,1.0
abnormal,-1.0
abortus,-1.0
abrasi,-1.0
absen,-1.0
abses,-1.0
absolusi,1.0
absurd,-1.0
abu,-0.5
acar,-1.0
accueil,1.0
adanya,1.0
adil,0.6666666666666666
adonan,-0.5
afirmasi,1.0
agak mabuk,-1.0
agitasi,-1.0
agresi,-1.0
agresif,-1.0
agresor,-1.0
agung,0.5
ahli,1.0
ahli astronomi,1.0
ahli bahasa,1.0
ahli kimia,1.0
ahli nujum,1.0
aib,-1.0
air kotor,-1.0
air raksa,-1.0
ajaib,1.0
akademi,1.0
akademik,1.0
akal,1.0
akan datang,1.0
akhirnya,0.6666666666666666
akibat,-0.5
akomodasi,1.0
akrab,1.0
akrobat,1.0
aktiva,1.0
akuntabel,1.0
akusatif,-1.0
alamat,0.5
alarm,-1.0
alasan,0.25
alegro,1.0
algojo,-1.0
alimentasi,-1.0
alkitabiah,1.0
alkoholisme,-1.0
almarhum,-1.0
aloha,1.0
amal,1.0
aman,1.0
amarah,-1.0
amat,1.0
ambang,-0.3333333333333333
ambigu,-1.0
ambisi,1.0
