word,big
abadi,-0.56
abnormal,-0.75
absen,-0.63
acak-acakan,-0.69
ada,-0.5
agak-agak,-0.75
agam,-0.31
ahmak,-0.75
air masin,-0.75
akademik,-0.63
akhir,-0.63
akut,-0.5
alah,-0.63
alergi,-0.63
aman,-0.47
ambivalen,-0.63
anak dara,-0.75
aneh,-0.43
anggal,-0.5
anggaran,-0.75
anonim,-0.5
artik,-0.75
asal,-0.64
asam,-0.5
asid,-0.63
asing,-0.53
asli,-0.69
aswad,-0.5
awet,-0.63
ayam kampung,-0.75
azab,-0.75
babil,-0.63
bacul,-0.5
bahaya,-0.75
bakal,-0.75
bakhil,-0.44
baki,-0.5
bambung,-0.75
bandel,-0.63
bandingan,-0.5
bangang,-0.75
bangpak,-0.69
bangsai,-0.75
bangsat,-0.88
bangun,-0.5
baran,-0.75
basah kuyup,-0.88
basi,-0.5
batal,-0.63
batil,-0.88
bawah,-0.5
bawahan,-0.75
bebal,-0.38
bebas,-0.48
bedebah,-0.5
bedegong,-0.63
bego,-0.75
bejat,-0.75
beku,-0.63
belaka,-0.88
beloh,-0.75
belok,-0.63
belongkotan,-0.75
benak,-0.5
bengah,-0.75
bengal,-0.63
bengis,-0.5
bengkak,-0.75
bengkeng,-0.63
bengkok,-0.63
bengkong,-0.63
bengok,-0.69
benguk,-0.81
benyai,-0.5
benyek,-0.5
beracun,-0.63
berang,-0.5
berantakan,-0.63
berasap,-0.5
berat,-0.56
berat otak,-0.88
berawan,-0.75
berbahaya,-0.65
berbau,-0.75
berbelit-belit,-0.38
berbisa,-0.63
bercampur baur,-0.75
bercamuk,-0.5
bercanggah,-0.31
berdenyut,-0.75
berdikari,-0.63
berdosa,-0.75
berduka,-0.88
berdukacita,-0.75
berfalsafah,-0.5
berfoya-foya,-0.63
bergantung,-0.75
bergelandangan,-0.75
bergelombang,-0.63
bergelora,-0.71
bergenang,-0.63
bergerak,-0.75
bergolak,-0.63
berhati pilu,-0.75
berirama,-0.5
berjaga,-0.5
berjerih,-0.5
berjumbai,-0.75
berkabut,-0.5
berkeberatan,-0.75
berkecuali,-0.75
berkeinginan,-0.5
berkeras,-0.69
berketakutan,-0.63
berkuasa,-0.5
berkurang,-0.5
berkutu,-0.63
berlagak,-0.5
berlainan,-0.4
berlebih,-0.5
berlebih-lebihan,-0.5
berlebihan,-0.5
berlumar,-0.75
berlumpur,-0.88
bermalas-malas,-0.63
bermegah,-0.75
berminyak,-0.88
bermuram,-0.88
bermusuhan,-0.63
bernanah,-0.63
bernaung,-0.75
berpecah,-0.5
berpisah,-0.63
berpura-pura,-0.5
berpusing,-0.75
