word,big
absolut,0.56
absurd,0.63
adib,0.63
adil,0.5
adoptif,0.5
aerob,0.5
aerobik,0.5
afdal,0.88
afiat,0.75
afirmatif,0.5
afrodisiak,0.63
agresif,0.56
agung,0.53
ahli,0.71
ajek,0.75
akal,0.63
akmal,0.63
akrab,0.5
aktif,0.38
aktual,0.31
akur,0.5
akurat,0.5
alap,0.75
alim,0.69
alpa,0.31
amal,0.5
amanah,0.63
amat,0.75
ambisi,0.5
ambisius,0.5
ampang,0.63
ampuh,0.5
andal,0.5
anggak,0.5
anggun,0.42
angin sepoi-sepoi,0.63
angka ganjil,0.5
angkara,0.44
angkuh,0.44
antagonistis,0.5
antiseptik,0.56
apas,0.5
apik,0.88
arif,0.64
arifin,0.63
aristokrat,0.38
asas,0.75
asasi,0.5
aseptik,0.63
asi,0.5
asian,0.81
asih,0.75
asri,0.75
asyik,0.63
atasan,0.67
atraktif,0.88
autentik,0.63
awang-gemawang,0.5
awas,0.63
ayu,0.75
bagus,0.74
bahagia,0.54
baik,0.78
baik hati,0.53
bakh,0.88
balik adab,0.63
banci,0.5
bangga,0.75
bangkrut,0.5
bantat,0.63
banyak,0.56
baru,0.34
bayan,0.5
becus,0.75
belot,0.31
benar,0.59
benar-benar,0.44
berada,0.75
beradab,0.68
berahi,0.63
beraja,0.5
berakal,0.5
berandang,0.75
berani,0.44
berapi-api,0.63
berat mulut,0.75
berat sebelah,0.63
berawas-awas,0.69
berbahagia,0.88
berbahasa,0.56
berbakat,0.58
berbalah,0.63
berbantah,0.63
berbarik-barik,0.5
berdaulat,0.88
berdaya,0.5
berfaedah,0.72
bergaul,0.69
bergaya,0.5
bergiat,0.56
bergoyang,0.5
berguna,0.72
bergurau,0.88
berharapan,0.63
berharga,0.56
berharta,0.75
berhasil,0.58
berhasrat,0.63
berhati-hati,0.63
berhormat,0.75
berida,0.5
berikhtiar,0.56
berilmu,0.63
beringat,0.75
beringat-ingat,0.5
beringin,0.63
berjaga-jaga,0.63
berjangkit,0.63
berjaya,0.47
berkabilan,0.75
berkarat,0.5
berkelebihan,0.69
berkemampuan,0.69
berkenaan,0.63
berkesan,0.5
berkewajiban,0.88
berkilat,0.5
berkilau,0.5
berkilau-kilauan,0.63
berkualitas,0.63
berlagu,0.63
berlawanan,0.5
berloncatan,0.5
bermanfaat,0.7
bermenung,0.5
bermoral,0.75
bermutu,0.63
bernafsu,0.63
bernilai,0.58
bernyawa,0.56
berpada-pada,0.5
berpadanan,0.56
berpatutan,0.5
berpelajaran,0.5
berpeluang,0.5
berpendirian,0.75
berpengalaman,0.5
berpengetahuan,0.54
berprinsip,0.75
bersabar,0.5
bersaudara,0.5
bersedia,0.56
bersejarah,0.63
bersemangat,0.55
berseri-seri,0.5
bersesuaian,0.5
bersih,0.47
bersimpati,0.42
bersinar,0.5
bersopan santun,0.5
bersuai,0.5
bersukaria,0.72
bersusila,0.56
bersyukur,0.5
bertara,0.5
bertenaga,0.38
bertepung,0.5
berterima kasih,0.5
bertokoh,0.5
bertoleransi,0.56
bertuah,0.75
berubah-ubah,0.38
beruban,0.5
berumur,0.5
beruntung,0.65
berusaha,0.56
berwarna,0.63
berwaspada,0.59
berwibawa,0.5
berwujud,0.63
besar,0.33
besar hati,0.5
bestari,0.56
betah,0.63
betul,0.59
betul-betul,0.41
biadab,0.67
bijak,0.57
bijaksana,0.58
bisai,0.88
bongsor,0.5
boto,0.75
budiman,0.71
cahaya,0.5
cakap,0.63
campin,0.75
candang,0.5
canggih,0.69
cangkat,0.5
cantik,0.72
cekal,0.63
cekap,0.63
cekatan,0.63
celi,0.5
cemburu,0.56
cemerlang,0.68
cendekia,0.5
cepat,0.38
cerah,0.66
cerdas,0.53
cerdik,0.59
cergas,0.42
ceria,0.79
cerkas,0.5
cermat,0.59
cocok,0.6
cogah,0.75
comel,0.71
congkak,0.5
cuai,0.5
cupar,0.5
dalam,0.56
dalaman,0.5
damai,0.5
dasar,0.75
demokrasi,0.63
demokratis,0.63
demonstratif,0.5
deras,0.5
dermawan,0.5
dewa,0.5
diraja,0.5
efektif,0.5
efisien,0.5
eksak,0.5
eksotik,0.5
eksplisit,0.5
elegan,0.5
elok,0.68
emosional,0.63
enak,0.65
enteng,0.63
epik,0.75
erotik,0.63
estetik,0.63
estetis,0.63
etika,0.75
etis,0.63
fertil,0.63
firdausi,0.5
fit,0.63
fotogenik,0.5
fundamental,0.75
fungsi,0.5
fungsional,0.5
gabir,0.5
gagah,0.38
galak,0.54
gampang,0.63
gampangan,0.63
gangsal,0.5
ganjil,0.45
garing,0.5
gasal,0.5
gasang,0.44
gawat,0.5
gede,0.5
gegadan,0.75
gembira,0.45
gemilang,0.58
gemirang,0.81
giat,0.44
