word,average
absolut,0.25
absurd,0.315
adib,0.315
adil,0.21
adoptif,0.25
aerob,0.25
aerobik,0.25
afdal,0.44
afiat,0.375
afirmatif,0.25
afrodisiak,0.315
agresif,0.28
agung,0.19
ahli,0.355
ajek,0.31
akal,0.315
akmal,0.25
akrab,0.25
aktif,0.065
aktual,0.03
akur,0.25
akurat,0.25
alap,0.375
alim,0.345
amal,0.125
amanah,0.315
amat,0.375
ambisi,0.185
ambisius,0.185
ampang,0.19
ampuh,0.25
andal,0.25
anggak,0.06
anggun,0.12499999999999999
angin sepoi-sepoi,0.19
angka ganjil,0.06
angkuh,0.04999999999999999
antagonistis,0.185
antiseptik,0.09000000000000002
apas,0.25
apik,0.44
arif,0.32
arifin,0.315
aristokrat,0.065
asas,0.25
asasi,0.25
aseptik,0.315
asi,0.06
asian,0.405
asih,0.375
asri,0.375
asyik,0.25
atasan,0.335
atraktif,0.44
autentik,0.315
awang-gemawang,0.25
awas,0.315
ayu,0.375
bagus,0.37
bahagia,0.16500000000000004
baik,0.39
baik hati,0.225
bakh,0.44
balik adab,0.19
banci,0.25
bangga,0.375
bangkrut,0.125
bantat,0.315
banyak,0.15500000000000003
baru,0.015000000000000013
bayan,0.25
becus,0.375
benar,0.265
benar-benar,0.04999999999999999
berada,0.375
beradab,0.34
berahi,0.315
beraja,0.25
berakal,0.185
berandang,0.375
berani,0.11
berapi-api,0.315
berat mulut,0.375
berat sebelah,0.315
berawas-awas,0.345
berbahagia,0.44
berbahasa,0.28
berbakat,0.29
berbalah,0.25
berbantah,0.25
berbarik-barik,0.185
berdaulat,0.44
berdaya,0.185
berfaedah,0.36
bergaul,0.31499999999999995
bergaya,0.23
bergiat,0.25
bergoyang,0.25
berguna,0.36
bergurau,0.44
berharapan,0.25
berharga,0.28
berharta,0.375
berhasil,0.29
berhasrat,0.19
berhati-hati,0.315
berhormat,0.375
berida,0.25
berikhtiar,0.25
berilmu,0.315
beringat,0.375
beringat-ingat,0.25
beringin,0.19
berjaga-jaga,0.315
berjangkit,0.315
berjaya,0.15499999999999997
berkabilan,0.375
berkarat,0.125
berkelebihan,0.345
berkemampuan,0.345
berkenaan,0.315
berkesan,0.25
berkewajiban,0.44
berkilat,0.25
berkilau,0.25
berkilau-kilauan,0.25
berkualitas,0.315
berlagu,0.315
berlawanan,0.125
berloncatan,0.25
bermanfaat,0.35
bermenung,0.25
bermoral,0.25
bermutu,0.315
bernafsu,0.315
bernilai,0.29
bernyawa,0.28
berpada-pada,0.25
berpadanan,0.28
berpatutan,0.185
berpelajaran,0.185
berpeluang,0.125
berpendirian,0.375
berpengalaman,0.25
berpengetahuan,0.27
berprinsip,0.375
bersabar,0.185
bersaudara,0.25
bersedia,0.28
bersejarah,0.22
bersemangat,0.24500000000000002
berseri-seri,0.25
bersesuaian,0.25
bersih,0.13
bersimpati,0.105
bersinar,0.25
bersopan santun,0.25
bersuai,0.25
bersukaria,0.36
bersusila,0.28
bersyukur,0.125
bertara,0.25
bertenaga,0.11
bertepung,0.25
berterima kasih,0.125
bertokoh,0.25
bertoleransi,0.28
bertuah,0.375
berubah-ubah,0.035
