word,value
(barang) bekas,-4.0
(olahraga) bokser,-5.0
(tua) uzur,-3.0
Anda,-4.0
aahh,-3.0
aba-aba,-3.0
abai,-3.0
abaikan,-2.0
abar-abar,-5.0
abdi negara,-3.0
abg,-2.0
abis,-0.5
abnormalitas,-4.0
abolisi,-3.0
abon,-4.0
aborsi,-3.0
absen,-3.0
abses,-4.0
abu-abu,-2.0
abuk,-3.0
abur,-5.0
acak,-5.0
acak-acakan,-5.0
acau,-4.0
aco-acoan,-5.0
acoan,-5.0
acu,-4.0
adang,-3.0
addict,-3.0
adegan,-4.0
adek,0.0
adiktif,-4.0
adimarga,-4.0
adon,-4.0
adu,-3.0
aduh,-1.0
aduk,-3.0
afeksi,0.0
afiliasi,-1.0
agama,-3.0
agar,-3.0
agen,-3.0
agen rahasia,-3.0
ahli bahasa,-3.0
ahmak,-3.0
aib,-2.0
aiku,-5.0
ain,-5.0
air,-1.0
air liur,-2.0
ajakan,-1.0
ajal,-0.5
ajang,-3.0
ajar,-1.0
aju,-3.0
ajuk,-5.0
akar,-0.5
akas,0.0
akibat,-1.0
akidah,0.0
akik,-3.0
akreditasi,-3.0
aksa,-4.0
aksioma,-3.0
aktif,-0.5
akuan,0.0
akumah,-3.0
akunya,-1.0
akut,-5.0
alah,-4.0
alahan,-3.0
alai-belai,-3.0
alami,-3.0
alamiah,-0.5
alat kelamin,-3.0
alat negara,-3.0
alat vital,-2.0
alay,-4.0
albumnya,-2.0
alergi,-3.0
aliansi,-1.5
alir udara,-1.0
aliran udara,-1.0
alkisah,-4.0
alku,-5.0
alobar,-4.0
alone,-3.0
alpa,-3.0
alur,-4.0
amah,-5.0
amandel,-5.0
amarah,-5.0
amat sangat,-3.0
amatin,-2.0
ambai,-5.0
ambalan,-4.0
ambau,-5.0
ambigu,-3.0
ambiguitas,-5.0
ambil,-5.0
amblas,-3.0
ambles,-4.0
ambruk,-5.0
amburadul,-5.0
ametis,-4.0
amin,0.0
amit,-4.0
amor,-1.0
amoral,-3.0
ampai,-4.0
ampas,-3.0
ampas kopi,-2.0
ampel,-3.0
ampela,-5.0
ampu,-5.0
ampun,-1.0
ampuni,-2.0
amtenar,-3.0
amuk,-2.0
ana,-0.5
anak,-3.0
anak air,-4.0
anak bawang,-2.0
anak bedil,-3.0
anak bukit,-4.0
anak cucu,-3.0
anak penak,-3.0
anak pinak,-3.0
anak-anakan,-3.0
analitis,-4.0
anarki,-4.0
ancai,-5.0
ancam,-4.0
ancaman,-4.0
anda,-1.0
andeka,-3.0
aneh,0.0
anekdot,-1.0
anggai,-3.0
anggara,-4.0
