word,value
(hujan) gerimis,1.0
(warna) dadu,3.0
Ahad,3.0
Sri paduka,4.0
Yang Dipertuan,4.0
aamiin,2.0
ab,3.0
aba,2.0
abadi,4.0
abah,3.0
abi,2.0
abid,3.0
absorpsi,1.0
absurd,0.5
abu,0.5
acuh tak acuh,0.5
ada,0.5
adab,3.0
adakala,3.0
adaptasi,2.0
adi,2.0
adika,5.0
adil,0.5
adiluhung,3.0
administrator,3.0
aduhai,4.0
adzan,3.0
afair,3.0
afdal,3.0
afirmasi,3.0
agam,5.0
ahli agama,1.0
aja,1.0
ajak,1.0
aji,0.5
ajojing,3.0
ajudan,4.0
akhlak,4.0
akil,4.0
akomodasi,3.0
akrab,3.0
akses,2.0
aksi,2.0
aktivasi,2.0
aktual,4.0
aku,0.5
alaikum,2.0
alam,0.5
alangkah,1.0
album,0.5
alhamdulilah,3.0
alhamdulillah,5.0
alih generasi,4.0
alim,2.0
alim arif,4.0
allah,5.0
alot,1.0
amal,4.0
amalan,4.0
amanah,5.0
amat,4.0
ambilan,3.0
ambisi,4.0
amerta,3.0
ampas (kopi),0.5
amplop,3.0
anak Adam,3.0
anak didik,3.0
anak sasian,3.0
anak sekolah,3.0
anakan,5.0
analisis,4.0
andai,2.0
andal,2.0
andil,4.0
andini,2.0
andur,3.0
aneka,3.0
angan,3.0
angan-angan,4.0
anggapan,3.0
anggar,3.0
angguk,1.0
angkat,3.0
angkut,1.0
angpau,4.0
angsur,1.0
animo,4.0
anjung,4.0
ansar,4.0
anteng,4.0
antisipasi,1.0
antologi,1.0
antusiasme,3.0
anugerah,1.0
anyar,4.0
apas,1.0
api,1.0
arabika,2.0
arak,2.0
arif,4.0
arketipe,3.0
arsitektur,2.0
arti,1.0
artian,3.0
artifisial,3.0
artis,2.0
artistik,1.0
arung,1.0
asa,0.5
asah asih asuh,2.0
asih,1.0
asik,4.0
asket,2.0
asketisme,2.0
asli,2.0
asoi,3.0
asrama,3.0
asri,0.5
assalamualaikum,3.0
asuh,0.5
atasan,3.0
atensi,2.0
atom,3.0
atraktif,1.0
autentik,3.0
awas,0.5
awat,5.0
awet,4.0
aya,3.0
ayahanda,1.0
ayo,4.0
azamat,4.0
aziz,2.0
babaran,3.0
babe,3.0
baby,2.0
baca,1.0
bagak,5.0
bagas,5.0
bagusan,2.0
bahadur,5.0
bahaduri,4.0
bahagia,1.5
bahas,2.0
bahasan,1.0
baik,1.0
baik-baik,1.0
baiklah,2.0
baiknya,1.0
bain,0.5
bajik,4.0
baju,2.0
bakat,1.5
bakh,4.0
bakir,4.0
baksis,2.0
bakti,4.0
balasan,3.0
banget,1.0
bangga,3.0
bangkit selera,3.0
bantah-bantah,5.0
bantalan,3.0
bantuin,3.0
banyak akal,3.0
banyaknya,3.0
banyolan,3.0
bapa,3.0
bapanda,3.0
bapang,3.0
baring,2.0
batasan,3.0
bausuku,3.0
bawaan,3.0
bayang,2.0
bayang-bayang,3.0
bayangan,3.0
bayangkara,3.0
beber,0.5
bebodoran,2.0
bedegap,0.5
bekal,3.0
bekas,0.5
belagu,4.0
belajar,3.0
belok,3.0
belukar,3.0
benang raja,4.0
benar-benar,2.0
bener,1.0
beneran,3.0
bentuk,4.0
bentukan,3.0
bentur,1.0
bepergian,1.0
berada,4.0
berakal,4.0
berakibat,3.0
berakidah,4.0
beralas,4.0
beranak,3.0
beranak-pinak,2.0
beraras,4.0
berarti,1.0
beraturan,4.0
berbagai,3.0
berbagai macam,3.0
berbagi,2.0
berbahagia,1.5
berbakat,1.5
berbenak,3.0
berbentuk,3.0
berbetulan,3.0
berbobot,2.0
berbuah,2.0
berbudi pekerti yang baik,3.0
berbunga,3.0
berbusana,4.0
bercahaya,4.0
bercermin,4.0
bercita rasa,3.0
berdagang,3.0
berdandan,4.0
berdarah,4.0
berdaya,3.0
berdaya guna,4.0
berdendang,4.0
berderajat,4.0
berdiam,0.5
berdisiplin,4.0
berdoa,0.5
berdua,1.0
berduit,4.0
beredar,2.0
berembuk,3.0
berfaedah,4.0
bergamat,4.0
bergantung,4.0
bergas,1.5
bergeming,1.0
bergengsi,4.0
bergigi,3.0
bergolongan,4.0
berguna,5.0
berguru,3.0
berhajat,2.0
berharap,0.5
berharga,3.0
berharta,4.0
berhasil,3.0
berhasrat,3.0
berhati-hati,0.5
berhikmah,2.0
beribadat,0.5
berikhtiar,3.0
beriktikad,2.0
berilmu,4.0
beriman,3.0
berimbas,3.0
berimbuh,1.0
berirama,4.0
beristirahat,0.5
berjaga-jaga,1.0
berjasa,4.0
berjaya,4.0
berjenis-jenis,3.0
berjilbab,3.0
berjiwa,3.0
berjunjungan,4.0
berkaca,4.0
berkah,4.0
berkait,3.0
berkaitan,3.0
berkandung,5.0
berkarya,3.0
berkat,1.0
berkategori,4.0
berkawal,4.0
berkecambah,3.0
berkecukupan,4.0
berkedudukan,4.0
berkegiatan,4.0
berkeinginan,3.0
berkekuatan,5.0
berkenaan,4.0
berkenan,2.0
berkepercayaan,4.0
berkeras hati,0.5
berkesesuaian,3.0
berketurunan,2.0
berkeyakinan,3.0
berkhasiat,4.0
berkinte,3.0
berkobar-kobar,1.0
berkualitas,4.0
berkuasa,4.0
berkukuh,2.0
berlaba,4.0
berlagak,4.0
berlagu,4.0
berlangganan,2.0
berlanglang,4.0
berlarasan,3.0
berlatih,4.0
berlevel,4.0
berlezat,2.0
berlibat,3.0
berlilit,3.0
berlimpah,1.0
bermacam-macam,3.0
bermakna,4.0
bermanfaat,5.0
bermartabat,4.0
bermaslahat,2.0
bermohon,0.5
bermohon diri,2.0
bermutu,1.0
bernafsu,3.0
bernama,4.0
bernapaskan,3.0
bernilai,2.0
bernyali,1.0
bernyali besar,1.0
bernyanyi,2.0
beroleh,3.0
berotak tajam,4.0
berpacangan,3.0
berpakaian,4.0
berpamor,3.0
berpandangan,1.0
berparade,1.0
berpartisipasi,3.0
berpasrah,0.5
berpatokan,4.0
berpatroli,4.0
berpaut,3.0
berpedoman,4.0
berpegang,4.0
