tokoh,title,date,description,Rev1_label
anies baswedan,"Anies Bertemu Relawan Pendukungnya di Australia, Ini yang Dibahas","Senin, 06 Mar 2023 10:15 WIB","\-

Mantan Gubernur DKI Jakarta Anies Baswedan sedang berada ke Australia. Dia
bertemu dengan relawan pendukungnya di Sydney dan menyinggung soal pembangunan
Indonesia ke depan.

Dalam keterangan yang diterima dari Relawan Anies di Sydney, Senin (6/3/2023),
pertemuan antara Anies dan relawannya diadakan pada Sabtu (4/3). Ketua acara
tersebut, Elvo Satria, menyebut Anies datang ke Australia untuk menjadi
pembicara di Universitas Nasional Australia atau ANU Canberra pada 6 Maret
2023 dan RMIT Melbourne pada 7 Maret 2023.

Relawan Sydney menyebut Anies meminta agar warga negara Indonesia yang ada di
luar negeri untuk memberi masukan dan pandangan.

""Anies yang pernah tinggal dan bersekolah di luar negeri tersebut mengatakan
mengenal Indonesia dari luar akan tampak lebih jelas. Maka, diharapkan masukan
temuan-temuan baru dari masyarakat Indonesia yang berdiam di luar Indonesia
untuk kesejahteraan Indonesia,"" tulis Relawan Sydney dalam keterangannya.

Menurut Relawan Sydney, Anies juga menyinggung soal Indonesia yang jadi
anggota 20 negara ekonomi besar atau G20. Namun, ada kesenjangan di antara
rakyat Indonesia.

""Kesenjangan antara negara-negara sudah semakin kecil, tapi di Indonesia
kesenjangan itu semakin membesar,"" ucapnya.

Anies juga disebut menyinggung soal Pemilu 2024. Bacapres yang didukung
NasDem, PKS, dan Demokrat itu, meminta pendukungnya untuk bersama membangun
negara yang lebih maju.

""Anies mengingatkan pendukungnya bahwa Pemilu 2024 adalah bagaimana membentuk
Indonesia ke depan, dan mengajak seluruh elemen masyarakat terlepas dari latar
belakang untuk bersama-sama membangun negara kita menuju negara yang lebih
sejahtera dan berkeadilan secara bersama-sama,""ucapnya.

 ",1
anies baswedan,"PKS Bahagia Prabowo Bertemu Paloh: Bravo, Kian Muluskan Perjalanan Anies","Senin, 06 Mar 2023 08:57 WIB","\-

Ketum Gerindra Prabowo Subianto bertemu dengan Ketum NasDem Surya Paloh (SP)
di kediamannya di Hambalang, Bogor, Jawa Barat (Jabar). PKS bahagia dengan
pertemuan kedua ketum partai itu.

""Alhamdulillah. Bahagia dengan pertemuan Pak Prabowo dan Pak Surya Paloh,""
ujar Ketua DPP PKS Mardani Ali Sera kepada wartawan, Minggu (5/3/2023).

Diketahui, PKS bersama NasDem resmi mengusung Anies sebagai calon presiden
Pemilu 2024. Menurut Mardani, pertemuan itu sangat bermanfaat.

""Silaturahim itu baik dan manfaat. Apalagi hasilnya Adem,"" kata Mardani.

""Bravo pak Prabowo dan Pak SP. Dan kian memuluskan perjalanan Mas Anies
Baswedan,"" lanjutnya.

Ketua Bidang Politik Hukum dan HAM (Polhukam) DPP PKS Almuzzammil Yusuf turut
mengapresiasi pertemuan Prabowo dan Surya Paloh. Kedua tokoh politik itu,
jelas Muzammil, saling menghargai pilihan politik masing-masing.

""Merupakan pertemuan politik yang terhormat antara dua pimpinan Parpol yang
saling menghormati dan menghargai pilihan politik dan capresnya masing-masing""
kata Muzammil

Ia menyebut konstitusi UUD 1945 sudah menjamin hak kebebasan parpol peserta
Pemilu untuk dapat mengusung dan mendukung capresnya masing-masing.

""Kontestasi politik tidak boleh dalam situasi saling ancam dan sandra. Yakni
memaksakan pilihan Capresnya untuk didukung, jika tidak ikut mendukung maka
diancam dengan kriminalisasi hukum"" ungkap Muzammil.

""Masyarakat kita sudah sangat dewasa dengan perbedaan pilihan dan kandidat
politik, termasuk perbedaan Capres. Jangan sampai kedewasaan masyarakat ini
tidak diikuti oleh para elitnya. Ini lucu, Dunia jadi terbalik-balik""
pungkasnya.

[Gambas:Video 20detik]

 ",1
anies baswedan,Bos PPI Nilai Prabowo dan Paloh Sudah Siap Pisah Jalan 2024,"Senin, 06 Mar 2023 09:00 WIB","\-

Dalam pertemuannya di Hambalang, Bogor, Ketum Gerindra Prabowo Subianto dan
Ketum NasDem Surya Paloh sepakat soal perlunya rivalitas dan oposisi. Direktur
Eksekutif Parameter Politik Indonesia (PPI) Adi Prayitno menilai Gerindra dan
NasDem siap untuk tidak berkoalisi di Pemilu 2024.

""Sepertinya Gerindra dan NasDem siap pisah jalan di 2024. Pernyataan perlunya
rivalitas dan oposisi menjadi penegas bahwa keduanya bisa akan saling beradu
di pilpres,"" ujar Adi kepada wartawan, Minggu (5/3/2023).

Adi menyebut pasti ada persaingan dalam politik. Menang jadi penguasa, kalah
jadi oposisi.

""Apalagi Prabowo mengatakan keduanya saling menghormati pilihan politik
masing-masing,"" tambah Adi.

Pertemuan kedua ketum partai ini, ucap Adi, membawa pesan penting. Yakni
sekeras apapun persaingan politik, persahabatan mesti terus dirawat.

""Tak usah anggap pemilu seperti perang antar agama. Antar elit saja akur meski
beda pilihan politik, tak lucu jika rakyatnya terbelah hanya karena beda
jagoan pilpres,"" katanya.

Adi menduga NasDem tak akan bergabung ke Koalisi Kebangkitan Indonesia Raya
(Gerindra-PKB), ataupun sebaliknya, Gerindra bergabung dengan NasDem untuk
mengusung Anies Baswedan.

""Sepertinya begitu. Kan saling hormati pilihan politik masing-masing. Minimal
saat ini. Entah ke depan,"" terangnya.

Diberitakan sebelumnya, pertemuan antara Prabowo dan Surya Paloh berlangsung
kurang lebih selama 2 jam. Prabowo mengatakan dia dan Paloh sepakat soal
perlunya rivalitas dan oposisi.

Menteri Pertahanan itu mulanya mengaku sepakat dengan Paloh untuk saling
menghormati keputusan politik masing-masing.

""Tadi sebetulnya pembicaraan sangat sangat cair. Setelah kita makan siang,
kemudian kita minum kopi dan saya berbicara cukup luas, cukup mendalam, kita
dapat suatu kesimpulan-kesimpulan tertentu. Kita sepakat untuk saling
menghormati keputusan politik masing-masing,"" kata Prabowo dalam jumpa pers
bersama Paloh.

Selain itu, keduanya juga sepakat ingin suasana bangsa dan negara selalu
rukun. Prabowo melanjutkan, dia dan Paloh juga sepakat untuk tidak takut
dengan adanya oposisi.

""Kita sepakat bahwa kita ingin suasana bangsa dan negara selalu dalam keadaan
damai, dalam keadaan rukun, dalam keadaan bersatu. Bahwa persaingan rivalitas
itu perlu. Bahwa juga kita tidak boleh takut dengan oposisi, tapi oposisi
harus oposisi yang selalu konstruktif,"" tuturnya.

[Gambas:Video 20detik]

 ",1
anies baswedan,Riuh IMB Era Anies Diungkit PDIP Usai Kebakaran Lahan Plumpang,"Senin, 06 Mar 2023 08:00 WIB","\-

Riuh soal izin mendirikan bangunan (IMB) era Anies Baswedan di kawasan Tanah
Merah yang terdampak kebakaran Depo Pertamina Plumpang. IMB itu diungkit oleh
Anggota DPRD DKI Fraksi PDIP usai kebakaran yang menelan belasan korban jiwa.

Kebakaran yang terjadi pada Jumat (3/3) malam pekan kemarin menewaskan 19
warga. Jarak antara Depo Pertamina Plumpang dan permukiman warga jadi sorotan.

Anggota Komisi B DPRD DKI Jakarta F-PDIP Gilbert Simanjuntak menyampaikan
lahan dekat Depo Pertamina Plumpang tidak boleh ditempati dengan jarak
tertentu. Lahan milik Pertamina itu kemudian dihuni warga sejak puluhan tahun
lalu.

""Akan tetapi oleh Anies sewaktu menjabat gubernur diberi izin mendirikan
bangunan, yang jelas bertentangan dengan peraturan,"" kata Gilbert dalam
keterangan tertulisnya, Sabtu (4/3/2023).

Menurut Gilbert, warga sekitar Depo Pertamina Plumpang seharusnya direlokasi
untuk keamanan dan keselamatan. Namun, lanjut dia, Anies mengeluarkan IMB di
permukiman Tanah Merah, Rawabadak, Jakut, pada 2021.

""Izin mendirikan bangunan yang dikeluarkan Anies sewaktu menjabat membuat
persoalan bertambah rumit karena terlihat lebih mementingkan terpilih jadi
gubernur dengan janji kampanye walau harus menabrak aturan. Kesalahan ini
tidak sepatutnya berulang,"" ucap Gilbert.

Wasekjen Partai NasDem Hermawi Taslim heran IMB yang dikeluarkan Anies
dikaitkan dengan kebakaran Depo Pertamina Plumpang. Menurutnya, Anies sudah
tuntas mempertanggungjawabkan jabatannya di Jakarta.

""Ha-ha-ha... secara hukum Anies kan sudah mempertanggungjawabkan kerjaan
selama masa jabatannya sebagai gubernur,"" ujar Hermawi.

Hermawi justru mendorong PDIP untuk bertanya kepada Ketua DPRD DKI Jakarta
Prasetio Edi Marsudi, yang merupakan kader PDIP. Dari pertanyaan ke DPRD DKI
dinilai dapat ditemukan ada atau tidaknya pangkal permasalahan.

""Sebaiknya PDIP menanyakan hal tersebut kepada Ketua DPRD DKI yang adalah
kader PDIP. Apakah ada catatan khusus atas Depo Plumpang? Kalau tidak ada,
berarti Anies clear, sudah tidak bisa dituntut apa pun,"" ucapnya.

Anggota DPRD DKI Fraksi PKS Abdul Azis meyakini status lahan yang dikeluarkan
IMB oleh Anies sudah jelas.

""Seorang Gubernur nggak serta merta bisa mengeluarkan IMB tanpa adanya
penelusuran dari sisi hukum, dari sisi sejarah tanahnya dan sebagainya. Dan
saya yakin sekali kalau Pak Anies mengeluarkan IMB ya memang tanah itu
statusnya jelas. Adapun yang selama ini di luar itu kan masalah kebijakan
masalah safety safety-nya,"" kata Abdul Azis kepada wartawan, Sabtu (4/3/2023).

""Tapi kalau sudah keluarkan IMB dan sudah bisa dibangun, saya kira ya memang
itu kawasan pemukiman yang sudah fix, sudah resmi yang sudah ditelusuri asal-
usulnya,"" lanjutnya.

Abdul Azis justru mempertanyakan mengapa Pertamina tidak bertindak jika lahan
yang diterbitkan IMB itu berada di buffer zone atau daerah penyangga depo.
Abdul mengatakan jika tidak diterbitkan IMB maka warga akan mendirikan
bangunan secara liar dan tak beraturan.

""Saya kira diterbitkan IMB justru untuk mengatur agar tidak menjadi kawasan
kumuh yang crowded dan di IMB ini ada aturannya,"" ujarnya.

Sementara itu, Geisz Chalifah, relawan Anies Baswedan, menyentil balik
legislator Gilbert Simanjuntak. Geisz menilai pola pikir Gilbert aneh.

""Anies memberi IMB pada warga, agar warga bisa mendapatkan keadilan dalam
pelayanan publik. Diberi IMB atau tidak, warga Kampung Tanah Merah sudah
tinggal di daerah itu puluhan tahun lalu,"" kata Geisz kepada wartawan, Minggu
(5/3/2023).

""Kebakaran yang sudah terjadi dua kali itu, disebabkan kelalaian dalam
maintenance atau karena warga tinggal di daerah situ. Pola pikirnya Gilbert
itu aneh bin ajaib sama seperti para buzzer di medsos,"" sambung dia.

Geisz menilai tak hanya Depo Plumpang yang perlu dievaluasi. Dia mengatakan
banyak Depo lain yang harus dievaluasi dari sisi maintenance.

""Ada banyak depo lainnya yang harus dievaluasi oleh Pertamina dalam soal
maintenance,"" ucapnya.

[Gambas:Video 20detik]

 _Lurah beri penjelasan soal IMB era Anies, baca selengkapnya di halaman
berikutnya...._

Halaman 1  2

Selanjutnya __

 ",-1
anies baswedan,"Prabowo soal Anies: Siap Hadapi, Rakyat yang Memilih","Senin, 06 Mar 2023 08:55 WIB","\-

Bakal calon presiden dari Partai Gerindra yang juga Ketum Partai Gerindra,
Prabowo Subianto, bertemu dengan Ketum Partai NasDem Surya Paloh yang sudah
terang-terangan mengusung Anies Baswedan. Prabowo mengaku siap menghadapi
Anies Baswedan.

Awalnya, Prabowo ditanya soal peluang berduet dengan Anies di Pilpres 2024.
Prabowo menyebut pihaknya akan menghormati tiap langkah politik yang diambil
oleh NasDem.

""Kita akan menghormati keputusan politik masing-masing dan kita sudah bertekad
akan melakukan komunikasi yang lebih erat dan lebih intensif,"" kata Prabowo di
Hambalang, Jawa Barat, Minggu (5/3/2023).

Menurut Prabowo, jika pun nanti tidak ditemukan kesepakatan antara Gerindra
dan NasDem, ia menyatakan akan menerima keputusan tersebut. Prabowo juga
mengatakan siap bersaing dengan Anies dalam pemilu mendatang.

""Kalaupun Anies sudah jadi keputusan politik NasDem dan kawan-kawan ya kita
hormati. Ya sudah kita hadapi, rakyat yang milih, rakyat yang akan memilih""
katanya.

Kemudian seorang wartawan bertanya ke Prabowo mengenai peluang NasDem
bergabung dengan Koalisi Kebangkitan Indonesia Raya yang terdiri dari Gerindra
dan PKB. Prabowo dan Surya Puloh mengaku akan menghormati tiap keputusan
politik masing-masing.

""Soal koalisi soal capres cawapres kita sudah sepakat bakal menghormati
keputusan politik masing-masing. Kita menghormati apapun keputusan pak Surya
Paloh, mereka (NasDem) pun akan menghormati keputusan politik kami,"" pungkas
Prabowo.

[Gambas:Video 20detik]

 _Simak selengkapnya di sini_

Halaman 1  2

Selanjutnya __

 ",0
anies baswedan,Keyakinan Demokrat Makassar AHY Jadi Cawapres Anies di Pilpres 2024,"Senin, 06 Mar 2023 07:30 WIB","\-

Ketua Dewan Pimpinan Cabang (DPC) Demokrat Kota Makassar Adi Rasyid Ali (ARA)
meyakini betul ketua umumnya, Agus Harimurti Yudhoyono (AHY) akan mendampingi
Anies Baswedan sebagai Cawapres dalam kontestasi Pilpres 2024 mendatang. ARA
bahkan mengklaim kepastian AHY jadi Cawapres Anies sudah 95 persen.

""Kalau Pilpres pasangan capres Anies-AHY itu sudah 95% yah. Artinya sisa 5%
ini masih ada yang perlu dipermantap lagi agar bisa berpasangan,"" ujar ARA
saat berbincang dengan , Minggu (5/3/2023).

Di Makassar sendiri, sosialisasi dukungan terhadap Anies-AHY mulai masif. ARA
pun tak menampik manuver DPC Demokrat itu menjadi gambaran keyakinannya bahwa
Anies dan AHY akan berjodoh di Pilpres 2024 nanti.

Menurut dia, baliho atau spanduk Anies dan AHY nantinya akan lebih masif jika
dibandingkan dengan yang sekarang. Namun dia menegaskan kader partainya tetap
menunggu deklarasi resmi Anies-AHY.

""Banyak di beberapa kader pasang yang spanduk. Nanti menunggu final (paket
Anies-AHY) akan kita masifkan,"" tegasnya.

Pantauan di Makassar, Minggu (5/3), baliho Anies-AHY terpajang di persimpangan
Jalan Pengayoman-Jalan Pettarani. Baliho dengan ukuran cukup besar itu
dipasang menghadap ke arah Jalan Pettarani menuju Jalan Urip Sumoharjo.

""Bismillah Presidenku 2024,"" demikian tulisan di spanduk bergambar Anies dan
AHY itu.

Selain itu, foto Anies-AHY juga terpampang besar depan Kantor DPRD Kota
Makassar. Baliho ANies-AHY itu juga dipajang menghadap ke Jalan AP Pettarani,
Makassar.

Gambar dengan tampilan landscape itu memuat identitas dan lima orang foto
pengurus DPC Demokrat Makassar. Sementara tulisan yang dimuat serupa dengan
baliho sebelumnya 'Bismillah Presidenku 2024'.

  
  
  
[Gambas:Video 20detik]  

 ",0
anies baswedan,Prabowo Tegaskan Siap Hadapi Anies di Pilpres 2024,"Senin, 06 Mar 2023 10:45 WIB","\-

Bakal calon presiden (Capres) Partai Gerindra, Prabowo Subianto melakukan
pertemuan dengan Ketua Umum Partai NasDem Surya Paloh yang sudah mantap
mengusung Anies Baswedan sebagai bakal Capres. Prabowo menegaskan siap
menghadapi Anies pada Pilpres 2024 mendatang.

Dilansir dari , Prabowo awalnya ditanya soal peluang berduet dengan Anies di
Pilpres 2024. Prabowo kemudian menjawab pihaknya akan menghormati setiap
langkah politik yang diambil oleh NasDem.

""Kita akan menghormati keputusan politik masing-masing dan kita sudah bertekad
akan melakukan komunikasi yang lebih erat dan lebih intensif,"" tutur Prabowo
di Hambalang, Jawa Barat, dikutip dari , Minggu (5/3/2023).

Prabowo tak menjawab secara gamblang soal peluang berduet dengan Anies. Di
satu sisi, dia menegaskan dirinya siap bersaing dengan Anies dalam pemilu
mendatang.

""Kalaupun Anies sudah jadi keputusan politik NasDem dan kawan-kawan ya kita
hormati. Ya sudah kita hadapi, rakyat yang milih, rakyat yang akan memilih""
ucapnya.

Di sisi lain, seorang wartawan melontarkan pertanyaan kepada Prabowo terkait
peluang NasDem untuk bergabung dengan Koalisi Kebangkitan Indonesia yang
terdiri atas Gerindra dan PKB. Prabowo dan Surya Paloh memastikan akan tetap
menghormati setiap keputusan politik masing-masing.

""Soal koalisi soal capres cawapres kita sudah sepakat bakal menghormati
keputusan politik masing-masing. Kita menghormati apapun keputusan pak Surya
Paloh, mereka (NasDem) pun akan menghormati keputusan politik kami,"" tutup
Prabowo.

Pada kesempatan yang sama, Surya Paloh juga sempat ditanya apakah Anies akan
meneruskan kebijakan Presiden Joko Widodo (Jokowi). Paloh mengatakan tak ada
alasan bagi Anies untuk tidak meneruskan kebijakan pemerintah saat ini.

""Tentu kalau bisa diteruskan amat sangat baik sekali. Kenapa alasan untuk
tidak meneruskan,"" ungkap Paloh.

Paloh juga mengungkap dirinya enggan pembangunan yang saat ini berjalan
terhenti. Dia tidak menampik perlu adanya perbaikan dalam kebijakan saat ini.
Namun Paloh menegaskan bahwa meneruskan kebijakan Jokowi adalah hal yang
sangat rasional.

""Kita tidak mau pembangunan itu harus terhenti. Perlu perbaikan jelas itu
mutlak. Tidak ada kesempurnaan dalam seluruh apapun yang telah kita lalui
bersama, ada upaya-upaya perbaikan. Tapi meneruskan saya pikir itu suatu hal
yang saya pikir amat sangat rasional di sana,"" ujar dia.

""Kita tidak mau adanya pembangunan jalannya pembangunan negeri kita ini harus
terhenti karena tukarnya pergantian daripada pemimpin atau kepemimpinan
nasional kita dan nggak ada yang mau seperti itu,"" ungkap Paloh.

  
  
  
[Gambas:Video 20detik]  

 ",1
anies baswedan,Prabowo Ungkap Pertemuan dengan Surya Paloh Bukan Basa-basi,"Minggu, 05 Mar 2023 17:12 WIB","\-

Ketua Umum (Ketum) Gerindra Prabowo Subianto menyambut kedatangan Ketum NasDem
Surya Paloh di kediamannya di Hambalang, Jawa Barat. Prabowo mengatakan
komunikasi politik di antara mereka harus dilakukan lebih intensif.

""Kita sepakat bahwa ini komunikasi politik harus lebih intensif, lebih sering
dilakukan dengan semua pihak. Jadi saya terima kasih kunjungan ini,"" kata
Prabowo usai menggelar pertemuan secara tertutup dengan Paloh.

Prabowo lalu mengungkit kedatangan Paloh dan sejumlah elite partai yang
mendampingi cukup jauh dari Jakarta. Menurutnya, ini menjadi bukti bahwa
pertemuan mereka tak sekadar basa-basi.

""Pak Surya jauh-jauh dari Jakarta. Dalam arti, bayangkan begitu jauh beliau ke
sini. Artinya kan ada niat, iya kan. Ada, bukan basa basi, kira kira begitu,
saya kira itu,"" kata Prabowo.

Sementara, Paloh membicarakan hubungan antara dirinya dengan Prabowo merupakan
sahabat lama. Dia mengatakan tak ada masalah dalam hubungan mereka saat ini.

""Secara batin saya sudah katakan hubungan kami ini hubungan persahabatan.
Harusnya lebih mudah untuk menyelesaikan. Kalaupun ada masalah, sejauh ini
tidak ada masalah. Kalau ada masalah kita akan selesaikan cepat,"" ujar Paloh
dalam kesempatan yang sama.

Paloh menekankan saat ini pihaknya memberikan spirit kepada Prabowo yang kini
menjadi capres usungan Gerindra. Begitu pula kepada Anies Baswedan yang
merupakan capres dukungan NasDem.

""Sekarang Mas Bowo capres dari posisi Gerindra. Apa yang bisa dilakukan
NasDem? Satu, bersikaplah untuk betul-betul mampu memberikan spirit semangat
untuk Mas Bowo sebagai satu subangsih persahabatan. Menang kalah itu nanti
urusan kedua. Begitu juga Anies sudah dicapreskan oleh NasDem hari ini, ya
kan,"" katanya.

Paloh menghendaki kedua capres tersebut saling menerima dalam konteks hubungan
pertemanan. Hal ini, menurut Paloh, agar tidak ada kesalahpahaman di antara
mereka dalam membawa misi besar bagi perjalanan kehidupan bangsa.

""Apa yang kita harapkan, ya suasana, yang melihat Anies dalam semangat juga
sebagai pertemanan. Jadi kedua capres paling tidak upaya yang ingin saya
maksudkan, upaya untuk saling menerima sebagai pertemanan yang hubungan tidak
terlalu jauh satu sama lain. Batas ini saja pun sudah tercapai, ini sudah
maksimal sudah mantap menurut saya,"" kata Paloh.

""Supaya tidak ada kesalahpahaman pengertian, karna kita ingin membawa misi
besar bagi perjalanan kehidupan bangsa kita, jelas ya,"" imbuhnya.

[Gambas:Video 20detik]

  
  
  

 ",1
anies baswedan,PKS soal Cawapres Anies: Kalau Ada yang Usul Bang Sandiaga Kita Tampung,"Minggu, 05 Mar 2023 16:40 WIB","\-

Presiden PKS Ahmad Syaikhu mengatakan pihaknya memang ingin kembali menduetkan
kembali Anies Baswedan dan Sandiaga Uno di Pilpres 2024. Syaikhu mengatakan
PKS memang serius untuk mempertimbangkan itu.

""Semuanya akan ditampung terlebih dahulu. Ya kalau nanti tadi juga ada yang
mengusulkan Bang Sandiaga Uno ya kita akan tampung ya, dan kemudian secara
fair nanti kita akan lakukan survei. Nah dari situlah kita akan tetapkan mana
yang kira-kira akan bisa menjadi pendamping Pak Anies,"" kata Syaikhu kepada
wartawan usai membuka posko pemenangan Anies Baswedan di Cangkringan, Sleman,
dilansir , Minggu (5/3/2023).

Syaikhu mengatakan pihaknya akan mendiskusikan dengan partai pengusung Anies
lainnya dalam menentukan cawapres pendamping. Dia menyebut tentunya sang
pendamping harus memiliki karakter nasionalis religius.

""Nanti kita diskusikan, kita musyawarahkan bahkan mungkin kita akan lakukan
survei kira-kira mana kandidat yang paling mungkin untuk bisa mendampingi Pak
Anies,"" katanya.

""Kita juga meminta bahwa tadi _probibilitily_ _to_ _win_ -nya besar. Jadi
ketika dipasangkan bukan justru menegasikan pasangan tapi justru itu saling
mensuport sehingga capaian presiden dan wapres itu bisa semakin meningkatkan
elektabilitas pasangan,"" urainya.

Lebih lanjut, PKS tidak menutup mata untuk adanya kandidat lain. Syaikhu
mengatakan PKS tak mau buru-buru.

Baca selengkapnya di sini.

 ",1
anies baswedan,Lurah Jelaskan soal IMB Era Anies di Lokasi Kebakaran Depo Plumpang,"Minggu, 05 Mar 2023 17:46 WIB","\-

Lurah Rawa Badak Selatan, Koja, Jakarta Utara, Suhaena, menjelaskan terkait
izin mendirikan bangunan (IMB) era Anies Baswedan di kawasan Tanah Merah yang
terdampak kebakaran Depo Pertamina Plumpang. Dia mengatakan warga mengantongi
IMB kawasan.

""Iya kalau itu, IMB kawasan. Jadi untuk mengakui bangunan saja, tapi bukan
untuk lahan,"" kata Suhaena kepada wartawan, Minggu (5/3/2023).

Suhaena mengatakan masyarakat memiliki legalitas untuk tinggal di sana. Namun
masyarakat tidak memiliki IMB atas lahan yang didudukinya.

""Untuk bangunannya, bukan tanahnya. Bukan IMB-nya, IMB untuk bangunan saja.
Bukan untuk lahan,"" ujarnya.

Polemik IMB muncul saat PDIP DKI Jakarta mengungkit IMB era eks Gubernur DKI
Jakarta Anies Baswedan terkait permukiman yang terkena dampak kebakaran Depo
Pertamina Plumpang.

""Sejak awal sudah diketahui bahwa Depo Pertamina Plumpang tidak boleh
ditempati dengan jarak tertentu. Lahan tersebut adalah milik PT Pertamina yang
ditempati warga, akan tetapi oleh Anies sewaktu menjabat gubernur diberi izin
mendirikan bangunan, yang jelas bertentangan dengan peraturan,"" kata anggota
Komisi B DPRD DKI Jakarta F-PDIP Gilbert Simanjuntak dalam keterangan
tertulis, Sabtu (4/3).

Seharusnya, menurut Gilbert, warga sekitar Depo Pertamina Plumpang direlokasi
untuk keamanan dan keselamatan. Namun, berdasarkan catatan, Anies mengeluarkan
IMB di permukiman Tanah Merah, Rawabadak, Jakut, pada 2021.

""Saat ini dengan adanya korban kebakaran, sepatutnya warga direlokasi agar
terhindar dari musibah yang berulang di kemudian hari,"" ujar Kepala Badiklatda
PDIP DKI itu.

Wasekjen Partai NasDem Hermawi Taslim heran IMB yang dikeluarkan Anies
dikaitkan dengan kebakaran Depo Plumpang. Menurutnya, Anies sudah tuntas
mempertanggungjawabkan jabatannya di Jakarta.

""Ha-ha-ha... secara hukum Anies kan sudah mempertanggungjawabkan kerjaan
selama masa jabatannya sebagai gubernur,"" ujar Hermawi.

Hermawi justru mendorong PDIP bertanya kepada Ketua DPRD DKI Jakarta Prasetio
Edi Marsudi, yang merupakan kader PDIP. Dari pertanyaan ke DPRD DKI dinilai
dapat ditemukan ada atau tidaknya pangkal permasalahan.

""Sebaiknya PDIP menanyakan hal tersebut kepada Ketua DPRD DKI yang adalah
kader PDIP. Apakah ada catatan khusus atas Depo Plumpang? Kalau tidak ada,
berarti Anies _clear_ , sudah tidak bisa dituntut apa pun,"" ucapnya.

Terpisah, Geisz Chalifah, relawan Anies Baswedan, menyentil balik Gilbert
setelah mengungkit IMB soal lahan kebakaran Depo Pertamina Plumpang. Geisz
menilai pola pikir Gilbert aneh.

""Anies memberi IMB pada warga, agar warga bisa mendapatkan keadilan dalam
pelayanan publik. Diberi IMB atau tidak, warga Kampung Tanah Merah sudah
tinggal di daerah itu puluhan tahun lalu,"" kata Geisz, kepada wartawan, Minggu
(5/3/2023).

""Kebakaran yang sudah terjadi dua kali itu, disebabkan kelalaian dalam
_maintenance_ atau karena warga tinggal di daerah situ. Pola pikirnya Gilbert
itu aneh bin ajaib sama seperti para _buzzer_ di medsos,"" sambung dia.

Geisz menilai tak hanya Depo Plumpang yang perlu dievaluasi. Dia mengatakan
banyak Depo lain yang harus dievaluasi dari sisi _maintenance_.

""Ada banyak Depo lainnya yang harus dievaluasi oleh Pertamina dalam soal
maintenance,"" ucapnya.

[Gambas:Video 20detik]

  
  

 ",-1
