word,big
(barang) bekas,-0.8
(hujan) gerimis,0.2
(olahraga) bokser,-1.0
(tua) uzur,-0.6
(warna) dadu,0.6
Ahad,0.6
Anda,-0.8
Sri paduka,0.8
Yang Dipertuan,0.8
aahh,-0.6
aamiin,0.4
ab,0.6
aba,0.4
aba-aba,-0.6
abadi,0.4
abah,0.6
abai,-0.6
abaikan,-0.4
abar-abar,-1.0
abdi negara,-0.6
abg,-0.4
abi,0.4
abid,0.6
abis,-0.2
abnormal,-0.75
abnormalitas,-0.8
abolisi,-0.6
abon,-0.8
aborsi,-0.6
absen,-0.615
abses,-0.8
absolut,0.56
absorpsi,0.3
absurd,0.41
abu,0.3
abu-abu,-0.4
abuk,-0.6
abur,-1.0
acak,-1.0
acak-acakan,-0.845
acau,-0.8
aco-acoan,-1.0
acoan,-1.0
acu,-0.8
acuh tak acuh,0.4
ada,-0.3666666666666667
adab,0.6
adakala,0.6
adang,-0.6
adaptasi,0.4
addict,-0.6
adegan,-0.8
adek,0.1
adi,0.4
adib,0.63
adika,1.0
adiktif,-0.8
adil,0.43333333333333335
adiluhung,0.6
adimarga,-0.8
administrator,0.6
adon,-0.8
adoptif,0.5
adu,-0.6
aduh,-0.3
aduhai,0.8
aduk,-0.6
adzan,0.6
aerob,0.5
aerobik,0.5
afair,0.6
afdal,0.74
afeksi,0.2
afiat,0.75
afiliasi,-0.4
afirmasi,0.6
afirmatif,0.5
afrodisiak,0.63
agak-agak,-0.75
agam,0.625
agama,-0.6
agar,-0.6
agen,-0.6
agen rahasia,-0.6
agresif,0.56
agung,0.53
ahli,0.71
ahli agama,0.2
ahli bahasa,-0.6
ahmak,-0.675
aib,-0.5
aiku,-1.0
ain,-1.0
air,-0.2
air liur,-0.4
air masin,-0.75
aja,0.2
ajak,0.2
ajakan,-0.3
ajal,-0.4
ajang,-0.6
ajar,-0.3
ajek,0.75
aji,0.4
ajojing,0.6
aju,-0.6
ajudan,0.8
ajuk,-1.0
akademik,-0.63
akal,0.63
akar,-0.3
akas,0.2
akhir,-0.63
akhlak,0.8
akibat,-0.3
akidah,0.3
akik,-0.6
akil,0.8
akmal,0.63
akomodasi,0.6
akrab,0.55
akreditasi,-0.6
aksa,-0.8
akses,0.4
aksi,0.4
aksioma,-0.6
aktif,-0.2833333333333333
aktivasi,0.4
aktual,0.555
aku,0.2
akuan,0.3
akumah,-0.6
akunya,-0.2
akur,0.5
akurat,0.5
akut,-0.75
alah,-0.7150000000000001
alahan,-0.6
alai-belai,-0.6
alaikum,0.4
alam,0.2
alami,-0.6
alamiah,-0.3
alangkah,0.4
alap,0.75
alat kelamin,-0.6
alat negara,-0.6
alat vital,-0.4
alay,-0.8
album,0.3
albumnya,-0.4
alergi,-0.615
alhamdulilah,0.6
alhamdulillah,1.0
aliansi,-0.4
alih generasi,0.8
alim,0.5449999999999999
alim arif,0.8
alir udara,-0.2
aliran udara,-0.2
alkisah,-0.8
alku,-1.0
allah,1.0
alobar,-0.8
alone,-0.6
alot,0.2
alpa,-0.45499999999999996
alur,-0.8
amah,-1.0
amal,0.65
amalan,0.8
aman,-0.47
amanah,0.815
amandel,-1.0
amarah,-1.0
amat,0.775
amat sangat,-0.6
amatin,-0.4
ambai,-1.0
ambalan,-0.8
ambau,-1.0
ambigu,-0.6
ambiguitas,-1.0
ambil,-1.0
ambilan,0.6
ambisi,0.65
ambisius,0.5
ambivalen,-0.63
amblas,-0.6
ambles,-0.8
ambruk,-1.0
amburadul,-1.0
amerta,0.6
ametis,-0.8
amin,0.3
amit,-0.8
amor,-0.4
amoral,-0.6
ampai,-0.8
ampang,0.63
ampas,-0.6
ampas (kopi),0.3
ampas kopi,-0.4
ampel,-0.6
ampela,-1.0
amplop,0.6
ampu,-1.0
ampuh,0.5
ampun,-0.3
ampuni,-0.4
amtenar,-0.6
amuk,-0.5
ana,-0.3
anak,-0.6
anak Adam,0.6
anak air,-0.8
anak bawang,-0.4
anak bedil,-0.6
anak bukit,-0.8
anak cucu,-0.6
anak dara,-0.75
anak didik,0.6
anak penak,-0.6
anak pinak,-0.6
anak sasian,0.6
anak sekolah,0.6
anak-anakan,-0.6
anakan,1.0
analisis,0.8
analitis,-0.8
anarki,-0.8
ancai,-1.0
ancam,-0.8
ancaman,-0.8
anda,-0.2
andai,0.4
andal,0.5
andeka,-0.6
andil,0.8
andini,0.4
andur,0.6
aneh,-0.41
aneka,0.6
anekdot,-0.4
angan,0.6
angan-angan,0.8
anggai,-0.6
anggak,0.5
anggal,-0.5
anggapan,0.6
anggar,0.6
anggara,-0.8
anggaran,-0.75
anggota,-0.6
angguk,0.2
anggun,0.42
anggur,-0.8
angguran,-0.8
angin lalu,-1.0
angin sepoi-sepoi,0.63
angit,-1.0
angka ganjil,0.5
angkara,0.44
angkat,0.6
angkat tangan,-1.0
angkat topi,-0.8
angkatan,-1.0
angkot,-0.2
angkuh,0.44
angkup,-0.6
angkut,0.2
anglo,-0.8
angpau,0.8
angsur,0.2
aniaya,-0.8
animo,0.8
anjak,-0.6
anjay,-0.6
anjeng,-1.0
anjer,-0.6
anjg,-1.0
anjing,-0.8
anjing tanah,-1.0
anjir,-0.3
anjis,-0.2
anjlok,-0.8
anjung,0.8
anjungan,-0.6
anjur,-0.4
anjuran,-0.4
anom,-0.8
anonim,-0.5
ansar,0.8
antagonisme,-0.8
antagonistis,0.5
antap,-1.0
antek,-0.6
antem,-0.8
anteng,0.8
anti,-0.4
antipati,-0.3
antiseptik,0.56
antisipasi,0.3
antitesis,-0.6
antologi,0.2
antuk,-0.8
antun,-0.6
antusias,-0.3
antusiasme,0.6
anu,-0.6
anugerah,0.3
anut,-0.3
anyar,0.8
anyir,-0.8
apa,-0.6
apaan,-0.8
apalah,-0.4
apanya,-0.6
aparat,-0.6
aparatus,-0.6
apas,0.5
apasi,-0.6
apasih,-0.8
apatis,-0.5
apek,-0.8
apes,-1.0
api,0.4
api-api,-0.8
apik,0.88
apit,-0.6
apiun,-0.6
apkir,-0.8
apkiran,-0.8
aplikasi,-0.8
arabika,0.4
arah,-0.4
arahan,-0.6
arak,0.4
aram,-0.6
arbitrer,-1.0
arca,-0.6
argumen,-0.8
arif,0.72
arifin,0.63
arik,-0.6
aristokrat,0.38
arketipe,0.6
armada,-1.0
arsip,-1.0
arsitektur,0.4
arti,0.2
artian,0.6
artifisial,0.6
artik,-0.75
artikel,-0.8
artis,0.4
artistik,0.4
aru,-1.0
aru-aru,-0.8
arung,0.2
arus udara,-0.8
asa,0.3
asah,-0.6
asah asih asuh,0.4
asak,-0.6
asal,-0.64
asal usul,-0.8
asal-asalan,-1.0
asam,-0.45
asan tak asan,-1.0
asas,0.75
asasi,0.3666666666666667
aseptik,0.63
asfal,-1.0
asi,0.5
asian,0.81
asid,-0.815
asih,0.45
asik,0.8
asing,-0.53
asket,0.4
asketisme,0.4
asli,-0.345
asmara,-0.4
asoi,0.6
asor,-1.0
asosiasi,-0.4
aspek,-0.6
aspiran,-1.0
asrama,0.6
asri,0.5166666666666667
assalamualaikum,0.6
astaga,-0.4
astagfirullah,-0.4
astagfirulloh,-0.8
astaghfirullah,-0.6
asuh,0.3
asumsi,-0.6
asusila,-1.0
aswad,-0.65
asyik,0.63
atas,-0.8
atasan,0.635
atensi,0.4
ati,-0.2
atom,0.6
atraktif,0.56
atresia,-0.6
atribut,-0.6
atuh,-0.2
atur,0.4
atut,-0.4
aur,-0.6
aurat,-0.4
aus,-1.0
auta,-0.8
autentik,0.615
awa-,-0.6
awal,0.2
awan kelabu,-0.6
awang-gemawang,0.5
awas,0.47666666666666674
awat,1.0
awet,0.4
awi,-0.6
awur,-0.8
awut,-0.8
awut-awutan,-1.0
aya,0.6
ayahanda,0.2
ayal,-0.6
ayam kampung,-0.75
ayat,-0.8
ayo,0.8
ayu,0.75
ayun,-0.3
ayunan,0.3
azab,-0.875
azamat,0.8
azimat,-0.4
aziz,0.4
bab,-0.8
babak,-0.8
babar,-0.2
babaran,0.6
babe,0.6
babi,-0.8
babil,-0.7150000000000001
bablas,-1.0
babu,-1.0
baby,0.4
baca,0.3
bacar mulut,-0.8
bacok,-0.8
bacot,-0.4
bacul,-0.5
bad,-0.8
badai,-0.8
badan,-0.6
badmood,-0.8
badung,-0.8
bagaimana pun,-0.4
bagak,1.0
bagal,-0.6
bagas,1.0
bagi,-0.4
bagian,-0.8
baginda,-0.3
bagus,0.38000000000000006
bagusan,0.4
bah,-0.6
bahadur,1.0
bahaduri,0.8
bahagia,0.4466666666666667
bahala,-0.6
bahan,-0.6
bahas,0.4
bahasa,-0.8
bahasan,0.2
bahaya,-0.875
bahlul,-1.0
bahtera,-0.6
baiat,-0.6
baik,0.45999999999999996
baik hati,0.53
baik-baik,0.3
baiklah,0.4
baiknya,0.2
bain,0.3
bait,-0.6
bajak,-0.8
bajik,0.8
bajing,-0.5
baju,0.4
bakal,-0.75
bakar,-0.3
bakat,0.4
bakh,0.8400000000000001
bakhil,-0.44
baki,-0.5
bakir,0.8
baksis,0.4
baktau,-1.0
bakti,0.8
baku,-0.3
bala,-1.0
bala bencana,-1.0
balai,-0.6
balairung,-0.6
balas,-0.3
balasan,0.6
balela,-0.8
bales,-0.6
balesnya,-0.4
balik,-0.6
balik adab,-0.625
balik akal,-0.8
balik gagang,-1.0
balkon,-0.6
balung,-0.8
balur,-0.8
bambu,-0.6
bambung,-0.675
