word,average
(barang) bekas,-0.4
(hujan) gerimis,0.1
(olahraga) bokser,-0.5
(tua) uzur,-0.3
(warna) dadu,0.3
Ahad,0.3
Anda,-0.4
Sri paduka,0.4
Yang Dipertuan,0.4
aahh,-0.3
aamiin,0.2
ab,0.3
aba,0.2
aba-aba,-0.3
abadi,0.06
abah,0.3
abai,-0.3
abaikan,-0.2
abar-abar,-0.5
abdi negara,-0.3
abg,-0.2
abi,0.2
abid,0.3
abis,-0.05
abnormal,-0.375
abnormalitas,-0.4
abolisi,-0.3
abon,-0.4
aborsi,-0.3
absen,-0.275
abses,-0.4
absolut,0.25
absorpsi,0.09999999999999999
absurd,0.1383333333333333
abu,0.04999999999999999
abu-abu,-0.2
abuk,-0.3
abur,-0.5
acak,-0.5
acak-acakan,-0.4075
acau,-0.4
aco-acoan,-0.5
acoan,-0.5
acu,-0.4
acuh tak acuh,0.05000000000000002
ada,-0.02833333333333335
adab,0.3
adakala,0.3
adang,-0.3
adaptasi,0.2
addict,-0.3
adegan,-0.4
adek,0.0
adi,0.2
adib,0.315
adika,0.5
adiktif,-0.4
adil,0.10333333333333335
adiluhung,0.3
adimarga,-0.4
administrator,0.3
adon,-0.4
adoptif,0.25
adu,-0.3
aduh,-0.09999999999999999
aduhai,0.4
aduk,-0.3
adzan,0.3
aerob,0.25
aerobik,0.25
afair,0.3
afdal,0.37
afeksi,0.0
afiat,0.375
afiliasi,-0.1
afirmasi,0.3
afirmatif,0.25
afrodisiak,0.315
agak-agak,-0.25
agam,0.235
agama,-0.3
agar,-0.3
agen,-0.3
agen rahasia,-0.3
agresif,0.28
agung,0.19
ahli,0.355
ahli agama,0.1
ahli bahasa,-0.3
ahmak,-0.3375
aib,-0.2
aiku,-0.5
ain,-0.5
air,-0.1
air liur,-0.2
air masin,-0.375
aja,0.1
ajak,0.1
ajakan,-0.09999999999999999
ajal,-0.05000000000000002
ajang,-0.3
ajar,-0.09999999999999999
ajek,0.31
aji,0.05000000000000002
ajojing,0.3
aju,-0.3
ajudan,0.4
ajuk,-0.5
akademik,-0.315
akal,0.315
akar,-0.04999999999999999
akas,0.0
akhir,-0.315
akhlak,0.4
akibat,-0.09999999999999999
akidah,0.0
akik,-0.3
akil,0.4
akmal,0.25
akomodasi,0.3
akrab,0.275
akreditasi,-0.3
aksa,-0.4
akses,0.2
aksi,0.2
aksioma,-0.3
aktif,-0.011666666666666659
aktivasi,0.2
aktual,0.21500000000000002
aku,0.05
akuan,0.0
akumah,-0.3
akunya,-0.1
akur,0.25
akurat,0.25
akut,-0.375
alah,-0.35750000000000004
alahan,-0.3
alai-belai,-0.3
alaikum,0.2
alam,0.05
alami,-0.3
alamiah,-0.04999999999999999
alangkah,0.1
alap,0.375
alat kelamin,-0.3
alat negara,-0.3
alat vital,-0.2
alay,-0.4
album,0.04999999999999999
albumnya,-0.2
alergi,-0.3075
alhamdulilah,0.3
alhamdulillah,0.5
aliansi,-0.15000000000000002
alih generasi,0.4
alim,0.27249999999999996
alim arif,0.4
alir udara,-0.1
aliran udara,-0.1
alkisah,-0.4
alku,-0.5
allah,0.5
alobar,-0.4
alone,-0.3
alot,0.1
alpa,-0.14999999999999997
alur,-0.4
amah,-0.5
amal,0.2625
amalan,0.4
aman,-0.13999999999999999
amanah,0.4075
amandel,-0.5
amarah,-0.5
amat,0.3875
amat sangat,-0.3
amatin,-0.2
ambai,-0.5
ambalan,-0.4
ambau,-0.5
ambigu,-0.3
ambiguitas,-0.5
ambil,-0.5
ambilan,0.3
ambisi,0.2925
ambisius,0.185
ambivalen,-0.315
amblas,-0.3
ambles,-0.4
ambruk,-0.5
amburadul,-0.5
amerta,0.3
ametis,-0.4
amin,0.0
amit,-0.4
amor,-0.1
amoral,-0.3
ampai,-0.4
ampang,0.19
ampas,-0.3
ampas (kopi),0.04999999999999999
ampas kopi,-0.2
ampel,-0.3
ampela,-0.5
amplop,0.3
ampu,-0.5
ampuh,0.25
ampun,-0.09999999999999999
ampuni,-0.2
amtenar,-0.3
amuk,-0.2
ana,-0.04999999999999999
anak,-0.3
anak Adam,0.3
anak air,-0.4
anak bawang,-0.2
anak bedil,-0.3
anak bukit,-0.4
anak cucu,-0.3
anak dara,-0.375
anak didik,0.3
anak penak,-0.3
anak pinak,-0.3
anak sasian,0.3
anak sekolah,0.3
anak-anakan,-0.3
anakan,0.5
analisis,0.4
analitis,-0.4
anarki,-0.4
ancai,-0.5
ancam,-0.4
ancaman,-0.4
anda,-0.1
andai,0.2
andal,0.21666666666666667
andeka,-0.3
andil,0.4
andini,0.2
andur,0.3
aneh,-0.02999999999999997
aneka,0.3
anekdot,-0.1
angan,0.3
angan-angan,0.4
anggai,-0.3
anggak,0.06
anggal,-0.06
anggapan,0.3
anggar,0.3
anggara,-0.4
anggaran,-0.25
anggota,-0.3
angguk,0.1
anggun,0.12499999999999999
anggur,-0.4
angguran,-0.4
angin lalu,-0.5
angin sepoi-sepoi,0.19
angit,-0.5
angka ganjil,0.06
angkara,0.0
angkat,0.3
angkat tangan,-0.5
angkat topi,-0.4
angkatan,-0.5
angkot,-0.1
angkuh,0.04999999999999999
angkup,-0.3
angkut,0.1
anglo,-0.4
angpau,0.4
angsur,0.1
aniaya,-0.4
animo,0.4
anjak,-0.3
anjay,-0.3
anjeng,-0.5
anjer,-0.3
anjg,-0.5
anjing,-0.4
anjing tanah,-0.5
anjir,-0.09999999999999999
anjis,-0.1
anjlok,-0.4
anjung,0.4
anjungan,-0.3
anjur,-0.2
anjuran,-0.2
anom,-0.4
anonim,-0.25
ansar,0.4
antagonisme,-0.4
antagonistis,0.185
antap,-0.5
antek,-0.3
antem,-0.4
anteng,0.4
anti,-0.2
antipati,-0.04999999999999999
antiseptik,0.09000000000000002
antisipasi,0.09999999999999999
antitesis,-0.3
antologi,0.1
antuk,-0.4
antun,-0.3
antusias,-0.04999999999999999
antusiasme,0.3
anu,-0.3
anugerah,0.09999999999999999
anut,-0.04999999999999999
anyar,0.4
anyir,-0.4
apa,-0.3
apaan,-0.4
apalah,-0.2
apanya,-0.3
aparat,-0.3
aparatus,-0.3
apas,0.15000000000000002
apasi,-0.3
apasih,-0.4
apatis,-0.2
apek,-0.4
apes,-0.5
api,0.1
api-api,-0.4
apik,0.44
apit,-0.3
apiun,-0.3
apkir,-0.4
apkiran,-0.4
aplikasi,-0.4
arabika,0.2
arah,-0.15000000000000002
arahan,-0.3
arak,0.2
aram,-0.3
arbitrer,-0.5
arca,-0.3
argumen,-0.4
arif,0.36
arifin,0.315
arik,-0.3
aristokrat,0.065
arketipe,0.3
armada,-0.5
arsip,-0.5
arsitektur,0.2
arti,0.1
artian,0.3
artifisial,0.3
artik,-0.375
artikel,-0.4
artis,0.2
artistik,0.1
aru,-0.5
aru-aru,-0.4
arung,0.1
arus udara,-0.4
asa,0.04999999999999999
asah,-0.3
asah asih asuh,0.2
asak,-0.3
asal,-0.14
asal usul,-0.4
asal-asalan,-0.5
asam,-0.225
asan tak asan,-0.5
asas,0.25
asasi,0.08333333333333336
aseptik,0.315
asfal,-0.5
asi,0.06
asian,0.405
asid,-0.4075
asih,0.19166666666666668
asik,0.4
asing,-0.2
asket,0.2
asketisme,0.2
asli,-0.02749999999999997
asmara,-0.1
asoi,0.3
asor,-0.5
asosiasi,-0.05000000000000002
aspek,-0.3
aspiran,-0.5
asrama,0.3
asri,0.15833333333333338
assalamualaikum,0.3
astaga,-0.05000000000000002
astagfirullah,-0.05000000000000002
astagfirulloh,-0.4
astaghfirullah,-0.3
asuh,0.04999999999999999
asumsi,-0.3
asusila,-0.5
aswad,-0.325
asyik,0.25
atas,-0.4
atasan,0.3175
atensi,0.2
ati,-0.1
atom,0.3
atraktif,0.21333333333333337
atresia,-0.3
atribut,-0.3
atuh,-0.1
atur,0.0
atut,-0.2
aur,-0.3
aurat,-0.2
aus,-0.5
auta,-0.4
autentik,0.3075
awa-,-0.3
awal,0.0
awan kelabu,-0.3
awang-gemawang,0.25
awas,0.13833333333333336
awat,0.5
awet,0.04250000000000001
awi,-0.3
awur,-0.4
awut,-0.4
awut-awutan,-0.5
aya,0.3
ayahanda,0.1
ayal,-0.3
ayam kampung,-0.375
ayat,-0.4
ayo,0.4
ayu,0.375
ayun,-0.09999999999999999
ayunan,0.0
azab,-0.4225
azamat,0.4
azimat,-0.15000000000000002
aziz,0.2
bab,-0.4
babak,-0.4
babar,-0.1
babaran,0.3
babe,0.3
babi,-0.4
babil,-0.35750000000000004
bablas,-0.5
babu,-0.5
baby,0.2
baca,0.09999999999999999
bacar mulut,-0.4
bacok,-0.4
bacot,-0.05000000000000002
bacul,-0.25
bad,-0.4
badai,-0.4
badan,-0.3
badmood,-0.4
badung,-0.4
bagaimana pun,-0.2
bagak,0.5
bagal,-0.3
bagas,0.5
bagi,-0.1
bagian,-0.4
baginda,-0.04999999999999999
bagus,0.0566666666666667
bagusan,0.2
bah,-0.3
bahadur,0.5
bahaduri,0.4
bahagia,0.15500000000000003
bahala,-0.3
bahan,-0.3
bahas,0.2
bahasa,-0.4
bahasan,0.1
bahaya,-0.4375
bahlul,-0.5
bahtera,-0.3
baiat,-0.3
baik,0.19666666666666666
baik hati,0.225
baik-baik,0.09999999999999999
baiklah,0.2
baiknya,0.1
bain,0.04999999999999999
bait,-0.3
bajak,-0.4
bajik,0.4
bajing,-0.2
baju,0.2
bakal,-0.375
bakar,-0.09999999999999999
bakat,0.15000000000000002
bakh,0.42000000000000004
bakhil,-0.095
baki,-0.185
bakir,0.4
baksis,0.2
baktau,-0.5
bakti,0.4
baku,-0.09999999999999999
bala,-0.5
bala bencana,-0.5
balai,-0.3
balairung,-0.3
balas,-0.09999999999999999
balasan,0.3
balela,-0.4
bales,-0.3
balesnya,-0.2
balik,-0.3
balik adab,-0.155
balik akal,-0.4
balik gagang,-0.5
balkon,-0.3
balung,-0.4
balur,-0.4
bambu,-0.3
bambung,-0.3375
banal,-0.3
banat,-0.4
bancang,-0.5
