word,average
(barang) bekas,-0.4
(olahraga) bokser,-0.5
(tua) uzur,-0.3
Anda,-0.4
aahh,-0.3
aba-aba,-0.3
abai,-0.3
abaikan,-0.2
abar-abar,-0.5
abdi negara,-0.3
abg,-0.2
abis,-0.05
abnormal,-0.375
abnormalitas,-0.4
abolisi,-0.3
abon,-0.4
aborsi,-0.3
absen,-0.275
abses,-0.4
abu-abu,-0.2
abuk,-0.3
abur,-0.5
acak,-0.5
acak-acakan,-0.4075
acau,-0.4
aco-acoan,-0.5
acoan,-0.5
acu,-0.4
ada,-0.02833333333333335
adang,-0.3
addict,-0.3
adegan,-0.4
adek,0.0
adiktif,-0.4
adimarga,-0.4
adon,-0.4
adu,-0.3
aduh,-0.09999999999999999
aduk,-0.3
afeksi,0.0
afiliasi,-0.1
agak-agak,-0.25
agama,-0.3
agar,-0.3
agen,-0.3
agen rahasia,-0.3
ahli bahasa,-0.3
ahmak,-0.3375
aib,-0.2
aiku,-0.5
ain,-0.5
air,-0.1
air liur,-0.2
air masin,-0.375
ajakan,-0.09999999999999999
ajal,-0.05000000000000002
ajang,-0.3
ajar,-0.09999999999999999
aju,-0.3
ajuk,-0.5
akademik,-0.315
akar,-0.04999999999999999
akas,0.0
akhir,-0.315
akibat,-0.09999999999999999
akidah,0.0
akik,-0.3
akreditasi,-0.3
aksa,-0.4
aksioma,-0.3
aktif,-0.011666666666666659
akuan,0.0
akumah,-0.3
akunya,-0.1
akut,-0.375
alah,-0.35750000000000004
alahan,-0.3
alai-belai,-0.3
alami,-0.3
alamiah,-0.04999999999999999
alat kelamin,-0.3
alat negara,-0.3
alat vital,-0.2
alay,-0.4
albumnya,-0.2
alergi,-0.3075
aliansi,-0.15000000000000002
alir udara,-0.1
aliran udara,-0.1
alkisah,-0.4
alku,-0.5
alobar,-0.4
alone,-0.3
alpa,-0.14999999999999997
alur,-0.4
amah,-0.5
aman,-0.13999999999999999
amandel,-0.5
amarah,-0.5
amat sangat,-0.3
amatin,-0.2
ambai,-0.5
ambalan,-0.4
ambau,-0.5
ambigu,-0.3
ambiguitas,-0.5
ambil,-0.5
ambivalen,-0.315
amblas,-0.3
ambles,-0.4
ambruk,-0.5
amburadul,-0.5
ametis,-0.4
amin,0.0
amit,-0.4
amor,-0.1
amoral,-0.3
ampai,-0.4
ampas,-0.3
ampas kopi,-0.2
ampel,-0.3
ampela,-0.5
ampu,-0.5
ampun,-0.09999999999999999
ampuni,-0.2
amtenar,-0.3
amuk,-0.2
ana,-0.04999999999999999
anak,-0.3
anak air,-0.4
anak bawang,-0.2
anak bedil,-0.3
anak bukit,-0.4
anak cucu,-0.3
anak dara,-0.375
anak penak,-0.3
anak pinak,-0.3
anak-anakan,-0.3
analitis,-0.4
anarki,-0.4
ancai,-0.5
ancam,-0.4
ancaman,-0.4
anda,-0.1
andeka,-0.3
aneh,-0.02999999999999997
anekdot,-0.1
anggai,-0.3
anggal,-0.06
anggara,-0.4
anggaran,-0.25
anggota,-0.3
anggur,-0.4
angguran,-0.4
angin lalu,-0.5
angit,-0.5
angkara,0.0
angkat tangan,-0.5
angkat topi,-0.4
angkatan,-0.5
angkot,-0.1
angkup,-0.3
anglo,-0.4
aniaya,-0.4
anjak,-0.3
anjay,-0.3
anjeng,-0.5
anjer,-0.3
anjg,-0.5
anjing,-0.4
anjing tanah,-0.5
anjir,-0.09999999999999999
anjis,-0.1
anjlok,-0.4
anjungan,-0.3
anjur,-0.2
anjuran,-0.2
anom,-0.4
anonim,-0.25
antagonisme,-0.4
antap,-0.5
antek,-0.3
antem,-0.4
anti,-0.2
antipati,-0.04999999999999999
antitesis,-0.3
antuk,-0.4
antun,-0.3
antusias,-0.04999999999999999
anu,-0.3
anut,-0.04999999999999999
anyir,-0.4
apa,-0.3
apaan,-0.4
apalah,-0.2
apanya,-0.3
aparat,-0.3
aparatus,-0.3
apasi,-0.3
apasih,-0.4
apatis,-0.2
apek,-0.4
apes,-0.5
api-api,-0.4
apit,-0.3
apiun,-0.3
apkir,-0.4
apkiran,-0.4
aplikasi,-0.4
arah,-0.15000000000000002
arahan,-0.3
aram,-0.3
arbitrer,-0.5
arca,-0.3
argumen,-0.4
arik,-0.3
armada,-0.5
arsip,-0.5
artik,-0.375
artikel,-0.4
aru,-0.5
aru-aru,-0.4
arus udara,-0.4
asah,-0.3
asak,-0.3
asal,-0.14
asal usul,-0.4
asal-asalan,-0.5
asam,-0.225
asan tak asan,-0.5
asfal,-0.5
asid,-0.4075
asing,-0.2
asli,-0.02749999999999997
asmara,-0.1
asor,-0.5
asosiasi,-0.05000000000000002
aspek,-0.3
aspiran,-0.5
astaga,-0.05000000000000002
astagfirullah,-0.05000000000000002
astagfirulloh,-0.4
astaghfirullah,-0.3
asumsi,-0.3
asusila,-0.5
aswad,-0.325
atas,-0.4
ati,-0.1
atresia,-0.3
atribut,-0.3
atuh,-0.1
atur,0.0
atut,-0.2
aur,-0.3
aurat,-0.2
aus,-0.5
auta,-0.4
awa-,-0.3
awal,0.0
awan kelabu,-0.3
awi,-0.3
awur,-0.4
awut,-0.4
awut-awutan,-0.5
ayal,-0.3
ayam kampung,-0.375
ayat,-0.4
ayun,-0.09999999999999999
ayunan,0.0
azab,-0.4225
azimat,-0.15000000000000002
bab,-0.4
babak,-0.4
babar,-0.1
babi,-0.4
babil,-0.35750000000000004
bablas,-0.5
babu,-0.5
bacar mulut,-0.4
bacok,-0.4
bacot,-0.05000000000000002
bacul,-0.25
bad,-0.4
badai,-0.4
badan,-0.3
badmood,-0.4
badung,-0.4
bagaimana pun,-0.2
bagal,-0.3
bagi,-0.1
bagian,-0.4
baginda,-0.04999999999999999
bah,-0.3
bahala,-0.3
bahan,-0.3
bahasa,-0.4
bahaya,-0.4375
bahlul,-0.5
bahtera,-0.3
baiat,-0.3
bait,-0.3
bajak,-0.4
bajing,-0.2
bakal,-0.375
bakar,-0.09999999999999999
bakhil,-0.095
baki,-0.185
baktau,-0.5
baku,-0.09999999999999999
bala,-0.5
bala bencana,-0.5
balai,-0.3
balairung,-0.3
balas,-0.09999999999999999
balela,-0.4
bales,-0.3
balesnya,-0.2
balik,-0.3
balik adab,-0.155
balik akal,-0.4
balik gagang,-0.5
balkon,-0.3
balung,-0.4
balur,-0.4
bambu,-0.3
bambung,-0.3375
banal,-0.3
banat,-0.4
bancang,-0.5
banci,-0.125
bandang,-0.4
bandar,-0.4
bandel,-0.4075
banding,0.0
bandingan,-0.125
bandit,-0.5
bando,-0.4
bandung,-0.1
bangan,-0.04999999999999999
bangang,-0.3375
bangbung,-0.4
bangett,-0.2
bangkai,-0.4
bangkang,-0.4
bangkit,-0.1
bangkot,-0.4
bangkrut,-0.1875
bangle,-0.4
bangpak,-0.27999999999999997
bangsai,-0.375
bangsal,-0.3
bangsat,-0.47
bangsawan,-0.04999999999999999
bangun,-0.185
banjir,0.0
bantah,-0.3
bantai,-0.5
bantar,-0.4
banteng,-0.3
bantet,-0.3
banting,-0.09999999999999999
bantu,-0.05000000000000002
banyak bicara,-0.3
banyak cakap,-0.4
banyak cincong,-0.4
banyak mulut,-0.4
banyak omong,-0.4
banyol,-0.3
baper,-0.15000000000000002
baperan,-0.4
bapet,-0.4
bara,-0.04999999999999999
baran,-0.375
barbar,-0.5
bareng,0.0
baret,-0.3
barkas,-0.5
barua,-0.5
barut,-0.3
barzakh,-0.4
basah kuyup,-0.44
basi,-0.3125
baskom,-0.4
basmi,-0.5
bastar,-0.2
batal,-0.4075
batalion,-0.5
batang,-0.4
batas,-0.3
batas (waktu),0.0
batas waktu,-0.3
batel,-0.4
baterai,-0.3
batil,-0.42000000000000004
batu,0.0
batu berdahak,-0.4
batu loncatan,-0.3
batuk,-0.4
batuk darah,-0.4
batuk kecil,-0.4
batuk kering,-0.3
batuk lelah,-0.4
batuk-batuk,-0.4
batung-batung,-0.4
bau,-0.4
bau kencur,-0.4
bau tanah,-0.15000000000000002
bawa,-0.09999999999999999
bawah,-0.25
bawahan,-0.375
bawain,-0.3
bawel,-0.4
baya,-0.4
bayar,-0.09999999999999999
bayi,-0.3
bayu,-0.4
bebal,-0.16749999999999998
beban,-0.5
bebas,-0.2775
bebat,-0.3
bebel,-0.5
becak,-0.5
becek,-0.4
beda,-0.2
bedah,0.0
bedebah,-0.25
bedegong,-0.35750000000000004
bedel,-0.4
bedeng,-0.3
bedol,-0.4
begadang,-0.3
begah,-0.2
begak,-0.3
begal,-0.5
begana-begini,-0.4
begini,-0.1
beginian,-0.3
begitu saja,-0.2
bego,-0.375
begu,-0.4
beguk,-0.4
begundal,-0.3
bejat,-0.4225
bekap,-0.3
bekicot,-0.4
beku,-0.315
belah,-0.5
belah ketupat,-0.4
belai,-0.4
belaian,-0.3
belain,-0.2
belaka,-0.27
belam,-0.3
belang,-0.5
belanja,-0.04999999999999999
belas,-0.04999999999999999
belati,-0.4
belembang,-0.5
belendung,-0.3
belenggu,-0.3
beleter,-0.4
beli,-0.04999999999999999
belia,-0.2
beliin,-0.1
belikan,-0.1
beling,-0.1
belingsat,-0.4
belinjo,-0.3
belis,-0.4
belit,-0.3
beloh,-0.4375
