word,big
(hujan) gerimis,0.2
(warna) dadu,0.6
Ahad,0.6
Sri paduka,0.8
Yang Dipertuan,0.8
aamiin,0.4
ab,0.6
aba,0.4
abadi,0.4
abah,0.6
abi,0.4
abid,0.6
absolut,0.56
absorpsi,0.3
absurd,0.41
abu,0.3
acuh tak acuh,0.4
adab,0.6
adakala,0.6
adaptasi,0.4
adek,0.1
adi,0.4
adib,0.63
adika,1.0
adil,0.43333333333333335
adiluhung,0.6
administrator,0.6
adoptif,0.5
aduhai,0.8
adzan,0.6
aerob,0.5
aerobik,0.5
afair,0.6
afdal,0.74
afeksi,0.2
afiat,0.75
afirmasi,0.6
afirmatif,0.5
afrodisiak,0.63
agam,0.625
agresif,0.56
agung,0.53
ahli,0.71
ahli agama,0.2
aja,0.2
ajak,0.2
ajek,0.75
aji,0.4
ajojing,0.6
ajudan,0.8
akal,0.63
akas,0.2
akhlak,0.8
akidah,0.3
akil,0.8
akmal,0.63
akomodasi,0.6
akrab,0.55
akses,0.4
aksi,0.4
aktivasi,0.4
aktual,0.555
aku,0.2
akuan,0.3
akur,0.5
akurat,0.5
alaikum,0.4
alam,0.2
alangkah,0.4
alap,0.75
album,0.3
alhamdulilah,0.6
alhamdulillah,1.0
alih generasi,0.8
alim,0.5449999999999999
alim arif,0.8
allah,1.0
alot,0.2
amal,0.65
amalan,0.8
amanah,0.815
amat,0.775
ambilan,0.6
ambisi,0.65
ambisius,0.5
amerta,0.6
amin,0.3
ampang,0.63
ampas (kopi),0.3
amplop,0.6
ampuh,0.5
anak Adam,0.6
anak didik,0.6
anak sasian,0.6
anak sekolah,0.6
anakan,1.0
analisis,0.8
andai,0.4
andal,0.5
andil,0.8
andini,0.4
andur,0.6
aneka,0.6
angan,0.6
angan-angan,0.8
anggak,0.5
anggapan,0.6
anggar,0.6
angguk,0.2
anggun,0.42
angin sepoi-sepoi,0.63
angka ganjil,0.5
angkara,0.44
angkat,0.6
angkuh,0.44
angkut,0.2
angpau,0.8
angsur,0.2
animo,0.8
anjung,0.8
ansar,0.8
antagonistis,0.5
anteng,0.8
antiseptik,0.56
antisipasi,0.3
antologi,0.2
antusiasme,0.6
anugerah,0.3
anyar,0.8
apas,0.5
api,0.4
apik,0.88
arabika,0.4
arak,0.4
arif,0.72
arifin,0.63
aristokrat,0.38
arketipe,0.6
arsitektur,0.4
arti,0.2
artian,0.6
artifisial,0.6
artis,0.4
artistik,0.4
arung,0.2
asa,0.3
asah asih asuh,0.4
asas,0.75
asasi,0.3666666666666667
aseptik,0.63
asi,0.5
asian,0.81
asih,0.45
asik,0.8
asket,0.4
asketisme,0.4
asoi,0.6
asrama,0.6
asri,0.5166666666666667
assalamualaikum,0.6
asuh,0.3
asyik,0.63
atasan,0.635
atensi,0.4
atom,0.6
atraktif,0.56
atur,0.4
autentik,0.615
awal,0.2
awang-gemawang,0.5
awas,0.47666666666666674
awat,1.0
awet,0.4
aya,0.6
ayahanda,0.2
ayo,0.8
ayu,0.75
ayunan,0.3
azamat,0.8
aziz,0.4
babaran,0.6
babe,0.6
baby,0.4
baca,0.3
bagak,1.0
bagas,1.0
bagus,0.38000000000000006
bagusan,0.4
bahadur,1.0
bahaduri,0.8
bahagia,0.4466666666666667
bahas,0.4
bahasan,0.2
baik,0.45999999999999996
baik hati,0.53
baik-baik,0.3
baiklah,0.4
baiknya,0.2
bain,0.3
bajik,0.8
baju,0.4
bakat,0.4
bakh,0.8400000000000001
bakir,0.8
baksis,0.4
bakti,0.8
balasan,0.6
banding,0.3
banget,0.2
bangga,0.675
bangkit selera,0.6
banjir,0.4
bantah-bantah,1.0
bantalan,0.6
bantat,0.63
bantuin,0.6
banyak,0.3866666666666667
banyak akal,0.6
banyaknya,0.6
banyolan,0.6
bapa,0.6
bapanda,0.6
bapang,0.6
bareng,0.3
baring,0.4
baru,0.34
batas (waktu),0.3
batasan,0.6
batu,0.2
bausuku,0.6
bawaan,0.6
bayan,0.5
bayang,0.4
bayang-bayang,0.6
bayangan,0.6
bayangkara,0.6
beber,0.3
bebodoran,0.4
becus,0.31666666666666665
bedah,0.3
bedegap,0.3
bekal,0.6
bekas,0.4
belagu,0.8
belajar,0.6
belok,0.425
belom,0.1
belukar,0.6
benak kepala,0.3
benang raja,0.8
benar,0.33
benar-benar,0.42000000000000004
bener,0.3
beneran,0.6
bentuk,0.8
bentukan,0.6
bentur,0.2
bepergian,0.2
berada,0.775
beradab,0.68
berahi,0.5433333333333333
beraja,0.5
berakal,0.65
berakibat,0.6
berakidah,0.8
beralas,0.8
beranak,0.6
beranak-pinak,0.4
berandang,0.75
berani,0.44
berapi-api,0.63
beraras,0.8
berarti,0.2
berat mulut,0.75
berat sebelah,0.63
beraturan,0.8
berawas-awas,0.69
berbagai,0.6
berbagai macam,0.6
berbagi,0.4
berbahagia,0.56
berbahasa,0.56
berbakat,0.45999999999999996
berbalah,0.63
berbarik-barik,0.5
berbenak,0.6
berbentuk,0.6
berbetulan,0.6
berbobot,0.4
berbuah,0.4
berbudi pekerti yang baik,0.6
berbunga,0.6
berbusana,0.8
bercahaya,0.8
bercermin,0.8
bercita rasa,0.6
berdagang,0.6
berdandan,0.8
berdarah,0.8
berdaulat,0.44
berdaya,0.55
berdaya guna,0.8
berdendang,0.8
berderajat,0.8
berdiam,0.4
berdisiplin,0.8
berdoa,0.4
berdua,0.2
berduit,0.8
beredar,0.4
berembuk,0.6
berfaedah,0.76
bergairah,0.3
bergamat,0.8
bergantung,0.4
bergas,0.5
bergaul,0.345
bergaya,0.5
bergeming,0.2
bergengsi,0.8
bergiat,0.56
bergigi,0.6
bergolongan,0.8
bergoyang,0.5
berguna,0.86
bergurau,0.44
berguru,0.6
berhajat,0.4
berharap,0.4
berharapan,0.63
berharga,0.5800000000000001
berharta,0.775
berhasil,0.59
berhasrat,0.615
berhati-hati,0.41
berhikmah,0.4
berhormat,0.75
beri,0.2
beribadat,0.4
berida,0.5
berikhtiar,0.5800000000000001
beriktikad,0.4
berilmu,0.7150000000000001
beriman,0.6
berimbas,0.6
berimbuh,0.2
beringat,0.375
beringat-ingat,0.5
beringin,0.63
berirama,0.4
beristirahat,0.3
berjaga-jaga,0.41500000000000004
berjangkit,0.63
berjasa,0.8
berjaya,0.635
berjenis-jenis,0.6
berjihad,0.3
berjilbab,0.6
berjiwa,0.6
berjunjungan,0.8
berkabilan,0.75
berkaca,0.8
berkah,0.8
berkait,0.6
berkaitan,0.6
berkandung,1.0
berkarya,0.6
berkat,0.2
berkategori,0.8
berkawal,0.8
berkecambah,0.6
berkecukupan,0.8
berkedudukan,0.8
berkegiatan,0.8
berkeinginan,0.425
berkekuatan,1.0
berkelebihan,0.69
berkemampuan,0.69
berkenaan,0.7150000000000001
berkenan,0.4
berkepercayaan,0.8
berkeras hati,0.4
berkesan,0.5
berkesesuaian,0.6
berketurunan,0.4
berkewajiban,0.88
berkeyakinan,0.6
berkhasiat,0.8
berkilat,0.5
berkilau,0.5
berkilau-kilauan,0.63
berkinte,0.6
berkobar-kobar,0.4
berkualitas,0.7150000000000001
berkuasa,0.4
berkukuh,0.4
berlaba,0.8
berlagak,0.48500000000000004
berlagu,0.7150000000000001
berlangganan,0.4
berlanglang,0.8
berlarasan,0.6
berlatih,0.8
berlevel,0.8
berlezat,0.4
berlibat,0.6
berlilit,0.6
berlimpah,0.2
berloncatan,0.5
bermacam-macam,0.6
bermakna,0.8
bermanfaat,0.85
bermartabat,0.8
bermaslahat,0.4
bermenung,0.5
bermohon,0.3
bermohon diri,0.4
bermutu,0.41
bernafsu,0.615
bernama,0.8
bernapaskan,0.6
bernilai,0.49
bernyali,0.4
bernyali besar,0.3
bernyanyi,0.4
bernyawa,0.56
