word,average
(hujan) gerimis,0.1
(warna) dadu,0.3
Ahad,0.3
Sri paduka,0.4
Yang Dipertuan,0.4
aamiin,0.2
ab,0.3
aba,0.2
abadi,0.06
abah,0.3
abi,0.2
abid,0.3
absolut,0.25
absorpsi,0.09999999999999999
absurd,0.1383333333333333
abu,0.04999999999999999
acuh tak acuh,0.05000000000000002
adab,0.3
adakala,0.3
adaptasi,0.2
adi,0.2
adib,0.315
adika,0.5
adil,0.10333333333333335
adiluhung,0.3
administrator,0.3
adoptif,0.25
aduhai,0.4
adzan,0.3
aerob,0.25
aerobik,0.25
afair,0.3
afdal,0.37
afiat,0.375
afirmasi,0.3
afirmatif,0.25
afrodisiak,0.315
agam,0.235
agresif,0.28
agung,0.19
ahli,0.355
ahli agama,0.1
aja,0.1
ajak,0.1
ajek,0.31
aji,0.05000000000000002
ajojing,0.3
ajudan,0.4
akal,0.315
akhlak,0.4
akil,0.4
akmal,0.25
akomodasi,0.3
akrab,0.275
akses,0.2
aksi,0.2
aktivasi,0.2
aktual,0.21500000000000002
aku,0.05
akur,0.25
akurat,0.25
alaikum,0.2
alam,0.05
alangkah,0.1
alap,0.375
album,0.04999999999999999
alhamdulilah,0.3
alhamdulillah,0.5
alih generasi,0.4
alim,0.27249999999999996
alim arif,0.4
allah,0.5
alot,0.1
amal,0.2625
amalan,0.4
amanah,0.4075
amat,0.3875
ambilan,0.3
ambisi,0.2925
ambisius,0.185
amerta,0.3
ampang,0.19
ampas (kopi),0.04999999999999999
amplop,0.3
ampuh,0.25
anak Adam,0.3
anak didik,0.3
anak sasian,0.3
anak sekolah,0.3
anakan,0.5
analisis,0.4
andai,0.2
andal,0.21666666666666667
andil,0.4
andini,0.2
andur,0.3
aneka,0.3
angan,0.3
angan-angan,0.4
anggak,0.06
anggapan,0.3
anggar,0.3
angguk,0.1
anggun,0.12499999999999999
angin sepoi-sepoi,0.19
angka ganjil,0.06
angkat,0.3
angkuh,0.04999999999999999
angkut,0.1
angpau,0.4
angsur,0.1
animo,0.4
anjung,0.4
ansar,0.4
antagonistis,0.185
anteng,0.4
antiseptik,0.09000000000000002
antisipasi,0.09999999999999999
antologi,0.1
antusiasme,0.3
anugerah,0.09999999999999999
anyar,0.4
apas,0.15000000000000002
api,0.1
apik,0.44
arabika,0.2
arak,0.2
arif,0.36
arifin,0.315
aristokrat,0.065
arketipe,0.3
arsitektur,0.2
arti,0.1
artian,0.3
artifisial,0.3
artis,0.2
artistik,0.1
arung,0.1
asa,0.04999999999999999
asah asih asuh,0.2
asas,0.25
asasi,0.08333333333333336
aseptik,0.315
asi,0.06
asian,0.405
asih,0.19166666666666668
asik,0.4
asket,0.2
asketisme,0.2
asoi,0.3
asrama,0.3
asri,0.15833333333333338
assalamualaikum,0.3
asuh,0.04999999999999999
asyik,0.25
atasan,0.3175
atensi,0.2
atom,0.3
atraktif,0.21333333333333337
autentik,0.3075
awang-gemawang,0.25
awas,0.13833333333333336
awat,0.5
awet,0.04250000000000001
aya,0.3
ayahanda,0.1
ayo,0.4
ayu,0.375
azamat,0.4
aziz,0.2
babaran,0.3
babe,0.3
baby,0.2
baca,0.09999999999999999
bagak,0.5
bagas,0.5
bagus,0.0566666666666667
bagusan,0.2
bahadur,0.5
bahaduri,0.4
bahagia,0.15500000000000003
bahas,0.2
bahasan,0.1
baik,0.19666666666666666
baik hati,0.225
baik-baik,0.09999999999999999
baiklah,0.2
baiknya,0.1
bain,0.04999999999999999
bajik,0.4
baju,0.2
bakat,0.15000000000000002
bakh,0.42000000000000004
bakir,0.4
baksis,0.2
bakti,0.4
balasan,0.3
banget,0.1
bangga,0.3375
bangkit selera,0.3
bantah-bantah,0.5
bantalan,0.3
bantat,0.315
bantuin,0.3
banyak,0.051666666666666694
banyak akal,0.3
banyaknya,0.3
banyolan,0.3
bapa,0.3
bapanda,0.3
bapang,0.3
baring,0.2
baru,0.015000000000000013
batasan,0.3
bausuku,0.3
bawaan,0.3
bayan,0.25
bayang,0.2
bayang-bayang,0.3
bayangan,0.3
bayangkara,0.3
beber,0.04999999999999999
bebodoran,0.2
becus,0.024999999999999994
bedegap,0.04999999999999999
bekal,0.3
bekas,0.05000000000000002
belagu,0.4
belajar,0.3
belok,0.05499999999999999
belukar,0.3
benang raja,0.4
benar,0.021666666666666667
benar-benar,0.125
bener,0.09999999999999999
beneran,0.3
bentuk,0.4
bentukan,0.3
bentur,0.1
bepergian,0.1
berada,0.3875
beradab,0.34
berahi,0.10500000000000001
beraja,0.25
berakal,0.2925
berakibat,0.3
berakidah,0.4
beralas,0.4
beranak,0.3
beranak-pinak,0.2
berandang,0.375
berani,0.11
berapi-api,0.315
beraras,0.4
berarti,0.1
berat mulut,0.375
berat sebelah,0.315
beraturan,0.4
berawas-awas,0.345
berbagai,0.3
berbagai macam,0.3
berbagi,0.2
berbahagia,0.2466666666666667
berbahasa,0.28
berbakat,0.19666666666666666
berbalah,0.25
berbarik-barik,0.185
berbenak,0.3
berbentuk,0.3
berbetulan,0.3
berbobot,0.2
berbuah,0.2
berbudi pekerti yang baik,0.3
berbunga,0.3
berbusana,0.4
bercahaya,0.4
bercermin,0.4
bercita rasa,0.3
berdagang,0.3
berdandan,0.4
berdarah,0.4
berdaulat,0.07
berdaya,0.24250000000000002
berdaya guna,0.4
berdendang,0.4
berderajat,0.4
berdiam,0.05000000000000002
berdisiplin,0.4
berdoa,0.05000000000000002
berdua,0.1
berduit,0.4
beredar,0.2
berembuk,0.3
berfaedah,0.38
bergamat,0.4
bergantung,0.012500000000000011
bergas,0.15
bergaul,0.007500000000000007
bergaya,0.23
bergeming,0.1
bergengsi,0.4
bergiat,0.25
bergigi,0.3
bergolongan,0.4
bergoyang,0.25
berguna,0.43
bergurau,0.01999999999999999
berguru,0.3
berhajat,0.2
berharap,0.05000000000000002
berharapan,0.25
berharga,0.29000000000000004
berharta,0.3875
berhasil,0.295
berhasrat,0.245
berhati-hati,0.1383333333333333
berhikmah,0.2
berhormat,0.375
beribadat,0.05000000000000002
berida,0.25
berikhtiar,0.275
beriktikad,0.2
berilmu,0.35750000000000004
beriman,0.3
berimbas,0.3
berimbuh,0.1
beringat,0.037500000000000006
beringat-ingat,0.25
beringin,0.19
berirama,0.07500000000000001
beristirahat,0.04999999999999999
berjaga-jaga,0.20750000000000002
berjangkit,0.315
berjasa,0.4
berjaya,0.2775
berjenis-jenis,0.3
berjilbab,0.3
berjiwa,0.3
berjunjungan,0.4
berkabilan,0.375
berkaca,0.4
berkah,0.4
berkait,0.3
berkaitan,0.3
berkandung,0.5
berkarya,0.3
berkat,0.1
berkategori,0.4
berkawal,0.4
berkecambah,0.3
berkecukupan,0.4
berkedudukan,0.4
berkegiatan,0.4
berkeinginan,0.0875
berkekuatan,0.5
berkelebihan,0.345
berkemampuan,0.345
berkenaan,0.35750000000000004
berkenan,0.2
berkepercayaan,0.4
berkeras hati,0.05000000000000002
berkesan,0.25
berkesesuaian,0.3
berketurunan,0.2
berkewajiban,0.44
berkeyakinan,0.3
berkhasiat,0.4
berkilat,0.25
berkilau,0.25
berkilau-kilauan,0.25
berkinte,0.3
berkobar-kobar,0.1
berkualitas,0.35750000000000004
berkuasa,0.07500000000000001
berkukuh,0.2
berlaba,0.4
berlagak,0.11750000000000002
berlagu,0.35750000000000004
berlangganan,0.2
berlanglang,0.4
berlarasan,0.3
berlatih,0.4
berlevel,0.4
berlezat,0.2
berlibat,0.3
berlilit,0.3
berlimpah,0.1
berloncatan,0.25
bermacam-macam,0.3
bermakna,0.4
bermanfaat,0.425
bermartabat,0.4
bermaslahat,0.2
bermenung,0.25
bermohon,0.04999999999999999
bermohon diri,0.2
bermutu,0.17166666666666666
bernafsu,0.3075
bernama,0.4
