word,small
abis,0.1
absen,0.065
acak-acakan,0.03
ada,0.31
aduh,0.1
afiliasi,0.2
agak-agak,0.25
aib,0.1
ajakan,0.1
ajal,0.3
ajar,0.1
akar,0.2
akibat,0.1
aktif,0.26
alamiah,0.2
aliansi,0.1
alpa,0.155
aman,0.19
amor,0.2
ampun,0.1
amuk,0.1
ana,0.2
aneh,0.35000000000000003
anekdot,0.2
anggal,0.38
anggaran,0.25
anjir,0.1
antipati,0.2
antusias,0.2
anut,0.2
apatis,0.1
arah,0.1
asal,0.36
asing,0.13
asli,0.29000000000000004
asmara,0.2
asosiasi,0.3
astaga,0.3
astagfirullah,0.3
ayun,0.1
azab,0.03
azimat,0.1
bacot,0.3
bagi,0.2
baginda,0.2
bajing,0.1
bakar,0.1
bakhil,0.25
baki,0.13
baku,0.1
balas,0.1
balik adab,0.315
banci,0.25
bandingan,0.25
bangan,0.2
bangkit,0.2
bangkrut,0.25
bangpak,0.13
bangsawan,0.2
bangun,0.13
banting,0.1
bantu,0.3
baper,0.1
bara,0.2
basi,0.125
bau tanah,0.1
bawa,0.1
bayar,0.1
bebal,0.155
bebas,0.085
bejat,0.03
belanja,0.2
belas,0.2
beli,0.2
belot,0.155
benak,0.13
benci,0.4
bengis,0.14
bengkeng,0.08
bengkok,0.125
bengkong,0.25
bengok,0.03
benguk,0.065
bentang,0.1
beracun,0.13
berakar,0.2
beranda,0.1
berang,0.125
berantakan,0.065
berat,0.13
berbahaya,0.02
berbantah,0.315
berbelit-belit,0.165
berbisa,0.095
bercamuk,0.38
bercanggah,0.25
bercokol,0.3
berdansa,0.3
berdenyut,0.13333333333333333
berdukacita,0.13
berfoya-foya,0.38
bergelanggang,0.2
bergelombang,0.13
bergelora,0.13333333333333333
bergema,0.1
bergetar,0.1
bergolak,0.095
berhati pilu,0.13
berjaga,0.13
berjatuhan,0.1
berjerih,0.13
berkarat,0.25
berkeluarga,0.2
berkuat,0.3
berlabuh,0.3
berlainan,0.125
berlawanan,0.25
berlebih,0.06666666666666667
berlebih-lebihan,0.25
berlebihan,0.19
bermoral,0.375
bermukim,0.2
bernas,0.2
beroperasi,0.1
berpada-pada,0.25
berperang,0.3
berprasangka,0.1
berproses,0.1
berpura-pura,0.125
bersalah,0.105
bersangkut,0.1
bersedih,0.065
berselerak,0.38
bersendu,0.13
berserah,0.2
bersesal,0.1
bersia-sia,0.13
bersikukuh,0.1
bersila,0.2
bersiteguh,0.1
bersusila,0.28
bertanding,0.2
bertara,0.25
bertentangan,0.125
bertingkat,0.1
bertukar akal,0.1
bertunangan,0.3
berumah tangga,0.2
beterbangan,0.2
biang keladi,0.3
biar,0.1
biarkan,0.1
biasa,0.24
bijaksana,0.26
bimbang,0.03
binasa,0.19999999999999998
bisa,0.13
bisu,0.15
bobot,0.2
bodoh,0.21
bogel,0.16
bolak,0.13
boleh jadi,0.25
bombastis,0.2
bongkak,0.155
bongkok,0.13
bongok,0.155
bopong,0.1
brengsek,0.065
buah,0.2
buatan,0.32999999999999996
buka,0.19999999999999998
bulan gelap,0.13
bumpet,0.13
bunda,0.3
bungkam,0.1
bureng,0.25
buru,0.1
buru-buru,0.1
buruk,0.04
busuk,0.025
cabul,0.115
cacat,0.08
cadang,0.2
canggung,0.075
capai,0.4
cegak,0.1
cekat,0.2
celaka,0.035
cemburu,0.28
cemplung,0.1
cengang,0.1
cengkeram,0.1
cercah,0.2
cerewet,0.125
cerita,0.2
cerita anak,0.2
cetek,0.125
colok,0.2
congkak,0.25
copot,0.1
cuai,0.25
cuat,0.2
cuek,0.1
cukup,0.095
cupai,0.25
cupet,0.065
curang,0.125
curhat,0.2
curiga,0.06666666666666667
daftar,0.1
dahsyat,0.14
daif,0.03
dakar,0.25
dangkal,0.16
darat,0.1
darurat,0.19333333333333336
daya upaya,0.3
debar,0.2
degub,0.1
dekat,0.1
delinkuen,0.13
demam,0.21
dengki,0.19
dependen,0.3
derana,0.31
desak,0.1
dialog,0.1
diam,0.06666666666666667
diem,0.2
dingin,0.29333333333333333
dobrak,0.3
dua,0.1
duka,0.4
dukacita,0.02
dungu,0.155
dunia,0.1
duniawi,0.13
durjana,0.11
dursila,0.065
emosi,0.3
empuk,0.3
enap,0.13
engah,0.1
enggan,0.02
erang,0.1
esok,0.1
fanatik,0.38
