word,big
abadi,-0.56
abnormal,-0.75
absen,-0.63
absolut,0.56
absurd,0.63
acak-acakan,-0.69
ada,-0.5
adib,0.63
adil,0.5
adoptif,0.5
aerob,0.5
aerobik,0.5
afdal,0.88
afiat,0.75
afirmatif,0.5
afrodisiak,0.63
agak-agak,-0.75
agam,-0.31
agresif,0.56
agung,0.53
ahli,0.71
ahmak,-0.75
air masin,-0.75
ajek,0.75
akademik,-0.63
akal,0.63
akhir,-0.63
akmal,0.63
akrab,0.5
aktif,0.38
aktual,0.31
akur,0.5
akurat,0.5
akut,-0.5
alah,-0.63
alap,0.75
alergi,-0.63
alim,0.69
alpa,0.31
amal,0.5
aman,-0.47
amanah,0.63
amat,0.75
ambisi,0.5
ambisius,0.5
ambivalen,-0.63
ampang,0.63
ampuh,0.5
anak dara,-0.75
andal,0.5
aneh,-0.43
anggak,0.5
anggal,-0.5
anggaran,-0.75
anggun,0.42
angin sepoi-sepoi,0.63
angka ganjil,0.5
angkara,0.44
angkuh,0.44
anonim,-0.5
antagonistis,0.5
antiseptik,0.56
apas,0.5
apik,0.88
arif,0.64
arifin,0.63
aristokrat,0.38
artik,-0.75
asal,-0.64
asam,-0.5
asas,0.75
asasi,0.5
aseptik,0.63
asi,0.5
asian,0.81
asid,-0.63
asih,0.75
asing,-0.53
asli,-0.69
asri,0.75
aswad,-0.5
asyik,0.63
atasan,0.67
atraktif,0.88
autentik,0.63
awang-gemawang,0.5
awas,0.63
awet,-0.63
ayam kampung,-0.75
ayu,0.75
azab,-0.75
babil,-0.63
bacul,-0.5
bagus,0.74
bahagia,0.54
bahaya,-0.75
baik,0.78
baik hati,0.53
bakal,-0.75
bakh,0.88
bakhil,-0.44
baki,-0.5
balik adab,0.63
bambung,-0.75
banci,0.5
bandel,-0.63
bandingan,-0.5
bangang,-0.75
bangga,0.75
bangkrut,0.5
bangpak,-0.69
bangsai,-0.75
bangsat,-0.88
bangun,-0.5
bantat,0.63
banyak,0.56
baran,-0.75
baru,0.34
basah kuyup,-0.88
basi,-0.5
batal,-0.63
batil,-0.88
bawah,-0.5
bawahan,-0.75
bayan,0.5
bebal,-0.38
bebas,-0.48
becus,0.75
bedebah,-0.5
bedegong,-0.63
bego,-0.75
bejat,-0.75
beku,-0.63
belaka,-0.88
beloh,-0.75
belok,-0.63
belongkotan,-0.75
belot,0.31
benak,-0.5
benar,0.59
benar-benar,0.44
bengah,-0.75
bengal,-0.63
bengis,-0.5
bengkak,-0.75
bengkeng,-0.63
bengkok,-0.63
bengkong,-0.63
bengok,-0.69
benguk,-0.81
benyai,-0.5
benyek,-0.5
