word,average
abadi,-0.28
abnormal,-0.375
absen,-0.25
acak-acakan,-0.31499999999999995
ada,-0.185
agak-agak,-0.25
agam,-0.03
ahmak,-0.375
air masin,-0.375
akademik,-0.315
akhir,-0.315
akut,-0.25
alah,-0.315
alergi,-0.315
alpa,0.0
aman,-0.13999999999999999
ambivalen,-0.315
anak dara,-0.375
aneh,-0.09
anggal,-0.06
anggaran,-0.25
angkara,0.0
anonim,-0.25
artik,-0.375
asal,-0.14
asam,-0.25
asid,-0.315
asing,-0.2
asli,-0.255
aswad,-0.25
awet,-0.315
ayam kampung,-0.375
azab,-0.345
babil,-0.315
bacul,-0.25
bahaya,-0.375
bakal,-0.375
bakhil,-0.095
baki,-0.185
bambung,-0.375
bandel,-0.315
bandingan,-0.125
bangang,-0.375
bangpak,-0.27999999999999997
bangsai,-0.375
bangsat,-0.44
bangun,-0.185
baran,-0.375
basah kuyup,-0.44
basi,-0.125
batal,-0.315
batil,-0.44
bawah,-0.25
bawahan,-0.375
bebal,-0.035
bebas,-0.15499999999999997
bedebah,-0.25
bedegong,-0.315
bego,-0.375
bejat,-0.345
beku,-0.315
belaka,-0.44
beloh,-0.375
belok,-0.19
belongkotan,-0.375
belot,0.0
benak,-0.185
bengah,-0.375
bengal,-0.315
bengis,-0.10999999999999999
bengkak,-0.375
bengkeng,-0.275
bengkok,-0.19
bengkong,-0.19
bengok,-0.31499999999999995
benguk,-0.34
benyai,-0.25
benyek,-0.25
beracun,-0.25
berang,-0.125
berantakan,-0.25
berasap,-0.25
berat,-0.21500000000000002
berat otak,-0.44
berawan,-0.375
berbahaya,-0.305
berbau,-0.375
berbelit-belit,-0.024999999999999994
berbisa,-0.22
bercampur baur,-0.375
bercamuk,-0.06
bercanggah,-0.03
berdenyut,-0.375
berdikari,-0.315
berdosa,-0.375
berduka,-0.44
berdukacita,-0.31
berfalsafah,-0.25
berfoya-foya,-0.125
bergantung,-0.375
bergelandangan,-0.375
bergelombang,-0.25
bergelora,-0.355
bergenang,-0.315
bergerak,-0.375
bergolak,-0.22
berhati pilu,-0.31
berirama,-0.25
berjaga,-0.185
berjerih,-0.185
berjumbai,-0.375
berkabut,-0.25
berkeberatan,-0.375
berkecuali,-0.375
berkeinginan,-0.125
berkeras,-0.345
berketakutan,-0.315
berkuasa,-0.25
berkurang,-0.25
berkutu,-0.315
berlagak,-0.16499999999999998
berlainan,-0.07500000000000001
berlebih,-0.25
berlebih-lebihan,-0.125
berlebihan,-0.155
berlumar,-0.375
berlumpur,-0.44
bermalas-malas,-0.315
bermegah,-0.375
berminyak,-0.44
bermuram,-0.44
bermusuhan,-0.315
bernanah,-0.315
bernaung,-0.375
berpecah,-0.25
berpisah,-0.315
berpura-pura,-0.125
berpusing,-0.375
bersahaja,-0.07
bersalah,-0.185
bersandar,-0.375
