word,small
abadi,0.0
abnormal,0.0
absolut,-0.06
absurd,0.0
adib,0.0
adil,-0.08
adoptif,0.0
aerob,0.0
aerobik,0.0
afdal,0.0
afiat,0.0
afirmatif,0.0
afrodisiak,0.0
agresif,0.0
agung,-0.15
ahli,0.0
ahmak,0.0
air masin,0.0
ajek,-0.13
akademik,0.0
akal,0.0
akhir,0.0
akmal,-0.13
akrab,0.0
aktif,-0.25
aktual,-0.25
akur,0.0
akurat,0.0
akut,0.0
alah,0.0
alap,0.0
alergi,0.0
alim,0.0
alpa,-0.31
amal,-0.25
amanah,0.0
amat,0.0
ambisi,-0.13
ambisius,-0.13
ambivalen,0.0
ampang,-0.25
ampuh,0.0
anak dara,0.0
andal,0.0
anggak,-0.38
anggun,-0.17
angin sepoi-sepoi,-0.25
angka ganjil,-0.38
angkara,-0.44
angkuh,-0.34
anonim,0.0
antagonistis,-0.13
antiseptik,-0.38
apas,0.0
apik,0.0
arif,0.0
arifin,0.0
aristokrat,-0.25
artik,0.0
asam,0.0
asas,-0.25
asasi,0.0
aseptik,0.0
asi,-0.38
asian,0.0
asid,0.0
asih,0.0
asri,0.0
aswad,0.0
asyik,-0.13
atasan,0.0
atraktif,0.0
autentik,0.0
awang-gemawang,0.0
awas,0.0
awet,0.0
ayam kampung,0.0
ayu,0.0
babil,0.0
bacul,0.0
bagus,0.0
bahagia,-0.21
bahaya,0.0
baik,0.0
baik hati,-0.08
bakal,0.0
bakh,0.0
balik adab,-0.25
bambung,0.0
banci,0.0
bandel,0.0
bangang,0.0
bangga,0.0
bangkrut,-0.25
bangsai,0.0
bangsat,0.0
bantat,0.0
banyak,-0.25
baran,0.0
baru,-0.31
basah kuyup,0.0
batal,0.0
batil,0.0
bawah,0.0
bawahan,0.0
bayan,0.0
becus,0.0
bedebah,0.0
bedegong,0.0
bego,0.0
beku,0.0
belaka,0.0
beloh,0.0
belongkotan,0.0
belot,-0.31
benar,-0.06
benar-benar,-0.34
bengah,0.0
bengal,0.0
bengkak,0.0
benyai,0.0
benyek,0.0
berada,0.0
beradab,0.0
